"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"上溝","相模防犯ナビ","サービス業","防犯診断、防犯カメラの販売・施工","上溝３－１－７","080-2110-3959","防犯診断、防犯カメラ設置に伴うお見積り無料！"
"","相模物産 株式会社","小売業","","上溝1878","042-755-3521",""
"","佐藤金物店","小売業","金物小売業","上溝5-2-12","042-762-0017","期間中、溝のスタンプ２倍"
"","清水時計店","小売業/サービス
業","時計、宝飾品販売、修理","上溝6-2-1","042-762-3625","溝のスタンプ加盟店"
"","（有）清水屋商店","小売業","建設資材等の販売","上溝1884-1","042-769-2400","職人さんから日曜大工さんまで色々あります。
まずはご相談下さい。
よろしくお願いします。"
"","JOINT JAPAN","小売業","自動車販売、修理、キャンピングカーレンタルをおして
おります","上溝2346-18","042-764-5056","新車、中古車の販売、各種修理、事故鈑金、自動車
のことなら何でもご相談に乗ります！ 
キャンピングカーのレンタルも格安でお出ししておりま
すので、是非ご利用下さい。"
"","食事処おしゃまんべ","飲食業","北海道の食材を使用した定食屋です。","上溝1793-2","042-757-5182",""
"","寝具のサトウ","小売業","羽毛ふとんのリフォーム
綿ふとんのリフォームを行なっています。西川のムア
ツふとん 手造りふとん
各種寝具用品販売。","上溝3840","042-762-1289","羽毛布団お買い上げ、羽毛布団リフォームのお客様
に掛けカバー20%引き致します。"
"","杉山本店","小売業","良い材料を使用した和菓子を販売しています。","上溝7-16-11","042-762-0369","当店は。良い材料を使用した和菓子を販売しています
本わらび餅『本わらび粉、砂糖、水のみを使用』
選和菓子職の資格を持つ職人が作る、季節の上生菓
子等も販売しています。誕生餅や赤飯などご予約承り
ます"
"","スナック 泣かす","飲食業","飲み会の2次会に是非ご利用ください！カラオケもあり
ます！","上溝4-9-18","042-713-3288",""
"","スワン美容室","サービス業","相模原市で創業73年。地域密着の美容室です。","上溝2365番地7","042-762-5333","サンキューキャンペーン！と言っていただくと炭酸スパ
を無料サービス。"
"","誠心堂","小売業","文房具、タバコ、切手、はんこを販売しています","上溝5-14-1","042-761-1710",""
"","セブンレブン相模原上溝１丁目店","小売業","近くて便利なコンビニエンスストアです","上溝1-2-9","042-763-6461",""
"","セブンイレブン相模原上溝3丁目店","小売業","","上溝3-6-41","042-762-7785",""
"","セブンイレブン相模原上溝6丁目店","小売業","コンビニエンスストア","上溝6-1-29","042-763-2707",""
"","セブンイレブン相模原上溝諏訪店","小売業","","上溝833-9","042-778-3666",""
"","セブンイレブン相模原上溝バイパス店","小売業","コンビニエンスストア","上溝2308-1","042-762-0181",""
"","第一薬局","小売業","医薬品、漢方薬、ｷﾖｰﾚｵﾋﾟﾝ、渡辺ｵｲｽﾀｰ、ﾊﾞｲｵﾘﾝｸ
等扱っております。
元氣創造、家族の健康を創ります。","上溝5-3-13","042-762-0309","クレジットカード、paypay等、使用可"
"","大星堂薬局","小売業","漢方薬、ｷﾖｰﾚｵﾋﾟﾝ、瓊玉膏、ﾊﾞｲｵﾘﾝｸ等扱っておりま
す。
あなたの健康人生をお手伝いします。","上溝5-1-22","042-762-0006","創業明治二年
症状をお聞きし、お客様にあったお薬をお出ししてい
ます。
各種クレジットカードもお使いいただけます。"
"","タイヤセンター JEI","小売業","タイヤ販売、交換作業","上溝2252-1","042-764-3560",""
"","タイヨー印刷（株）","サービス業","印刷業","上溝4-9-10","042-762-2157","印刷の事なら何でもご相談ください。"
"","髙橋茶店","小売業","お茶、急須等販売しています。","上溝5-3-5","042-762-3560",""
"","（有）田中屋酒店","小売業","","上溝7-4-19","042-762-0243",""
"","（株）旅フレンド本社営業所","サービス業","国内、海外旅行の企画販売、個人、団体、JR、航空券
などの手配等","上溝7-39-11","042-762-7765",""
"","中国料理霞苑","飲食業","中華料理","上溝3-20-24戸田ビル1F","042-760-8186",""
"","腸もみ・養生サロン ミルネイジュ","サービス業","腸もみ・生活養生で笑顔をサポートするサロンです。 
 腸活サプリ、薬膳茶も扱っています。 
 お腹の不調を整えることから、明るい毎日が始まりま
す。","上溝442-3","090-4533-5165","・ご来店、メルマガ登録の方に腸活サプリ5日分プレゼ
ント｡"
