"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"千代田","相模原市農業協同組合 営農経済部 購買課 小売業","","","千代田1-2-17","042-755-2329",""
"","眞田珈琲","飲食業","バリスタがいるカフェレストラン","千代田3-18-4","080-7099-5717",""
"","山京建設（株）","その他","木造戸建建築、リフォーム","千代田3-14-4","042-730-3737",""
"","酒彩ラウンジ和","飲食業","飲食業（お酒、料理多彩）","千代田4-1-4 エターナル1F","042-855-7555","ウエルカムビールあり、お通しは４品以上"
"","スクール洋品ナカムラ 千代田店","小売業","学生服・体操服等スクール洋品の専門店です。","千代田2-10-18","042-758-5608",""
"","スクレープ","サービス業","小さな美容室です。","千代田2-2-15-2Fメイプル1990-2F","042-750-1357","設立して29年目の小さな美容室です。"
"","セブンイレブン相模原千代田3丁目店","小売業","","千代田3-6-17","042-730-3177",""
"","中国料理 御食事処 道","飲食業","中国料理専門調理師並びに調理技能士の資格を持
つオーナーシェフが調理する中国料理と初代店主のト
ンカツや揚げ物が味わえる唯一無二のお店です。","千代田1-6-1久保田ビル1F","042-851-3125",""
"","手洗い洗車.com","サービス業","『もっと格安に! もっとピカピカに!!』を実現したこだわり
の手洗い洗車（1,100円から）と本格ガラスコーティン
グ（3,300円から）の相模原発プロショップです。","千代田7-10-7","090-3913-5925","新規の方には、次回以降ご利用可能な割引券をお渡
しします！"
"","でんきのスマイル","小売業","家電製品販売","千代田4-7-7","042-758-2408","見積無料"
"","はっちゃんち","飲食業","食堂","千代田3-14-2豊栄ビル1F","042-711-7353",""
"","花みずき","小売業","看板商品「至極のチーズテリーヌ」 
井上エッグファームさんのさがみっこを使用した「さが
みっこプリン」がオススメな洋菓子店です！","千代田2-10-21TAIRAビル1F","042-753-3657","新規ポイント会員様募集中！！ 
初回発行手数料100円(税込)を頂く代わりに、次回使
える500円引きクーポンを配布してます！ 
実質400円お得♪"
"","ヘアーメーク むっしゅ","サービス業","美容室","千代田3-19-1","042-757-2621",""
"","明王茶園","小売業","お茶、その他お菓子","千代田2-5-10","042-753-4044",""
"","メイプルスポーツスタジオ","サービス業","地域密着方、スポーツスタジオ","千代田2-2-15MAPLE1990","090-3334-1630 無料体験・入会金無料",""
"","メイプルホール","サービス業","多種多様な催事を行う多目的ホールです","千代田2-2-15メイプルビル地下1Fメイプルホール","042-751-5011",""
"","（株）八木商店 千代田給油所","小売業","燃料油の給油、洗車、自動車の修理等行う
フルサービス形式のガソリンスタンドです。","千代田2-1-13","042-755-1651","ＥＮＥＯＳ　SSアプリ登録キャンペーン展開中"
"","りん動物病院","その他","小動物の診療。トリミングとペットホテルを併設してい
ます","千代田7-6-22","042-756-1201",""
"","ロータリーバッグミヤモト 本店","小売業","ポリ袋、紙袋、食品容器、梱包用品、生活雑貨等の専
門店です。","千代田7-1-10","042-756-6950",""
"並木","CEサロン レディポルシャ","サービス業","エステ施術、販売","並木3-19-8アスカコート相模原206","042-851-3780","キャンペーン期間中エステ施術おためし3000円（メイ
クアップ付き）"
"","Loom Sagamihara","飲食業","相模原産の食材を使用した美味しくて健康なお弁当、
お惣菜を販売しております。","並木1-7-26第3レザビル1F","070-8319-4620","SNS登録でワンドリンクサービスいたします！"
"","POLA THE BEAUTY 並木店","小売業/サービス
業","エステ、メイク、化粧品等販売","並木3-2-12","042-757-4138","・ハンド＆ヘッドマッサージ　プレゼント
・お肌に合ったサンプル　プレゼント"
"","味の民芸相模原並木店","飲食業","手延べうどん和食飲食店","並木1-8-20","042-759-2295",""
"","居酒屋 妙","飲食業","飲食物を提供
油絵、版画の展示もしております","並木1-7-27","090-3347-3212",""
"","美容室セサミ","サービス業","美容室","並木3-1-7","042-750-1800","初めてご来店の方には次回使用出来る割引券の配布"
"","美容室女髪館カットクラブ","サービス業","カット、パーマ、白髪染め、カラーを主に行います。","並木3-19-4","042-759-2291","カット、パーマ、白髪染め、カラーを主に行います。
☆カット　￥1800
☆パーマ　￥4500~
☆カラー　￥4500~
※尚、料金は税別です。"
"","プアラニ","サービス業","まつ毛エクステや脱毛、フェイシャル、最近は眉ワック
スが人気のトータルケアサロンです","並木3-18-18","042-711-7606","キャンペーン中にご来店された方は次回使える500円
OFFクーポンをプレゼント！"
"","ヘアーサロンアキラ","サービス業","理容業","並木3-16-5","042-758-5922",""
"","前田電器商会","小売業","家電販売店","並木2-7-5","042-754-5948",""
