"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"相模大野","介護タクシーメルシィアイ","サービス業","歩行が難しい方などのための介護タクシーです。車い
す等にお乗りいただいたまま車に乗車可能。通院、お
出かけ、どんな外出にもご利用いただけます。","相模大野9-26-3","042-719-0684","さがみはらサンキューキャッシュバックキャンペーンの
チラシを見てご予約いただいた方には、予約料０円に
いたします。 
予約時に『チラシを見た』と伝えてください。"
"","学生服のT&Y クラスルーム相模大野店","小売業","学生服と洋品の販売店です。","相模大野3-16-1 相模大野REGALOビル 2F","042-767-1320","2023年度新入学生向けキャンペーン実施中！"
"","隠れ個室居酒屋 魚炉魚炉","飲食業","個室居酒屋　食事処　ランチタイムも営業します","相模大野6-13-8 2F","042-745-5438",""
"","夢造りパン工房 相模大野店","飲食業/サービス
業","神奈川県に6店舗展開しているベーカリーです。 
常時100種類以上の商品を取りそろえ、焼きたて揚げ
たてを提供できるよう日々心掛けております。","相模大野7-9-15　スーパー三和内1階","042-740-2411","パン500円以上のお買い上げでコーヒー1杯無料、
LINEお友達登録で当店自慢の塩パンを進呈等々の
サービスを実施しています。"
"","から揚げ専門店 すごいっ手羽","飲食業","シェフがプロデュースする、神奈川グルメ金賞受賞の
から揚げ専門店です。
他では真似できない本物の味を是非ご賞味下さい！","相模大野5-27-3","042-705-2788","お得なポイントカード発行中！"
"","からだ元気治療院　相模大野店","サービス業","相模大野駅前ではり灸マッサージを行う治療院です。 相模大野3-13-15第三タカビル3F","","042-701-0567","施術費のうち初診料を無料にします！"
"","ギフトグー","小売業","カタログギフトを始め、さまざまなシーンに合わせた贈
り物のご提案、販売をしております。","相模大野3-12-1","042-744-9006","当店のカタログギフトは全て店内でご覧頂けますの
で、安心してお贈り頂けます。"
"","きまぐれアンアン","小売業/飲食業","昔ながらのクリームシチューナポリタンオムライスのお
店です
糖質の気になる方のためにロカボメニューもあります","相模大野6-18-11","080-5019-3536 初回来店1ドリンクサービス",""
"","串カツ田中相模大野店","飲食業","串カツメインの居酒屋です。","相模大野3-11-18竹山ビル1F","042-851-6339",""
"","くまざわ書店相模大野店","小売業","書籍販売","相模大野3-8-1小田急相模大野ステーションスクエア
A館6F","042-767-1285","毎月最終金曜日はKポイント２倍"
"","国際空手道連盟 極真会館神奈川相模原支
部相模大野道場","サービス業","空手教室","相模大野8-8-3","042-761-1377","特別入会キャンペーン 入会金(6,600円)が無料！
+3ヶ月分の月会費が半額！（少年初級クラス先着5名
様、一般部正規会員先着5名様）"
"","さがみはらアンテナショップsagamix","小売業","相模原市内の新鮮野菜や肉、卵、パンはもちろん、銘
酒・銘菓や伝統工芸品等も販売しております。","相模大野3-2-1ボーノ相模大野ショッピングセンター2F 042-705-8455","","コンセプトは「テーブルに冷蔵庫に、地元さがみはらが
あふれる日常」のご提案。
さがみはらに縁のある品々を取り揃えております。
また、市内の観光情報もご紹介しております。"
"","相模原家事介護W.Coあいわ","サービス業","家事介護サービスを提供","相模大野6-18-11","042-705-4485","私たちは健康な食生活を基本に、日常生活に困った
り、家族では支えきれない時などの在宅支援として家
事介護のサービスを提供するワーカーズコレクティブ
（W.Co）です。"
"","相模原南法律事務所","サービス業","法律事務","相模大野3‐14‐16第一足立ビル3階","042-745-2051",""
"","サンリラクゼーション 相模大野店","サービス業","日本人の心「和」をテーマに施術だけでなく、店舗全体
でお客様に至高の癒しを感じていただけるよう、入店
から退店まできめ細かいサービスの提供するリラク
ゼーション店舗です。","相模大野3-14-10　足立ビル2階","042-782-8824","当店公式アプリをダウンロードで500ポイント進呈いた
します。"
"","老舗居酒屋ガクさん","サービス業","備長炭串焼から新鮮海鮮料理まで
旬を大切にした料理の数々。
相模大野で創業52年の地元に愛された老舗居酒屋で
す。","相模大野3-3-2-215","042-743-4149","ランチタイムの11時30分から14時までに定食ご注文
でアイスコーヒーorホットコーヒーサービス。
16時からは海鮮、焼物or揚物、備長炭串焼、サラダ　
更にお好きなドリンク二杯1850円(税込み)"
"","司法書士いずもと総合事務所","サービス業","不動産の名義変更、会社設立等の登記および遺言書
作成のお手伝いをしております。","相模大野3-13-15第3ﾀｶﾋﾞﾙ3F","042-702-9120","ご相談、お見積り無料"
"","十割そば家　みつば","飲食業","国産そば粉１００％使用のおそば屋です。 
季節によって産地別の蕎麦粉を入荷し毎日打ち立て
ゆでたてのお蕎麦を提供させていただいております。","相模大野3-15-16","042-744-5750",""
"","趣里亜","サービス業","整体、エステ、物販 
リラクゼーションサロン","相模大野8-11-7フレグランス相模大野202","042-745-2655","初回割引きあります。"
"","シンエー住建","その他","一般住宅、マンション等の、リフォーム、修繕(修理、塗
り替え、水回り、雨漏り、庭、等)","相模大野1-25-61","042-705-5623","サンキューキャンペーンにより、ご発注いただいたお
客様に、キャンペーンと別に8％値引きさせていただき
ます。"
"","すし魚菜かつまさ","飲食業","握り寿司","相模大野3-15-10","042-749-0344",""
"","鮨ゆきむら","飲食業","鮨屋","相模大野8-3-3センチュリーKIビルB1-101","042-766-1122",""
