"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"下九沢","セブンイレブン相模原あじさい通り店","小売業","近くて便利なコンビニエンスストアです","下九沢1707-1","042-779-7287",""
"","セブンイレブン相模原塚場店","小売業","コンビニ","下九沢1285-1","042-761-7715",""
"","セブンイレブン相模原中ノ原店","小売業","","下九沢1643-1","042-774-0072",""
"","セブンイレブン相模原六地蔵店","小売業","近くて便利なコンビニエンスストアです","下九沢1933","042-763-0171",""
"","ちかみち","サービス業","カット専門店","下九沢2540-2","070-8982-0764","カット1200円(税込)
シニア割引きあり。1000(税込)"
"","桃華飯店","飲食業","中華料理を提供しています","下九沢1926","042-761-8028","ランチメニュー あります、ランチ大盛ライス無料"
"","登臨ゼミナール 大沢校","サービス業","小　中　高生　学習塾","下九沢1929-2","042-762-5054","最長6か月　無料体験"
"","とり道楽下九沢店","飲食業","居酒屋、弁当配売","下九沢2030-3","042-713-3812",""
"","有限会社 沼尾硝子","その他","サッシ・ガラス・エクステリア販売施工 
 住宅資材販売修理","下九沢2596-5","0427-624-465","新しく会社を下九沢に移しました。"
"","橋本ゴルフセンター","サービス業","ゴルフ練習場","下九沢1687","042-771-4053",""
"","ファミリーマート相模原下九沢店","小売業","コンビニエンスストア","下九沢2917-1","042-764-0650",""
"","ムルカスタジオ","サービス業","ペット美容室","下九沢2434","042-761-0120","トリミング後、５０日以内5%off"
"","明月堂","小売業","和菓子製造販売","下九沢1943-7","042-762-4475",""
"","洋風居酒屋YOU夢","飲食業","居酒屋","下九沢1913-5","042-761-8686","串揚げや刺身や焼き鳥"
"","1 Life Cafe(ワンライフカフェ）","飲食業","ペットフォレスト相模原下九沢店内1階に併設してい
る、ワンちゃんと一緒に楽しめるドッグカフェです！お
食事やドリンク・自家製のワンちゃんメニューもご用
意！","下九沢2125-5","042-703-1780","ご来店いただいたワンちゃんのお写真をInstagramに
て発信させていただきます！"
"城山","トラットリアフォルツア相模原店","小売業","長野県から仕入れたパンの移動販売をしています。","城山1-4-27","026-387-7680",""
"","ハックルベリー","飲食業","シチューと冒険を売るお店というコンセプトで営業して
いる今年32年目の飲食店です。","城山4-2-10","042-782-7700",""
"寸沢嵐","（株）上野石材商会","その他","墓石販売施工、墓装品販売","寸沢嵐1996-39","042-685-1308","期間中10％OFF"
"","榎本犬猫病院","その他","動物病院
ペットフード等販売
ペットトリミングサロン
ペットホテル","寸沢嵐848-1","042-685-1101","ワンちゃんネコちゃんのこと、なんでもご相談ください。
初診の方に限りおすすめフードサンプルプレゼント！
スタッフにおすすめフード希望の旨お伝えください。"
"","夢造りパン工房 相模湖店","飲食業/サービス
業","神奈川県内で6店舗展開しているベーカリーです。 
常時100種類以上の商品を取り揃え、焼きたて揚げた
てを提供できるよう、日々心掛けております。","寸沢嵐940-4","042-649-0225","当店限定の相模湖ちょこくりぃむぱんをはじめ、 
季節限定商品や焼きたてパンでご来店をお待ちしてお
ります。 
500円以上お買い上げのお客様にはドリンクのサービ
スも実施しておりますのでぜひご利用下さい。"
"","新戸キャンプ場","その他","宿泊業務
キャンプ場","寸沢嵐2362","042-787-0141",""
"","（有）スアラシ:石油","小売業","ガソリンスタンド","寸沢嵐938","042-685-0043",""
"谷ケ原","セブンイレブン相模原城山谷ケ原2丁目店","小売業","コンビニエンスストア","谷ケ原2-8‐23","042-783-1668",""
"","（有）宮嵜商店 城山SS","小売業/サービス
業","フルサービスガソリンスタンド","谷ヶ原1-16-20","042-782-2747",""
"千木良","割烹旅館　五本松","飲食業/サービス
業","割烹旅館","千木良1352","042-685-1370","1日2組限定予約でコロナ対策を徹底しています"
"","岸精肉店","小売業","食肉・食品　販売","千木良1230","042-684-3233",""
"","サンセットメモリー","飲食業","カラオケスナック
営業時間　18時～24時
定休日　毎週木曜日
無料送迎いたします。
お気軽にお電話ください。","千木良633","042-684-3706","カラオケの音響、歌いやすさは地域1番。
オゾン発生装置等、感染対策は完璧です。安心してカ
ラオケをお楽しみください。"
