"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"上溝","D-LINK 上溝店","その他","美容業","上溝4498-9-2F","042-762-8771",""
"","ECCジュニア上溝4丁目教室","その他","英語.英会話教室","上溝4-8-38","042-814-6891",""
"","GARDEN KITCHEN","サービス業","レンタル菜園付き料理教室","上溝762","042-777-6778","畑体験無料"
"","Ｋ’ｓ Ｐｒｅｓｔ上溝駅前サロン","サービス業","古物商/リラグゼーション整体マッサージ/便利屋","上溝7-3-20モナークマンション上溝弐番館904","042-855-8443","ご新規様大募集中です"
"","ｋｉｔ ｈａｉ キットヘアー","サービス業","美容院　美容業","上溝7-17-16ワコービル102号","042-713-1617","再来でも使えるクーポン有り"
"","Like a Marin","その他","自爪をいたわりながら、ツヤツヤで品のあるネイルが
できるネイルサロンです。","上溝2221-5コンテらすBANDA E棟","508-881-0425","オフ無料。次回予約で次のお会計から500円お値引き
致します。"
"","（株）Zone","小売業","中古車販売・自動車整備","上溝2346-19","042-703-6670",""
"","アーヴィルフォーヘアー","サービス業","地域密着型・ハイキャリア美容師のプライベートヘア
サロンです。","上溝362-6","042-711-9554","初めてご来店のお客様に20％割引サービス"
"","居酒屋武政 ばり博多","飲食業","新鮮な海鮮料理と九州料理が自慢の居酒屋です！","上溝4-9-18","042-713-3735",""
"","（有）猪熊寝具店","小売業","寝具販売、寝具リフォーム(打ち直し)","上溝5-3-12","042-762-3627","冬に向けて、フカフカ、ポカポカのお布団の準備をお
手伝いします"
"","うたげ","飲食業","居酒屋","上溝7-5-16","042-785-2701",""
"","内田自動車(株)","サービス業","自動車整備、車検、新車販売","上溝375","042-778-0503",""
"","おかしのかわもと","小売業","手作りサンドイッチと
おもしろお菓子のお店です。","上溝6-1-3","042-762-0338",""
"","か印 上溝商店。","飲食業","串揚げ屋","上溝5-14-8ジョイフルビル1F","042-785-2215",""
"","カットスタジオ シアー","サービス業","理容","上溝4102-2","042-762-2457",""
"","カットハウス クマガイ","サービス業","理容業","上溝7-18-6","042-763-9293",""
"","金沢商会","小売業","自転車販売と修理","上溝5-3-6","042-762-0135",""
"","金澤表具店","その他","相模原で創業して４０年余り。ふすま、障子、壁紙の張
り替えは当店にお任せください。豊富な見本からお選
びいただけます。","上溝393-5","042-778-3114","お電話・メール頂きましたら、迅速に対応いたします！
安全第一、安心価格、安心施工をモットーとしておりま
す。"
"","カネコデンキ","小売業","家電製品の販売、設置工事","上溝598-1","042-759-2015",""
"","カピリナデザインリフォーム","その他","マンション・一戸建て・店舗などをデザインリフォームし
ます。
暮らしに合わせたデザインリフォーム設計で オーダー
メイド仕様に。","上溝5-14-1小渕ビル101","042-785-2942",""
"","上溝駅前整骨院リヴァー","サービス業/その
他","地域の方々の健康サポートをする為、
整体やリフレクソロジーを提供しています！","上溝7-18-4","042-763-6499","地域の方々のお身体を根本的に健康にさせていただ
く為に整体やリフレクソロジーを提供しているだけでな
く、食事や運動、睡眠といった健康に欠かせないこれ
らの3つを専門的にサポートさせていただきます！"
"","（有）ギフトサービス","小売業","仏壇、仏具、御位牌、数珠、線香などの販売をしてい
ます。","上溝6-3-5","042-762-0327","古い仏壇の処分や買い替えのご相談、御位牌の作成
などお気軽にご来店頂けるお店です。上溝商店街の
駐車場がご利用頂けます。"
"","熊坂豆腐店","小売業","豆腐、油揚げ、生揚げ他製造販売","上溝6-19-2","042-762-0647",""
"","熊澤畳店","小売業","畳工事","上溝7-4-20","042-762-3610",""
"","くみあい商事（株）スタンド","小売業","ガソリンスタンド","上溝823-1","042-778-0261",""
"","くみあい商事（株）プロパン","小売業","LPガス供給","上溝823-1","042-711-9920",""
"","クリーンメガネ上溝店","小売業","眼鏡小売","上溝7-17-21","042-761-7185","キャンペーン中10%OFF"
"","健美LABO","小売業","健康商材、衛生製品の販売","上溝3-1-7","090-4069-2244","コロナ禍に役に立つ商材をご提供"
"","幸花園","小売業","生花小売","上溝7-16-10","042-762-1961",""
"","麹屋商事（株）","小売業","ガソリンスタンドにて燃料販売、車検、一般修理、車関
連の物販","上溝4-9-23","042-762-1101",""
"","国際空手道連盟 極真会館神奈川相模原支
部上溝道場","サービス業","空手教室","上溝6-10-3","042-761-1377","特別入会キャンペーン 入会金(6,600円)が無料！
+3ヶ月分の月会費が半額！（少年初級クラス先着5名
様、一般部正規会員先着5名様）"
"","相模原市農業協同組合 上溝支店","小売業","","上溝7-31-31","042-762-0029",""
