"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"上溝","町田建装 上溝営業所","その他","戸建住宅・マンション・オフィスビル等の塗装・防水工
事業","上溝3843-22","042-761-2183","抗菌抗ウイルスの内装塗料「アレスシックイ」を定価よ
り39％オフで販売いたします。"
"","ミスタードーナツ上溝ショップ","飲食業","","上溝7-9","042-764-2375",""
"","みそや豊潤","飲食業","信州味噌を使った味噌ラーメンのお店です。","上溝345-1","042-854-9610",""
"","みなと亭","小売業","豚肉の加工・販売","上溝6-8-1","042-713-1729","毎月29日「肉の日」はサービス券配布"
"","ミヤコバス","サービス業","観光バス","上溝2390‐1","042-713-1138",""
"","焼肉智姫","飲食業","焼肉屋さん
和牛などを、提供しております。","上溝7-3-22","042-761-8629",""
"","（有）山田商店","小売業","鮮魚販売","上溝3-20-5","042-762-0046",""
"","山のこや","飲食業","ランチの提供 
居酒屋","上溝379-1","042-777-3733","家庭的な雰囲気での食事　お酒の提供に心がけてい
ます。"
"","吉野家上溝店","飲食業","ご存知、牛丼の吉野家
＊テイクアウトにも対応しています","上溝2380-6","042-764-0829",""
"","らーめん花樂　上溝店","飲食業","","上溝5-3-7","042-761-4555",""
"","ラビット","小売業/飲食業","たいやき・ラビット・駄菓子・タピオカ・ソフトクリーム・か
き氷etc","上溝3865メゾン石橋1-C","090-9691-9679",""
"","リフォームキャッチャー","その他","屋根・外壁を中心にリフォーム工事を行っています。
上溝にある、大きなグローブが目印のお店です。","上溝7-3-19","042-764-5588","お見積りは無料です。
ご来店のお客様に、お茶とお菓子をプレゼント致しま
す♪"
"","ローソン・スリーエフ上溝番田店","小売業","コンビニエンス
ローソンと文教堂　上溝番田店と併設店です。文教堂
も２４時間営業してます。","上溝366","042-777-7705",""
"共和","happiness","サービス業","エステサロン","共和1-3-40 エステート共和301","090-5559-0417","LINEご登録で10分延長サービス"
"","Mr.JUMP相模原店","サービス業","トランポリン施設の運営","共和3-4-10","042-707-8122","Mr.JUMPでは普通のトランポリンだけでなく、 クライミ
ングやグライダーなどのアトラクションもご用意してい
ますので、時間いっぱい色々なものがお楽しみいただ
けます！"
"","夢造りパン工房 淵野辺店","飲食業/サービス
業","神奈川県内で6店舗展開している人気ベーカリーで
す。 
常時100種類以上の商品を取り揃え、焼きたて揚げた
てを提供できるよう、日々心掛けております。","共和1-6-2","042-786-2530","大きな看板が目印の「とろとろカレードーナツ」が当店
一押し、大人気商品となっております。 
500円以上お買い上げでコーヒー1杯無料のサービス
を行っておりますのでぜひこの機会にご来店下さい。"
"","（有）協和肥料","小売業","花苗、野菜苗、農業用品を販売","共和4-2-19","042-752-1722",""
"","セブンイレブン相模原共和2丁目店","小売業","コンビニ","共和2-8-13","042-753-5575",""
"","そば処名古屋","飲食業","そば屋","共和4-1-5","042-752-9793",""
"","登臨ゼミナール 共和校","サービス業","小、中、高生　学習塾
小学生　預り","共和1-7-15","042-758-0798","最長6か月無料体験
安心預り　Ｑあっぷ　（小1～小6）"
"","ネイルサロンハーモニー","サービス業","爪を育てるネイルサロンです。人前で手を出すのが恥
ずかしい…そんなお悩みを解決、つい見せたくなるよ
うなお手元へと導きます。","共和3-8-7","080-3695-0270",""
"","はなえみ指圧マッサージ","サービス業","指圧マッサージ治療院です","共和3-9-36-3","042-707-0159",""
"","ヘアーサロン B-スクエア","サービス業","理容業","共和４－１３－１　フェスト渕野辺1－A","042-750-0150",""
"","魔耶写真館","サービス業","写真スタジオ・ヘアーメイク・衣装レンタル・着付け・デ
ザインなど","共和4-22-5","042-776-5355","誕生日月を挟んだ3ヶ月間とってもお得な誕生日フォト
が超人気！
[内容]ヘアーメイク・衣装・撮影料・キャビネサイズ額入
り写真
通常￥40.000相当 → ￥11,000（税込）"
"","ローズマリー","飲食業","ミュジックスタジオ・ローズマリーです 
お酒を飲みながらカラオケが楽しめます。歌ったカラオ
ケを聞き、希望者にはCDに焼き当日持ち帰りが可能
です。予約制で受付ております。042-776-6251","共和1-14-4","042-776-6251",""
