"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"淵野辺","K@dining","飲食業","韓国料理テイクアウト専門店です。","淵野辺5-2-7","042-776-2003",""
"","LUNA ルナ","サービス業","美容室","淵野辺1-1-19 1F","042-707-8620",""
"","Nail Salon Charis","サービス業","ネイルサロン","淵野辺4-15-5中山ビル1F","042-752-1922",""
"","okinawa居酒屋 楽園","飲食業","沖縄料理を基本とした居酒屋です。","淵野辺3-9-7ライオンズプラザ淵野辺1F","042-750-1363",""
"","Pearl hair design","サービス業","理美容","淵野辺4-12-3","042-755-5678",""
"","安藤商店","小売業","酒類小売業","淵野辺1-16-12","042-753-2437",""
"","いけはらクリーニング本店","サービス業","ホームクリーニング","淵野辺4-8-12","042-752-2245","広い無料駐車場有り・淵野辺駅北口中央通り徒歩６
分"
"","有限会社 魚儀","小売業/その他","鮮魚販売と施設関係への卸売り","淵野辺3-18-19","042-752-2187",""
"","梅津時計店","小売業","時計、メガネ、アクセサリーを販売しています","淵野辺3-20-14","042-752-2171",""
"","大国屋種苗店","小売業","種苗・農薬・農園芸資材小売","淵野辺4-12-1","042-752-2278",""
"","おかしの家","小売業","かわいいくて美味しいクッキーやマドレーヌなどの焼き
菓子を製造販売しています。
相模原市観光協会推奨認定品の製造販売もしていま
す。","淵野辺3-13-12","042-756-6919","1080円以上、ご購入の方に
次回のお買い物に使える
100円の割引クーポンプレゼント！
(限定数に達次第、終了とさせて頂きます。)"
"","お好みじゅんじゅん","飲食業","絶品広島焼のお店です。 
　カウンター８席　セルフサービスの飲み放題はお得
感満載です！ 
　一人でも、仲間とでも、食べるだけでも、飲むだけで
も 
とっても、楽しいお店です。　店主は年季が入った洋楽
好きさ！","淵野辺4-3-15","042-768-7922","キャンペーン期間中、「時間無制限」で４種のクラフト
ビールを含むお酒全種類飲み放題が、前菜付き
￥1900でご提供いたします。"
"","（有）小佐野ふとん店","小売業","寝具(製造・販売・打ち直し・羽毛掛布団リフレッシュ・ク
リーニング)","淵野辺4-35-13","042-752-2382",""
"","小澤商店","飲食業","ホルモン焼肉を提供しています。","淵野辺4-15-4","042-707-4177",""
"","小野寺電気","小売業/サービス
業","家電販売・工事","淵野辺3-7-18","042-785-2945","商品のお取り寄せ・電気工事・その他工事 
 ご相談受付中！！"
"","オランチベーカリー","小売業","おいしいパンの製造販売をしています。","淵野辺3-12-5","042-814-8300","赤い扉の小さいパン屋です。
9時半から営業しています。(火、水は定休日)
ハード系多め、一番人気はしっとりもちもちの食パンで
す。ぜひお試しください。"
"","カレー堂","飲食業","インド料理、インドカレー","淵野辺3-13-4","042-751-1158",""
"","乾物ロック","飲食業","ショットバーです。","淵野辺3-7-16グローリア初穂相模原202","090-8307-7875","チャージとTAXがない、飲んだ分だけのショットバーで
す。"
"","餃子・王","飲食業","本格中華料理ご提供します。","淵野辺3-9-17-110","042-855-8866",""
"","銀座ラボ淵野辺","サービス業","美容室","淵野辺4-16-36 味の食彩館2F","042-776-3389","次回期限付き割引クーポン配布"
"","喰心房 つかさ","飲食業","国産の牛すじを使用したカレーライスや、本場の讃岐
うどんを使用した肉盛りクリーミーカレーうどんなどを
提供するカレー処です。カレーうどん以外のうどんもご
用意しております。","淵野辺4-15-4","042-705-8668","ランチサラダ付き。 
 ランチドリンクセットあり。 
 学生さん大盛り無料"
"","紅琅羽珠豚","小売業","天然石・占い 
運気向上アクセサリー製作所です 
天然石やレジン、スワロ など素敵な素材を使用して製
作、販売しています 
人気No1 天然石ブレスレット 
ゴム交換500円やリメイクも承っております","淵野辺１丁目１５－１０－２０２","080-5883-2420","特典1: 
先着39名様に天然石ストラップ 
プレゼント！ 
特典2: 
ご来店3900円以上のご購入で 
YesNo占い（1つのご質問にYesNo +アドバイスをお
伝えします）"
"","縮毛矯正専門店ZUTTO-LIKES(ズットライク
ス)","サービス業","美容業務(美容師)","淵野辺3-15-17 1F103ズットストライクス","042-769-2483","前髪カット無料
※住所検索される際は3-15-15で検索すると店舗が確
認しやすいです"
"","（有）春花園","小売業","生花肥料、鉢販売","淵野辺3-20-19春花えんビル1F","042-753-2721",""
