"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"相模大野","スターリード","小売業","社交ダンス関連用品の販売・レンタル","相模大野3-18-10アリスビル4F","042-748-2452","ご来店いただいたお客様に髪飾り・マスク飾りなどのミ
ニ・プレゼント"
"","スタジオファンタジスタ相模大野店","サービス業","写真館・ベビー・お宮参りフォトからお誕生日・七五三・
振袖・ブライダルフォトまで衣装レンタルができるフォト
スタジオです 
ご家族の記念写真もお撮りしています","相模大野4-5-17　ロビーファイブ２F","042-740-1661","かながわPayご利用いただけます"
"","整体 護健道","その他","","相模大野5-26-2南ハイツ1-B","090-8162-0014",""
"","セブンイレブン相模大野3丁目西店","小売業","","相模大野3-12-15","042-747-7711",""
"","セブンイレブン相模大野駅北店","小売業","コンビニエンスストア","相模大野3-18-10アリスビル1F","042-742-8050",""
"","セブンイレブン相模大野駅南店","小売業","コンビニエンスストア","相模大野7-24-15コスモヒルズ1F","042-746-7327",""
"","セブンイレブン相模原相模大野6丁目店","小売業","日常生活に役立つ食品、生活雑貨を販売しています","相模大野6-7-6","042-766-2003",""
"","仙石カイロプラクティック","サービス業","カイロプラクティック治療院","相模大野6-9-29　1階","042-741-0741","日本で数少ないWHO基準（国際基準）の教育を受け
た正規のカイロプラクターが施術をしている治療です。
徹底した検査・分析による状態・原因の把握と詳細な
ご説明を心がけています。ご気軽にご相談ください。"
"","蕎麦切り ほしの","飲食業","日本そば店","相模大野6-16-10","042-741-6671",""
"","大漁丼家相模大野店","小売業","海鮮丼のテイクアウト店です。","相模大野6-13-16 高室荘1号室","042-705-2516",""
"","チェリーブロッサム","小売業","天然石を販売するカフェ","相模大野8-10-4 1-A","042-705-5562","完全予約制となっております　ご予約お願いします"
"","ちばサイクル コンセプトストア","小売業","クロスバイク、ロードバイク、マウンテンバイクなどス
ポーツ自転車の専門店。自転車の他、パーツアクセサ
リーの販売、修理も承ります。また、お子さま用自転車
も取り扱っております。","相模大野5-25-4","042-715-2007",""
"","つむぐ指圧治療室","サービス業","つむぐ指圧治療室では解剖学を熟知した指圧師がこ
ころをこめて指圧を行ないます。日本指圧専門学校の
元教員。浪越徳治郎の指圧技術を大切にしています。","相模大野5-27-39和田ビル2F","042-743-3933","20分延長サービス（60分コース以上）
・60分 → 80分（￥6,000）
・90分 → 110分（￥8,000）"
"","鉄弖亭","飲食業","鉄板でやきとり。","相模大野5-27-17エミナンサガミ103","042-705-6360","鉄板で焼くやきとりとお酢のサワーがいっぱい。
健康への気遣いのある居酒屋です。"
"","てらす珈琲","小売業/飲食業","2015年創業のスペシャルティコーヒー専門店。 
農園別、農協別、ブレンドを含め常に15種類以上の新
鮮なコーヒー豆を取り揃えております。豆のままでも挽
いて粉にしてもご用意できます。ドリンクもご提供。","相模大野6-17-3 MKステージ1F-2","042-702-9457",""
"","ぬま田食堂 相模大野店","飲食業","居酒屋使いもできる、食材にもこだわりある大衆食堂
です。","相模大野8-3-10","042-705-6715",""
"","ネイル＆アイラッシュ HEARTS","サービス業","まつ毛・眉毛・ネイルサロンです。","相模大野8-10-2ハイツウェルネス102","042-812-4198","お目元のお手入れで印象UPしましょう！ 
『さがみはら39キャッシュバックキャンペーンのホーム
ページ見た』でお手入れまつ毛コームをプレゼント致し
ます！"
"","パソコンドック24 相模大野ロビーファイブ店","サービス業","パソコン(Mac/Windows)の修理とデータ復旧サービス
を提供しています","相模大野4-5-5 D棟 2F","042-705-6454","起動しないパソコン(Mac/Windows)の修理、動作が
遅いパソコンの診断・調整、ハードディスク増設・交換
・SSDへの換装、ウイルス駆除、データ取り出し・復旧
など、幅広く対応しています。"
"","はりきゅう治療室クーネルダース","その他","突発性難聴、メニエール病など耳トラブルの改善が得
意な鍼灸院です。","相模大野2-22-13スペースファイブ303","070-4361-1644","ご希望の方にお灸のサンプルをプレゼント"
"","ビギンズ","サービス業","美容院、カット、カラー、パーマ等施術","相模大野3-25-7-1F","042-746-0331",""
"","ビストロリコスタンド","飲食業","常時40種のワインやイタリア料理を 
小皿で提供します","相模大野3-3-2ボーノ相模大野南棟2F","042-705-1780",""
"","陽のあたる場所","サービス業","理容業","相模大野5-26-8KSビル103号","042-749-5357","初来店のお客様にオリジナルボールペンプレゼント！"
"","美容室 アイ・スタイル","サービス業","美容一般、エステティックサロン","相模大野7-5-1ジョイ相模大野1F","042-740-5105","初めてのお客様は、とても お得なキャンペーン実施中
です。
詳しくはホームページ、またはお電話で。"
"","ファミリーマート相模大野三丁目店","小売業","コンビニエンスストア","相模大野3-26-1","042-767-2051","あなたと、コンビに、ファミリーマート"
"","ファミリーマート相模大野駅前店","小売業","コンビニエンスストア","相模大野7-1-10","042-765-2155",""
