"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"橋本","ビューティサロン レディ","サービス業","個室にてフェイシャル、ボディエステもできる美容院で
す。髪質改善、トリートメントカラー、トリートメントで髪
がツヤサラに！まとまりやすいカットも人気です。
是非お待ち致しております。","橋本3-6-1アドバンス橋本1F","042-774-4851","サンキューキャンペーン期間中、3000円以上のメ
ニューのお客様にスカルプケア(ヘッドマッサージ)
1100円をプレゼントさせていただきます。"
"","美容室ANNEX","サービス業","すべてのお客様にもっと気軽に美しくなる幸せを感じ
ていただく為に。
お客様のシーンに合わせた施術を行う橋本の美容室
「ANNEX アネックス」","橋本6-2-1イオン橋本2Fデッキ","042-700-1941","新規会員様ＡＬＬメニュー１０％Ｏff。
いつもご来店いただいているお客様にはホットペッ
パービューティーにて、お得なクーポン掲載中。"
"","美容室パルファン","サービス業","美容業","橋本6-7-10ステイトリーコート橋本102","042-773-6875",""
"","ファミリーマート橋本七丁目店","小売業","コンビニエンスストアです。","橋本7-5-21","042-700-2190",""
"","ファミリーマート橋本駅ビル店","小売業","コンビニエンスストア","橋本6-1-24","042-700-1751",""
"","ファミリーマート橋本駅南口店","小売業","コンビニエンスストア","橋本2-2-4","042-700-6201",""
"","魚男本店","飲食業","海鮮居酒屋","橋本6-26-3","042-810-8372",""
"","福徳橋本店","飲食業","焼鳥居酒屋","橋本6-1-15","042-773-8740",""
"","ブックオフ橋本駅南口店","小売業","本・ゲーム・トレカ・CD・DVDなどリユースショップ","橋本2-3-7","042-775-5385","ブックオフアプリをダウンロードして登録すると値引き
クーポンやお得情報が届きます。 
毎月1日と15日に「100円引きクーポン」・29日には
「500円買うと300円引き」のクーポンがもらえる！"
"","ブックオフ橋本津久井街道店","小売業","本・ゲーム・トレカ・ホビー・家電・PC・スマホタブレット
・CD・DVDなどのリユースショップ","橋本8-27-7","042-775-6751","ブックオフアプリをダウンロードして登録すると値引き
クーポンやお得情報が届きます。 
毎月1日と15日に「100円引きクーポン」・29日には
「500円買うと300円引き」のクーポンが届きます！"
"","仏壇の永田屋","小売業","仏壇・位牌・仏具や線香・ローソク・お念珠などの販売
をしています。","橋本8-1-1","042-772-2554","あんしん楽部会員様は仏壇・位牌が10％OFF、
お線香・ローソク・仏具・念珠が5％OFFでお買い求め
頂けます。"
"","ブティックティファニー","小売業","婦人服全般","橋本3-4-8","042-773-8484",""
"","プラ－チェ 橋本店","サービス業","美容室","橋本3-15-17HKビル2F201","042-703-7300",""
"","ふらわ～すずき","小売業","花屋","橋本6-27-3","042-772-3835","品質の良い花を取り揃えております。
よろしくお願いします！"
"","ヘアメイク ファーストプライズ","サービス業","カット、カラー、パーマ、トリートメント、縮毛矯正等の美
容室です。","橋本2-3-3 4F","042-773-0080","＊新規のお客様は20%off
＊新規の縮毛矯正のお客様は10%off"
"","ほーむばる ITADAKI","飲食業","～自家製料理が自慢のイタリアンバル～","橋本3-19-15","042-813-9707",""
"","ポーラ ザ ビューティ 橋本駅前店","小売業/サービス
業","POLA化粧品販売・フェイシャルエステサロン(レッグ・
アーム＆背面も実施しています)","橋本3-18-5AKビル1F","042-703-6353",""
"","ホンダカーズ神奈川西 橋本店","小売業","自動車(新車)の販売、車検、点検、整備、修理をして
います。
Honda正規ディーラー
その他に、電動車いす(WHILL)の販売も行っていま
す。","橋本1-18-12","042-771-8282",""
"","本間写真館","サービス業","写真撮影","橋本2-11-2","042-762-3456",""
"","（株）マコト電気 橋本店","小売業","地域密着型の家電販売店です","橋本4-17-8","042-771-8034",""
"","真砂豆富","飲食業","とうふ料理","橋本3-19-21","042-772-2316",""
"","マルコヤ","小売業","キレイになって元気に笑顔になりたい方をサポートす
るお店です。ソニックエステ、化粧品販売、手芸講習
会、実施しています","橋本6-1-14","042-772-2323","マルコヤポイントカード2倍おし"
"","ミートショップ 寿々木","小売業","国産 牛、豚、鶏肉 及び 焼鳥、お惣菜の販売","橋本3丁目14番13号 H K 第 4 ビ ル 内","042-772-4129",""
"","ミスタードーナツ橋本駅前ショップ","飲食業","","橋本3-28-1　ミウィ橋本1F","042-700-7568",""
"","ミックコスメティックプラザ橋本&ティアレム","小売業","ヨーロッパのお化粧品を扱っています。","橋本6-36-1-701","042-771-7552","お肌のスキンケア情報お伝えしています。"
"","みの原","飲食業","居酒屋","橋本3-19-17プリムローズハウス202","042-770-6857",""
"","宮之前薬局","小売業","医薬品，化粧品、雑貨など","橋本6-41-13","042-772-2037","次回使用出来る割引券"
