"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"相模原","相模原名倉堂鍼灸整骨院","サービス業","美容から精神疾患まで身体の治療とメンテナンスを行
なっています。","相模原8-1-8-1F","042-707-8078","美容鍼を半額でご提供致します。"
"","相模原パークレーンズ","小売業/サービス
業","ボウリング場、ボウリング用品販売","相模原2-7-4","042-755-1110",""
"","相模原まちなか整骨院","サービス業","相模原駅近くの整骨院です。
怪我の手当て、骨盤矯正などを行なっています。","相模原1-4-8スカイオーブ1F","042-851-3393","回数券がキャンペーン対象商品です。"
"","相模横丁","飲食業","相模原駅前！定番居酒屋メニューからアジアン系多
国籍料理が一堂に集結。ぜひ一度お越しくださいま
せ！","相模原2-4-1M&MⅡビル1F","042-711-7732",""
"","旬菜厨房海月","飲食業","一般食堂","相模原3-8-5レクハイム相模原3 103","042-707-1966",""
"","食事処ときわ","飲食業","リーズナブルな定食屋さんです","相模原6-20-4","042-751-3003",""
"","寿司儀","飲食業","寿司，ふぐ，うなぎ","相模原4-1-21","042-752-4478",""
"","炭火焼肉ホルモンぐんそう","飲食業","焼肉、ホルモンを提供","相模原3-3-7 2F","042-757-2278",""
"","セブンイレブン相模原4丁目店","小売業","","相模原4-3-17-1F","042-707-8077",""
"","セブンイレブン相模原5丁目店","小売業","","相模原5-7-1","042-751-3011",""
"","セブンイレブン相模原1丁目店","小売業","24時間営業のセブンイレブン店です","相模原1-8-3","042-757-2770","24時間営業です"
"","セブンイレブン相模原2丁目店","小売業","セブンイレブン店の経営","相模原2-2-15","042-758-3033","24時間営業"
"","蕎麦 鷲ひら","飲食業","手打ち蕎麦店","相模原5-1-11","042-852-3321","なし"
"","ダイヤ・ドライセンター相模原駅前店","サービス業","クリーニング店です。衣類のお直しも承っております。 相模原1-2-2","","042-755-3240",""
"","脱毛サロン グロリオーサ","サービス業","ローンを組まない、都度払いの脱毛サロンです。","相模原2-13-7グランドール相模原404","070-4549-9772","初回全メニュー1000円OFF。
（クーポン併用不可）"
"","タナカインテリア","小売業","カーテン、ブラインド、ロールスクリーン、絨毯、クロス、
インテリア小物等の販売をしています。","相模原6-25-10","042-752-0457",""
"","中華料理聚縁閣","飲食業","","相模原3-1-1B1","042-752-0768",""
"","中国名菜 敦煌","飲食業","地元の中華料理屋です。全て個室、宴会場も完備。","相模原2-13-1","042-756-6555","横浜線相模原駅から３分ほど中華料理屋です。全店
個室、５Fから
駅前の景色が優雅に一覧しながら、中華料理を楽し
めます。ただ今、体に優し桑茶入り麺の冷やし中華、
蓮のみ、棗、竜眼入り銀耳蓮子湯の薬膳料理提供"
"","築地 山加","飲食業","お刺身が美味しいお店です。","相模原2-9-1メゾンボヌール103","042-776-0735",""
"","てっぱん","飲食業","飲食店","相模原4-1-21寿司儀ビル2F","042-866-7881",""
"","藤玲中国物産","小売業","中国の本番調味料、お菓子、おやつ、冷凍食品を販
売しております。","相模原5-1-20-302","080-6882-5959",""
"","トータルケアsalon～ブリエ～","サービス業","体のつらさから小顔までお客様の悩みを改善。
体をトータルでケア出来る生体サロンです！","相模原3-2-4ゑびすビル503","042-707-1406","さがみはらサンキューキャッシュバックキャンペーンを
見たご新規のお客様
頭蓋骨調整小顔コース60分　3000円
※通常は3980円"
"","とことん餃子の朝日屋","飲食業","・飲食店（餃子専門店）・お惣菜とお弁当などの仕出し
・テイクアウト","相模原5-10-10カンノインビル101","042-730-6161","当店の餃子は「餡」と「皮」にこだわってます。餡には上
質な三元豚を使用。肉と野菜の甘みとジューシーさ
で、何個もパクパク食べれる餃子です。店内はアット
ホームな雰囲気で、母と息子の親子2人でお出迎えし
ます。"
"","ドトールコーヒーショップ相模原駅前店","飲食業","","相模原1-1-19　3F","042-786-2565",""
"","とんちゃんハウス","飲食業","韓国家庭料理が得意な焼肉屋です！","相模原6-3-2朝日ビル1F","042-776-9727","お肉げ美味しいのはもちろんの事、新大久保まで行か
なくても本格韓国料理を味わえます。キムチなども全
て自家製でございます！お持ち帰りだけでも是非ご利
用下さいませ"
"","なずき行政書士事務所","サービス業","成年後見、相続手続き、許認可申請","相模原2-13-7-602","042-707-4547",""
"","肉バルのの","飲食業","ステーキ&なみなみワインのお店","相模原3-1-5","042-707-0629","ご来店時、LINE肉バルのの公式アカウントとお友達に
なって頂くと
ファーストドリンク無料となります♪（対象ドリンクはご来
店時にご説明致します）"
"","拝啓 鳥から豚へ","飲食業","炭火を使った焼き鳥屋です。","相模原2-2-7田中ビル1F","042-866-3328","次回使用できるワンドリンクサービス券の配布"
