"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"小原","壽堂","飲食業","【酒まんじゅう】・【生あまさけ】　製造販売
お持ち帰り（お土産）のほか、出来立ての温かい酒ま
んじゅうを
食べれる《古民家風カフェ》併設しております。
冷たい《生あまさけ》好評販売中です。","小原668","042-684-9013","期間中、当店ご利用のお客様に、カフェコーナーで次
回使用できる割引券の配布。"
"","（株）ナガイ","小売業","LPガス、灯油、燃料販売。
ガス給湯器、石油給湯器、エコキュート　修理販売。
システムキッチン、システムバス、トイレなどの水廻り
リフォーム","小原668","042-684-3048","御見積り無料。
期間中、ガス器具、各種給湯器ご購入のお客様へ特
典あり。"
"小渕","BLUE","サービス業","理容業 パーマ ヘッドスパ エステ 
AGA商品 エイジングケア商品","小渕2268-1","042-687-5237",""
"","JA神奈川つくい 藤野支店","小売業","","小渕1687-4","042-687-4511",""
"","梶原美容院","サービス業","美容室","小渕2268-6","042-687-4747",""
"","のざき薬局","小売業","保険調剤、健康補助食品・化粧品販売","小渕1707","042-687-5115",""
"","（有）原田電気商会","小売業","電気器具販売及び修理","小渕2179-11","042-687-3870",""
"","美容オオツカ","サービス業","","小渕1727-3","042-687-2338",""
"","フードストア藤田屋","小売業","藤野ゆず特産品他食料品の販売","小渕1862","042-687-2456",""
"","藤野観光案内所「ふじのね」","小売業","緑区藤野地区の観光案内をするとともに、同地区の
特産品及び同地区在住のアーティストの作品を展示・
販売している。","小渕1702-3","042-687-5581",""
"","松喜屋商店","小売業","洗剤等の日用品雑貨と調味料、菓子類、アイスクリー
ム、駄菓子等の食品を販売しています。","小渕2114","042-687-3034",""
"","焼肉のいちばん","飲食業","焼肉","小渕1707-1","042-687-6429",""
"","レストラン風里","飲食業","ＪＲ藤野駅前のレストランです。","小渕1705","042-687-5753","ＪＲ藤野駅前のレストランです。"
"上九沢","MTサロン 橋本南店","サービス業","MTメタトロン化粧品正規取り扱い店　肌質改善フェイ
シャルサロン","上九沢277","042-738-7277","超音波洗浄初回体験特別価格¥1,100（税込）"
"","（有）キャンディー","小売業","家電、水回り機器、健康機器、電気工事、設備工事が
できる（CAN）Denkiyaです。","上九沢127","042-763-8000",""
"","セブンイレブン相模原大沢店","小売業","コンビニエンスストア","上九沢272-5","042-762-5066",""
"川尻","（有）えのもと","小売業","地酒、泡盛・紹興酒の量り売り、城山商工会推奨品の
期間限定「鮎の一夜干し」などを販売しています。","川尻4682","042-782-2907",""
"","きまぐれ堂壹番館","飲食業","自家焙煎珈琲店のカフェ部分が『壹番館』色々なハン
ドメイドのワークショップを開催
保護猫活動支援品の販売が『きまぐれ堂』
同じ店内でスペース分けされています
毎月第一土曜日は保護猫の譲渡会","川尻1611-16","042-782-0415","コーヒーのおかわりは200円引き
猫好きさんには嬉しいカフェです"
"","水道路　千鶴","飲食業","","川尻1958-1","042-782-5584",""
"","セブンイレブン相模原城山川尻店","小売業","近くて便利なコンビニエンスストアです","川尻4030-1","042-782-7672",""
"","セブンイレブン相模原城山川尻東店","小売業/飲食業/
サービス業","コンビニエンスストア","川尻1593-1","042-782-0902",""
"","ローズベリーファーム","飲食業","キッチンカーで自家栽培ブルーベリーなどを使用して
スムージーの提供をしています。また自家製ジャムな
どの販売もしている農家さんです。","川尻4493-6","042-783-6683","キッチンカーにてサンキューキャッシュバックキャン
ペーン見ました！と伝えてくれたら５０円引きにしま
す。"
"久保沢","青葉薬局","小売業","漢方薬局、主に漢方薬や健康食品の販売","久保沢2-1-23","042-782-3088","ご来店の上、お買い物をして頂いた方に次回以降使
える割引券をプレゼント"
"","石井珈琲店","小売業/飲食業","自家焙煎珈琲小売り販売、飲食店","久保沢3-3-39","042-815-3141",""
"","伊勢原書店城山店","小売業","書店 
 書籍販売","久保沢1-4-12","042-752-7017","各種スマホ決済取り扱いあります"
"","きくちでんき","小売業/サービス
業","家電製品販売及び電気工事","久保沢3-7-17","042-782-4111",""
"","久保沢整骨院","その他","接骨業","久保沢2-2-9","042-785-3715",""
