"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"上鶴間","ECCベストワン東林間駅前校","その他","小1～高3対象の、5科目指導の
個別指導学習塾","上鶴間6-31-10新光東林間ビル4F","042-810-8640","★公立中生の英語・数学20点アップ保証制度あり
★英検準2級まで合格保証制度あり"
"","Highland Cake（ハイランド ケーキ）","小売業","","上鶴間4-4-5","042-705-5908",""
"","LIANGE","サービス業","東林間駅 東口から降りてすぐ目の前にある美容室で
す。","上鶴間7-6-8","042-705-7461",""
"","いろは堂薬局東口店","小売業","保険調剤、一般用医薬品販売、化粧品販売などをし
ています。","上鶴間7-5-8キクヤビル1F","042-702-4649","毎週土曜日リンリンポイント3倍。"
"","カレーハウスCoCo壱番屋相模原上鶴間店","飲食業","カレー専門店です","上鶴間2-8-1","042-746-7727",""
"","珈琲新鮮館 Dino","小売業/飲食業","生豆の品質や焙煎、焙煎後の鮮度にこだわった珈琲
焙煎所","上鶴間7-6-9 1F","042-744-7077",""
"","コワフュール・エステ・エコー","サービス業","美容業全般(カット・パーマ・毛染・シャンプー・セット　
着付etc)","上鶴間7-5-9","042-746-0298","ナンバーズカード発行。(ポイントがたまる、期限なし端
数算入)"
"","三福飯店","飲食業","定食やラーメン中心の中華料理店です","上鶴間7-6-9","042-742-1474",""
"","セブンイレブン相模原くぬぎ台小前店","小売業","コンビニエンスストア","上鶴間6-7-9","042-747-7115",""
"","そば処 高松","飲食業","そば、うどん、丼物、定食","上鶴間7-5-10","042-745-6887",""
"","たっきー指圧治療院","その他","疲れた身体を癒やしコリをほぐす、日々の体調管理や
自分へのご褒美に一人一人に寄り添う指圧治療院で
す。","上鶴間7-14-14","080-4441-7354",""
"","利根川Ｋスタジオ","サービス業","シニアの方が安心して通えるアットホームなフィットネ
ススタジオです。椅子を使用してのレッスンもありま
す。","上鶴間5-1-21スカイビル2F","042-745-4100","キャンペーン期間中、
①60歳以上の方の入会金無料。（お月謝のみ頂きま
す）
②フィットネスシューズの販売、及びフィットネスウエア
特別saleを開催予定。"
"","ドライクリーナートップ","サービス業","クリーニング業","上鶴間6-21-15","042-743-7885","公式ラインお友達追加でお得なサービスや割引があり
ます"
"","東林間整骨院","サービス業","整骨院、整体業。
自費診療を主体とした施術を提供している治療院です","上鶴間6-27-5コジマビル101","042-743-8020","ホームページをご覧になり
下記の公式ラインからご予約の方には初診時に使え
る1000円オフクーポン、無料ゆがみ測定をプレゼン
ト。"
"","美容室サーカス サーカス","サービス業","美容室","上鶴間6-28-5","042-740-3224",""
"","ふくろふ森","飲食業","地域から愛される店を目指す、フレンチレストランで
す。","上鶴間5-5-12","042-740-2951",""
"","ブックオフプラス16号相模原上鶴間店","小売業","本、ホビー、洋服などの買取・販売を行うリユース
ショップです。","上鶴間2-5-2","042-767-3116",""
"","ホンダカーズ神奈川西 相模大野店","小売業","自動車(新車)の販売、車検、点検、整備、修理をして
います。
Honda正規ディーラー
その他に、電動車いす(WHILL)の販売も行っていま
す。","上鶴間2-1-1","042-749-3711",""
"","道の整骨院","その他","相模原・町田エリアで唯一のバイタルリアクトセラピー
専門院。マッサージや整体で良くならなかった方にお
すすめです。","上鶴間6-12-16-1Ｆ","042-866-6641","マッサージや整体でも良くならなかった方限定で初診
料2,000円引きで特別提供。"
"上鶴間本町","HairSalon ACE（エース）","サービス業","理容業","上鶴間本町4-51-33 1F","042-746-5772",""
"","i-bases（イーベイシズ）","サービス業","みなさまの毎日をちょっぴり楽しくする、地域密着型個
人営業のIT企業です
パソコンやスマホの使い方はもちろん突然のトラブル
や日頃のメンテナンス、Webサイトの構築など最適な
サービスをご提供しております","上鶴間本町6-11-18","042-851-5729","新規会員登録無料！"
"","Leshen ～Total Beauty Studio～","サービス業","小顔矯正、骨盤矯正などの美容矯正をしています。 
綺麗になりたい方はもちろんですが、首肩凝りや腰痛
など、身体の不調を改善したい方も大歓迎です。","上鶴間本町3-10-2 Riziere West303","080-6367-5816","全身どこでもお任せください！ 
※様々な割引もご用意しております。"
"","市川ストアー","小売業","相模原市産、地元野菜や果物を販売しています！","上鶴間本町5-29-14","042-742-8798",""
