"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"相模原","TACOS GRACIOSO","飲食業","本場のメキシカンタコスが食べられます！","相模原4-6-10 1F","042-711-7785",""
"","あい庵","飲食業","","相模原3-5-7","042-851-4578",""
"","青空農園","小売業","地元相模原市で無農薬野菜を育てています。
販売当日に朝採りした野菜を、直売所で販売しており
ます。","相模原5-10-18","042-719-4503","お買い上げ金額に応じて、旬のお野菜をプレゼント！"
"","アバンギャルド花木　秀","小売業","生花、ドライフラワー 
アレジメント致します。","相模原6-17-12","042-854-2236","キャンペーン中、２０００円以上のお買い上げ頂いたお
客様に、 
ドライフラワーのミニブーケをプレゼントさせて頂きま
す。"
"","アプローズ相模原店","サービス業","洋服直し","相模原1-2-3","042-752-4418",""
"","イグレックパリ相模原店","サービス業","美容業","相模原1-4-13labrume1F","042-715-1833","新規の方技術料金20%OFF"
"","居酒屋 天城","飲食業","","相模原3-11‐3 カーサTTY A号室","042-855-5959",""
"","江戸前寿司ちかなり 長谷川店","飲食業","味．鮮度にこだわった本格江戸前寿司。豊富なネタで
職人がにぎる寿司。ランチタイムには日替わりオスス
メ丼やお寿司とお蕎麦のセットなど、刺身、天ぷらなど
メニュー豊富に取り揃えております。","相模原5-1-20","042-707-7720",""
"","エフエムさがみ（FM HOT 839）","その他","放送業","相模原6-20-1","042-776-3980","地元のラジオ「FM HOT 839」。
①ラジオCMの放送料を10%割引します。
②ラジオ生出演（５分）PRの放送料を10%割引しま
す。
お見積もり無料。お気軽にご相談下さい。"
"","エメラルド","小売業","カジュアルな婦人服を販売しています。","相模原2-2-6","042-776-1611",""
"","お顔そりサロン～SORU～そる","サービス業","女性専門のお顔そりサロン","相模原8-1-3","042-711-7973","新規のお客様に、お耳掃除サービス"
"","（有）金子時計店","小売業","時計、眼鏡、宝飾品販売","相模原1-2-15","042-752-3015",""
"","カフェ金花茶","飲食業","エルヴィス・プレスリーの曲を聴きながら
エルヴィスサンド、フルーツティ、八宝茶、スイーツで
ゆっくり過ごしたり皆さんとおしゃべりするカフェです。
チョークアートレッスン、ウクレレ教室もやっています。","相模原8-1-4平岡ビル2F","042-707-7932",""
"","身体の達人（相模原店）","サービス業","整体、エステ、パーソナルトレーニングで地域活性化
に努めます","相模原6-17-12","080-4718-1828","さがみはら39キャンペーン利用希望のお客様用「お得
な回数券」販売いたします。"
"","菊屋浦上商事（株）","小売業","日本で唯一の左利きグッズの販売を始めちょっと変
わった文房具店（オフィス用品の販売から修理まで対
応してます）オフィス関連用品・ＯＡ機器・書道用品な
ど様々なグッズを取扱販売中お気軽にお問い合わせ
ください！","相模原6-26-7","042-754-9211",""
"","餃子のとし","飲食業","餃子とビールを提供する飲食店です","相模原2-2-5","042-756-1748","3名様以上のご来店で焼餃子1皿プレゼント！"
"","串かつ専門店 串鷹","飲食業","アルコールや食事の提供","相模原3-3-2 小泉ビル1F","042-758-8639",""
"","クボタスポーツ","小売業","野球用品や近隣の学校のジャージを販売しています","相模原6-23-4","042-752-3107",""
"","くまざわ書店相模原店","小売業","相模原駅ビルの書店","相模原1-1-19 4F","042-786-2031","毎月末
最終金土
Kポイント２倍DAYです"
"","くみあい商事（株）","その他","不動産業","相模原2-13-5","042-776-1234",""
"","ぐるんぱ動物病院","その他","犬猫専門の動物病院です。","相模原8-1-8パストラル坂本102","042-815-2298","なんでも相談できる病院を目指しています。お気軽に
お立ち寄りください。"
"","慶翔ゼミナール","サービス業","中学受験/高校受験対応の学習塾です。","相模原2-12-21","042-813-3974","「第一志望が一人ひとりのトップ校」
個別指導コースを中心としたそれぞれの生徒に合った
丁寧な指導を日々行っております。
無料の「塾給食」があり、ご家庭のご負担を軽減いた
します。"
"","恒進学習塾","サービス業","小・中学生授業補佐","相模原2-11-16","042-758-9300",""
"","個室居酒屋たすき 相模原駅前店","飲食業","もつ鍋、馬刺し、刺身の美味しい駅近の居酒屋です。
宜しくお願い致します。","相模原3-2-5 2F","042-707-0070",""
