"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"並木","ル・ポアソンルージュ","飲食業","レストラン","並木3-19-2","042-757-3330","ご予約特典ございます。(ひと口おつまみのサービスと
次回使えますアイスクリーム券)"
"","（有）ワールドスポーツ","小売業","スポーツ用品小売り","並木3-18-9","042-755-3835","ストラックアウト（少年野球用）や、スピードテスターの
レンタルをやっています。 
詳しくはホームページをご覧下さい！"
"東淵野辺","Ka's","サービス業","理容業","東淵野辺5-21-13","042-757-2700",""
"","クリーニング共和 東淵野辺店","サービス業","クリーニング店","東淵野辺4-2-2","042-754-4575",""
"","クリーニングショップ　ダイトー","サービス業","衣類のクリーニング","東淵野辺4-13-37","042-719-4782","平日朝７時３０分〜夜７時３０分まで、日曜・祝日１１
時〜１８時まで 
営業しております。（木曜日・第三水曜日が定休） 
シミ抜きなどお困りの事がございましたら、ぜひ一度ご
相談ください。"
"","河本ファーム","その他","年内はシクラメンやパンジー等の花苗 
 年明け以降は、いちご屋にていちごの販売やいちご
狩りをしています。","東淵野辺3-3-6","070-3622-8217","パンジー等の花苗の販売価格を、キャンペーン中は
税込み価格にします。"
"","セブンイレブン相模原東淵野辺5丁目店","小売業","コンビニエンスストア","東淵野辺5-2-15","042-768-0771",""
"","セブンイレブン相模原東淵野辺4丁目店","小売業","コンビニエンスストア","東淵野辺4-15-54","042-769-5355",""
"","辻田いずみ 香りのピアノ教室","サービス業","ピアノ教室、音楽家支援事業、ビジネスサポート、セラ
ピー事業","東淵野辺2-23-8","080-5410-3334","「サイトを見た」で体験レッスン3,500円⇒1,500円
ただし11月30日まで"
"","ひかりやサイクル東淵野辺店","小売業","自転車販売及び修理","東淵野辺5-3-1","042-752-2331","修理の好きな店"
"","ひなたデザイン設計　二級建築士事務所","サービス業","住宅・店舗等の設計、空間デザインの会社です。 
キャンペーン期間中、 
木と土の家つくりについてのセミナーを、相模原市内
の民間スペース等にて開催します。","東淵野辺3-18-6","090-9960-9334","木や土の家つくりが得意です。 
ものつくりのネットワークを生かし、あなたらしい家つく
りをお手伝いします。"
"","淵野辺道具屋","小売業","建築工具や電動工具の販売、修理のお預かり","東淵野辺5-1-10","042-752-1098","建築工具や電動工具からネジ、手袋まで取り扱いして
おります。
修理や処分、目立てもお預かりしていますのでお気軽
にご利用くださいませ。不要になった電動工具などお
譲りして頂いたお客様にポイント付与しています"
"","ヘアーサロンRIVER","サービス業","理容一般","東淵野辺3-12-1","042-768-0373",""
"","まり動物病院","サービス業","わんちゃんとねこちゃんの一次診療と日常のお手入れ
(&飼育相談)などをお受けしてます♪","東淵野辺4-2-4 1F","042-751-9293","お気軽にお立ち寄りください。"
"","ラ ペルシュ ミキ","サービス業","お顔や身体のケア、リラクゼーションを提供する完全
個室のビューティー&リラクゼーションサロンです。","東淵野辺1-13-1-102","042-707-4241","新規のお客様限定、10%OFF。"
"","ワミレスサロン古淵 loistaa","小売業/サービス
業","エステの施術や化粧品の販売","東淵野辺2-12-15","042-812-7009","初回施術2,200円（税込）"
"光が丘","ISF介護タクシー なごみ","サービス業","地域密着型 介護タクシー","光が丘3-28-9","042-719-1071","乗車時に次回ご利用で使える 
基本介助料2割引券進呈。"
"","居酒屋パブ・かつら","飲食業","居酒屋","光が丘1-15-19パティオ三田102","042-757-3588",""
"","伊藤酒店","小売業","酒類、食品販売","光が丘1-16-1","042-752-9316","地元のお酒、盛升（厚木七沢）、巌乃泉（津久井）や、 
美味しいワインが揃ってます。"
"","（株）新中央ツーリスト相模原","サービス業","相模原発のバスツアーや団体様のご旅行を企画・実
施しております。","光が丘2-17-1","042-750-2510","当社では現在各県の旅割＆かながわPAYを実施して
おります。
お見積無料、ご希望あれば営業マンが打ち合わせな
どにもお伺いをさせていただきます。"
"","スポーツカムイ相模原","小売業","サッカー,野球,ランニング,テニス,バスケ,バレー等を中
心にスポーツ用品全般を取り扱っております.","光が丘3-31-25","042-759-7315",""
"","セブンイレブン相模原光が丘1丁目店","小売業","","光が丘1-1-27","042-756-7731",""
"","そばや池乃家","飲食業","そばうどん店","光が丘1-1-20","042-753-1960","親子丼セットが1番人気です。"
"","デンズ・カフェ","飲食業","住宅街の中の小さなカフェです。","光が丘2-11-7","042-753-1441","テラス席はワンちゃんも一緒にご利用いただけます。"
