"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"橋本","カフェこたつ","飲食業","クラフトビールとワイン中心の居酒屋","橋本6-19-5ルート橋本ビル3F","042-814-8927","珍しいクラフトビールあります"
"","身体の達人（橋本店）","サービス業","整体、エステにて地域活性化に努めます","橋本1-11-17","080-4718-1828","さがみはら39キャンペーン利用希望のお客様用「お得
な回数券」販売いたします。"
"","（有）橋南堂","小売業","文具、事務用品、印章、印刷","橋本2-14-1","042-772-2408",""
"","靴下屋 ミウィ橋本店","小売業","靴下の小売業です","橋本3-28-1ミウィ橋本3F","042-700-7551","Tabioアプリでお気に入り店舗登録をして頂くと、アプ
リポイント3倍付与いたします！"
"","クリーンメガネ橋本店","小売業","メガネ小売店","橋本2-10-19","042-773-9795","期間中お買い上げの方　10％割引"
"","クレイ&アロマテラピーサロン aromajourney サービス業","","クレイパックとアロマテラピーのマッサージが受けられ
るサロンです。女性専用になります。","橋本3-22-11 706号","090-9987-3815","毎月3名様限定！ご新規様特別価格で施術を受けて
いただけます。
ツクツク！ポイント3%付与サービスもあります。"
"","コスメティックおおぬき","小売業","キレイを提案する化粧品専門店です。取り扱い：資生
堂・カネボウ・コーセー。丁寧なカウンセリングによりお
悩みに合わせたスキンケアアドバイス、メイクレッス
ン、エステを行っています。洋服や小物も人気です！","橋本6-2-2-205","042-772-6544","リフトアップエステが通常5,500円のところ初回お試し
が1,100円！
マスク生活で気になるほうれい線を超音波やEMSで
しっかりキープ。また、お買い上げの方にスキンケア
サンプルセットプレゼント！！"
"","個別指導会橋本教室","サービス業","橋本で25年の個別指導塾です","橋本5-13-9","042-770-5570","ご入会で3000円分の図書カード（amazonギフト券も
選択可）をプレゼント。
さらに入会金全額免除。"
"","こむぎ","小売業","パンの販売","橋本6-30-16","080-7751-6672",""
"","コメダ珈琲店橋本店","飲食業","コーヒーやハンバーガーなどのスナック、デザートを提
供する喫茶店","橋本8-2-1ラ・フロール内","042-700-7515","朝7:00～11:00までモーニングサービス提供中です。"
"","さかなや 魚勝","小売業","魚介類販売、寿司、惣菜","橋本3-4-12 宮本ビル 1-B","042-773-0735","旬の魚介類の販売、手造り惣菜、ご予約でにぎりたて
のお寿司をご用意できます。"
"","相模原インドアテニススクール","サービス業","テニススクール、習字教室","橋本7-9-13","042-773-8704",""
"","相模原熟成肉庫 レッドキングコング","飲食業","レッドキングコングは、2015年7月に橋本にオープンし
た熟成肉とワインの店。明るく元気で陽気だけど雰囲
気も抜群なんです！熟成肉を焼き上げる瞬間が見ら
れるカウンター席やテラス席もございます。","橋本3-17-3　1F","042-770-9008",""
"","相模原市農業協同組合 旭支店","小売業","","橋本6-5-15","042-771-1588",""
"","佐久間風呂店","小売業","住宅設備機器販売","橋本4-16-2","042-772-4126",""
"","佐藤タクシー","サービス業","タクシー","橋本2-25-14","042-773-3236",""
"","シェービングサロン イエシム","サービス業","顔剃り専門店","橋本6-12-2 SG-BLD 404","042-703-6481",""
"","志美津屋製菓","小売業","和菓子製造販売","橋本6-39-8","042-773-3606",""
"","謝朋殿橋本ミウイ店","飲食業","上海料理をベースとした本格中華料理店","橋本3-28-1ミウイ橋本5F","042-700-7647",""
"","食彩たむら","飲食業","昼はラーメン 
 夜は居酒屋の飲食店です。","橋本8丁目5-17","042-703-1540",""
"","女性専用お顔そり専門店　サンフェイス","サービス業","女性専用のお顔剃り専門店です","橋本6-5-13 旭ビル1階","042-703-3031","女性理容師による女性専用のお顔そり専門店です 
ヘアーサロンリューズ内の女性専用個室にて、女性ス
タッフが対応いたします。完全予約制になります。"
"","スタジオファンタジスタ橋本店","サービス業","写真館・ベビー・お宮参りフォトからお誕生日・七五三・
振袖・ブライダルフォトまで衣装レンタルができるフォト
スタジオです 
ご家族の記念写真もお撮りしています","橋本6-2-1　イオン橋本5F","042-703-5561","かながわPayご利用できます"
"","整体・パーソナルジム Re・Set","サービス業","橋本にある整体、パーソナルジムです。
お客様に合った施術を提供する為に徹底したヒアリン
グを行ってます。お身体を根本からリセットし理想のお
身体、疲れにくいお身体を作りましょう！","橋本3-19-17プリムローズハウス305号室","042-703-3066","初回限定コースあります！！"
"","セブンイレブン相模原橋本7丁目店","小売業","コンビニエンスストア","橋本7-6-14","042-774-4447",""
"","セブンイレブン相模原橋本6丁目店","小売業","コンビニエンスストア","橋本6-12-4","042-774-7803",""
