"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"共和","和知電気","小売業/サービス
業","エアコン工事、電気工事、家電製品販売と設置。
エアコンクリーニング。","共和2-17-9","042-711-7335","信頼と実績。
相模原市の仕事にも参加してます。
親切、丁寧を心がけてます。"
"向陽町","ますや","小売業","店内調理の弁当、惣菜の他、酒、菓子、たばこなどの
小売販売です。","向陽町7-12","042-776-2070",""
"小町通","コマチモーターサイクル","小売業","自転車全般・原付自転車販売修理","小町通1-1-7","042-755-0310",""
"","セブンイレブン相模原小町通2丁目店","小売業","コンビニエンスストア","小町通2-1-3","042-770-1671",""
"","相和交通　（有）","サービス業","タクシー事業者　保育事業","小町通2-11-2","042-770-1115","365日24時間営業"
"","鳥舎","飲食業","鳥料理を中心とした居酒屋です。","小町通2-4-13","042-700-4743",""
"","ピクシーフラワー","小売業","生花小売","小町通1-1-6","042-750-1236",""
"","リカーランドトップ相模原店","小売業","酒類・飲料・食料品の小売販売","小町通2-4-1","042-774-7101","会員アプリ新登場！
新規アプリ会員様募集中！
相模原市の唯一のワインナリーの商品取り扱いしてお
ります。"
"相模原","AKランドリー相模原7丁目店","サービス業","クリーニング","相模原7-7-4","042-752-6842","30円券1枚プレゼント"
"","ALLURE アリュール","サービス業","美容室","相模原1-2-2 4F","042-768-7266",""
"","Do Marri inc.","その他","結婚相談所、ウェディングサービス","相模原3-2-4えびすビル502","042-768-7250","無料カウンセリング"
"","HAIR&LIFE Omote","サービス業","その人のベストを提供する美容室です。","相模原2-13-3アサダヤビル2F","042-707-4944","30代～50代のオシャレを楽しみたい方がご利用する
美容院です。貴方の生活スタイルに1番合ったスタイ
ルを提供します。"
"","Ｋ’ｓ Ｐｒｅｓｔ相模原駅前事務所","サービス業/その
他","古物商/リラグゼーション整体マッサージ/便利屋","相模原5丁目11番1号ライオンズマンション第71105","042-855-8443","ご新規様大募集中です"
"","Lack Lund","飲食業","Bar","相模原3-8-4-2F","042-851-4473",""
"","makeup room Any","サービス業","完全個室のまつげエクステサロンです。フェイシャルエ
ステ、眉毛カット(オプション)、ヘッドマッサージなども
行っております。","相模原8-1-4平岡ビル2F","042-707-7952","マンツーマンの癒し空間にてフラットラッシュ・カラーエ
クステなど丁寧に施術いたします。初回100本4200
円、フラットラッシュも初回に限り同料金となります。期
間中ポイント2倍♪"
"","MixDining AMELIAN","飲食業","テラスのあるカフェ＆レストラン","相模原3-1-10JLBグランエクリュ相模原駅前1F","042-851-3913",""
"","POLA相模原駅前店","小売業/サービス
業","エステ・化粧品販売","相模原２－１－５サトウビル１Ｆ","042-758-9798","２０２２年上半期ベストコスメ受賞製品サンプルプレゼ
ント★ 
インスタフォローでダブルプレゼント★ 
次回使える、エステ特典チケットプレゼント★"
"","Roast29東京","飲食業","和牛ローストビーフ専門店ですが、肉創作料理の提供
にも力を入れてます。","相模原4-7-20","090-3043-7502",""
"","SALON DE CHICA","サービス業","完全個室、女性専用リラクゼーションです。","相模原3-8-24-101","080-9829-9082","サロン内はダウンライトの落ち着いた雰囲気で、完全
個室なのでゆっくりリラックスして頂けます。かながわ
ペイ利用可能！"
"","salon de FOREST","サービス業","理容店です。","相模原2-3-16","042-756-3838","おかげさまで先代から創業50余年。２４時間で空間除
菌稼働中です。"
"","SC相模原 グッズショップ","小売業","SC相模原グッズショップ
ホームゲーム試合日程（https://www.scsagamihara.
com/match/games/）にて開店しています。
ユニフォームや応援グッズ、ガチャガチャ等あり！","相模原5-1-19","042-810-7777","SAGAMISTAファンクラブに入会していただくともれな
くSC相模原グッズをSAGAMISTA価格(約10%OFF)
で購入することができます。
※SAGAMISTA価格がない商品もございます。"
"","Sheep","サービス業","アイリスト 
 まつ毛エクステをつけます","相模原2-8-1 コンフォートビル505","080-6817-2158","ご新規様→フラットラッシュ120本6000円（オフ込）、ボ
リュームラッシュ300本6500円（オフ込）ブラウンも同
料金でok♪ 
 完全個室になります！"
"","Stray blue jazz club","飲食業","ジャズバー","相模原1-2-5好月堂ビル202","042-705-9809","ジャズを聴きながら、シングルモルトを中心に入手困
難なウイスキーやカクテルをご提供。 
YouTubeチャンネルに登録して頂いたお客様にはオリ
ジナルステッカーをプレゼント！"
