"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"橋本","セレモニーホール永田屋","サービス業","創業109年！老舗の専門葬儀社です。","橋本8-1-1","042-784-7184","相模原市を中心に会員数9万人！
 あんしん倶楽部新規入会受付中！
 ご相談だけでもお気軽にお声掛けください！"
"","セントラヴィ橋本店","サービス業","女性専門で、痩身・ブライダルエステを行う美容エステ
ティックサロンです。リンパドレナージュや痩身マシン
で、全身やせを目指します。エステ・人気ランキング®
相模原エリアで人気No1を獲得しています。","橋本6-26-10クレストコート2F","042-703-6200","初回エステ体験を、3300円からご案内しています。予
約制サロンになりますので、ご希望の方はご予約をお
待ちしております。"
"","大衆酒場「くん","飲食業","居酒屋","橋本6-19-1ﾙｰﾄ橋本ﾋﾞﾙ１F","042-703-4334","飲み放題２時間１８００円　３時間２７００円 
毎日変わる”本日の裏メニュー”あります"
"","タイマッサージ thyme","サービス業","タイマッサージのサロン、スクールです。","橋本3-19-17プリムローズハウス606","042-703-3559","タイマッサージthyme~ﾀｲﾑ~
2人ヨガとも言われるいい所取りなマッサージ♪
初回25％オフ！
来店時次回予約で10分サービス！
お待ちしております^^"
"","多田理容館","サービス業","理容店(女性の顔剃、出張理容やってます)","橋本2-8-12","042-772-3832",""
"","タニタフィッツミー イオン橋本店","サービス業","40代以上の女性にオススメ。30分フィットネスです。タ
ニタが提供しているので日本人女性に合った運動で
す。","橋本6-2-1イオン橋本店5F","042-703-0523","新規入会の方へタニタオリジナルタオルプレゼント"
"","チェリー美容室","サービス業","美容室　カット・パーマ・カラー","橋本2-11-9","042-772-1937",""
"","津久井せんべい本舗 ミウィ橋本店","小売業","米菓製造販売店です","橋本3-28-1","042-700-7538",""
"","つぼ八橋本店","飲食業","北海道発祥のチェーン居酒屋です。","橋本3-17-3 マイランドビル4階","042-707-2392","お得なLINE会員募集中！"
"","当千坊","飲食業","馬肉料理と日本酒が中心の居酒屋です。","橋本2丁目9-11 2F","042-703-7936","乾杯ドリンク半額！"
"","登臨ゼミナール 橋本校","サービス業","小　中　高生　学習塾","橋本8-11-10","042-779-0157","最長6か月　無料体験"
"","トータルボディケアサロン セレノ","サービス業","沖縄を感じる完全個室空間で「癒し」や「疲労回復」だ
けでなく、「健康」をテーマに ボディケア・リフレクソロ
ジー・ボディトリートメントなどオールハンドのメニュー
をご提供しています。","橋本2-10-22-1F","042-703-3339","さがみはらサンキューキャッシュバックキャンペーン参
加を記念した特別コースをご用意！また、水曜日限定
でアロマトリートメントがお得に受けられます！"
"","日本酒とワインBAR","飲食業","ナチュラルワインと日本酒を丁寧にご紹介します。","橋本6-19-5ルート橋本ビル2F","042-703-4242",""
"","日本料理 小田原屋","サービス業","予約制で会席コース料理を提供する日本料理店です","橋本5-8-22","042-773-2229",""
"","日本料理 義えい","飲食業","日本料理、懐石料理の提供","橋本6-39-2デザートビル2-1F","042-703-7578",""
"","パーソナルジムKING","サービス業","パーソナルトレーニング，ジム，ゴルフ，ヨガ，カフェが
併設されている総合型スポーツジムになります。","橋本4-21-15","042-703-0900","▼パーソナルトレーニング半額体験&無料カウンセリ
ング実施中。 
体験後入会で入会金5万円が無料。 
▼シュミレーショゴルフ土日無料体験実施中 
▼ダイエットプラン3ヶ月キャンペーン"
"","橋本6丁目整骨院・鍼灸院","サービス業","手技に自信のある整骨院・鍼灸院です。","橋本6-20-1-2F","042-703-5455",""
"","はしもと接骨院","サービス業","接骨院","橋本2-10-24","042-705-9622",""
"","初雁","飲食業","居酒屋","橋本6-38-8","042-773-3291",""
"","花ぷらざ石橋園芸","小売業","生花小売業","橋本1-16-6","090-3223-9167",""
"","はりきゅうマザーステラ","その他","痛くない鍼、熱くない灸で施術を行う鍼灸専門院です。 橋本3-19-21ハピニス・ライフ７D","","042-779-9270","初診割引があります。"
"","はり灸マッサージ みなぎる美体","サービス業","鍼灸院","橋本3-19-20橋本ヒルズ305","042-700-2442","初回4000円(美容鍼or全身鍼灸のいずれか)"
"","はり灸マッサージ みなぎる美体 橋本分院","サービス業","鍼灸院","橋本3-19-20橋本ヒルズ506","042-718-3749","初回4000円(美容鍼or全身鍼灸に限り)"
"","パリミキ橋本店","小売業","メガネ・補聴器販売","橋本8-3-19","042-779-4372",""
"","東山だんご","小売業","製造、販売","橋本6-30-11","042-784-0088",""
"","ひかり整骨院","その他","主に自費で身体の調整をしている整骨院です","橋本5-13-5 道満ビル1F","042-772-7222","初診料無料"
"","ビストロマサキワミ","飲食業","地場野菜を使用した、カジュアルフレンチのお店です。 橋本2-4-7ktsビル1f","","042-703-0734",""
"","美製作所","サービス業","美容業","橋本3-19-20橋本ヒルズ601","042-866-3078",""
