"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"若柳","（有）東屋商店","小売業","石油類、LPガス等の販売","若柳1118","042-685-0421",""
"","キムチハウス","小売業/飲食業","キムチ製造販売　レストラン","若柳642-6","042-685-0488",""
"","さがみ湖温泉うるり","サービス業","「さがみ湖温泉 うるり」は、相模湖の森に囲まれた高
台に建つ日帰り温浴施設です。※「さがみ湖リゾート 
プレジャーフォレスト」敷地内にございます。","若柳1634","042-685-2641",""
"","さがみ湖リゾート プレジャーフォレスト","サービス業","遊園地を営業しております。","若柳1634","057-003-7353",""
"","山賊ベイビーズ","飲食業","ジビエ(野生動物のお肉)のキッチンカーです^ ^ 土日
祝日(雨天閉店)、宮ヶ瀬湖「ふれあいの館」前にて営
業中！","若柳163-5","070-4817-4836","鹿肉肉まん(400円)、鹿肉しゅうまい(100円)、猪肉コ
ロッケ(200円)等、気軽にジビエをお楽しみ下さい♪"
"","ダヤンのお店","小売業","革製品、その他雑貨","若柳47-1","042-684-4664",""
"","つばめ観光バス（株）本社営業所","その他","一般貸切旅客自動車運送事業、国内旅行業を営んで
おり 
貸切マイクロバス27人乗り、貸切小型観光バス25人
乗り、貸切中型観光バス27人乗り、貸切大型観光バ
ス53人乗り、60人乗り等、バス旅行をご提供。","若柳1476番地1号","042-685-1307","ご旅行見積無料。10名様以上のグループ旅行で当社
貸切バスのご利用と、当社提携の宿泊施設をセットで
ご利用いただいた場合は缶ビール350㎖を1ケース
(24本入り)サービスで積込させていただきます。"
"","所谷電気","小売業","家電販売修理","若柳886-3","042-685-2388",""
"","美容室リバティー","サービス業","カット、パーマ、カラー、着付","若柳1511-45","042-685-3108",""
"","ファミリーマート相模原若柳店","小売業","コンビニエンスストア","若柳1413-7","042-683-6012",""
"","（有）山口商会","サービス業","自動車整備・新車、中古車販売","若柳974-1","042-685-0006","見積無料、ご入庫時粗品進呈"
