"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"矢部","スグロ薬局","小売業","処方せんの調剤、化粧品の販売、一般用医薬品・漢
方・サプリメントの販売","矢部3-18-35","042-755-2442","化粧品の購入でプレゼントキャンペーン実施します。"
"","砂川畳店","その他","畳屋です","矢部1-18-17","042-752-2280","地元で３代続く畳屋です。"
"","セ・ラ・セゾン！相模原本店","小売業","洋菓子の製造、販売","矢部1-14-8","042-769-7355",""
"","セブンイレブン相模原矢部1丁目店","小売業","","矢部1-18-21","042-757-2272",""
"","セブンイレブン相模原矢部店","小売業","","矢部3-4-6","042-711-7580",""
"","ソレアド","飲食業","本格パエリアとフラメンコが楽しめるスペイン料理店。
テイクアウトできるパエリア弁当も好評販売中です!!","矢部3-5-7","042-752-3513","【20%OFF(平日ディナータイム限定)】のチケットをプレ
ゼント!!"
"","ダイヤ・ドライセンター矢部駅前店","サービス業","クリーニング店です。衣類のお直しも承っております。 矢部3丁目18-1","","042-755-7940",""
"","（有）髙梨商店","その他","ガラス、アルミサッシ等の販売工事","矢部1-11-18","042-752-1821",""
"","ちから米穀","小売業/その他","米穀類（玄米・白米・穀物）の卸、小売り","矢部1-4-16","042-810-6939","産地直送の玄米をその場で精米し香り豊かなままお
渡し致します。 
また業務用米も安定した品質で安価で使いやすいお
米からJAS有機米など無農薬の特栽米まで産地卸価
格にて販売致しております。"
"","中国料理 紅蘭","飲食業","飲食店","矢部2-9-1","042-755-6302",""
"","トレーニングスペースYABELABO","サービス業","おひとり様専用のトレーニングスペースです。","矢部4-21-3 1F","042-707-9307","おひとり様専用のトレーニングスペースです。
他の人の目線や感染症へのお気遣いなく、
ご自身のペースでご利用いただけます。"
"","野原の落花生","小売業","落花生製造販売。","矢部3-18-3","042-752-1451","3000円以上お買い上げの方に粗品進呈。"
"","鍼とお灸りずむ","サービス業","鍼とお灸の治療院","矢部3-1-23","042-813-6699",""
"","はんこの美晶堂 西門本店","小売業","ゴム印・実印・銀行印・会社印・名刺印刷・シャチハタ
等","矢部1-4-14","042-752-8242",""
"","美容室 SUIT スータ","サービス業","美容室","矢部3-18-4","042-759-4045",""
"","フラワーショップ フローレンスドゥ","小売業","生花、園芸、プリザーブドフラワー、ソープフラワー、ギ
フト商品を扱う花屋です","矢部2-9-2","042-756-3736",""
"","ヘアーサロン ムラセ","サービス業","理容室","矢部2-7-33","042-753-0324",""
"","ヘアサロン emick","サービス業","髪の毛をカットしたりカラーリングしたり、パーマで形を
変えます。","矢部4-18-9 コーポGEF 102","042-866-5546","矢部駅・淵野辺駅から徒歩５分☆コロナ対策★駅近だ
から通いやすいのが嬉しい◎カウンセリングを得意と
し、お客様のご要望をじっくりお聞きし、髪質や骨格を
見極めて一人ひとりに似合ったスタイルをご提案いた
します"
"","ほぐし処 animo","サービス業","整体、リラクゼーションサロン","矢部4-17-3","042-704-8088",""
"","マルエスサイクル","小売業","自転車小売、修理、預かり","矢部3-18-7","042-754-3114",""
"","モミジヤ金物店","小売業","金物から清掃用品まで幅広く販売しています。 
職人さんの研ぐ包丁は良く切れると評判です。","矢部3-1-14","042-755-8441","期間中1000円お買い上げで厚手のポリ袋10枚入り1
袋　 
サービス致します。"
"","（株）八木商店 矢部給油所","小売業","燃料油の給油、洗車、自動車の修理等行う
フルサービス形式のガソリンスタンドです。","矢部2-3-23","042-752-5196","ＥＮＥＯＳ　ＳＳアプリ登録キャンペーン展開中"
"","焼肉八宝亭","飲食業","和牛焼肉、カルビ、ロース、牛タン塩、生ビール等、や
まゆりポーク等","矢部3-9-16","042-756-8565","お食事のお客様にアイスクリームサービス"
"","矢部駅前ひばり整骨院・鍼灸院","その他","整骨院・鍼灸院
身体のお悩みや症状に合わせてメニューをご提案しま
す。
・肩や腰の痛み・首や膝、関節の痛み
・スポーツの怪我・リハビリ・捻挫
・整体（部分・全身）
・パーソナルトレーニング","矢部3-1-19エトワール藤1F","042-707-8925","お得な回数券もご用意しております。"
"","矢部酒場(矢部店)","飲食業","居酒屋","矢部3-18-1","042-769-5568","ネット予約のお客さん限定
・記念日や誕生日にメッセージ付きプレートプレゼント
・乾杯スパークリングワインボトルプレゼント"
