"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"相原","Eucharis","サービス業","ダイエット、体質改善、肌トラブルフェイシャルで自分
史上、最高に可愛い♪を手に入れるお手伝いをさせて
いただいているエステサロンです。","相原3-1-7","090-5198-2163","例 パ
初回ご利用で全メニュー定価より50%OFF
ワーレメディ全身120分　33000円→16500円
お悩み別フェイシャル80分　19800円→9900円"
"","青木酒店","小売業","酒、食品、タバコ等の小売り販売","相原3-28-9","042-772-2035","配達承ります。
お気軽にお電話してください。
スタンプを集めている人はスタンプ2倍サービスです。"
"","池田どうぶつ病院","サービス業","犬猫うさぎハムスターモルモット等の診療","相原2-12-4","042-772-0242",""
"","行政書士佐藤勝己事務所","サービス業","遺言公正証書や遺産分割協議書の作成、その他許認
可、補助金・助成金の申請、法人設立など、幅広く対
応しております。","相原5-18-7-201","042-703-7146","初回相談に限り1時間無料といたします。(交通費等実
費は除きます)"
"","行政書士大八木さとし事務所","サービス業","各種申請代行
遺言・相続
事後事務委任等","相原5-15-20","090-8117-5782",""
"","サロン遊美","サービス業","美容一般","相原5-4-13","042-703-7658",""
"","ヘア サロン オオヒラ","サービス業","理容業","相原5-8-1","042-773-2441","初めて来店されたお客様には次回使用できるサービ
ス券を差し上げています"
"","ヘアーサロン キャルム","サービス業","美容室","相原5-4-68","042-703-5028",""
"","リフォームショップ ロッキー","その他","住まいのリフォーム","相原5-12-1","042-773-0100",""
"","れすとらん碇屋","飲食業","緑区相原･二本松を中心にお弁当などの宅配をしてい
ます。
店舗にてテイクアウトも受け付けております。","相原2-31-2","042-773-4356","宅配メニューをお電話でご注文の上、店舗まで取りに
来て頂くと、8%割引致します。"
"","ロータリーバッグミヤモト相原店","小売業","ポリ袋、紙袋、食品容器、梱包用品、生活雑貨等の専
門店です。","相原4-12-5","042-771-8478",""
"","和房 味季","飲食業","","相原4-14-1","090-7237-9044",""
"青根","天野商会","サービス業","自動車整備　販売","青根1420-1","042-787-1263",""
"","井上商店","小売業","食料品の販売と雑貨やお酒を販売しています。","青根1391","042-787-2033",""
"","いやしの湯","サービス業","日帰り温泉","青根807番地2","042-774-6001","通常のポイントに１ポイント追加"
"","うらたんざわ渓流釣場","サービス業","管理釣り場","青根3769-1","042-787-2657",""
"","神之川キャンプ場","サービス業","キャンプ場","青根3685","042-787-2116",""
"","このまさわキャンプ場","サービス業","キャンプ場","青根2745","042-787-2735","1サイトごと各々での飯食・団らんをお願いします。"
"","緑の休暇村センター","その他","旅館","青根807番地2","042-742-0555",""
"青野原","JA神奈川つくい 青野原支店","小売業","","青野原1612","042-787-0003",""
"","（有）MBオート","サービス業","自動車整備","青野原59","042-780-1562",""
"","小俣自動車整備工場","その他","自動車一般整備及び車検、新車販売、鈑金塗装","青野原982","042-787-1208",""
"","古民家カフェ雅(ミヤビ)","飲食業","築100年をこえる古民家を自身でリノベーション。自家
焙煎コーヒーと地元野菜を使った卵焼きサンド、スイー
ツを提供するカフェです。","青野原997","090-2125-0382",""
"","佐藤自動車工業","サービス業","自動車販売・車検整備・板金塗装","青野原2050","042-787-0318",""
"","セブンイレブン相模原津久井青野原店","小売業","コンビニエンスストア","青野原3272-1","042-787-1767",""
"","（有）高城商店","小売業","菊芋加工品・地場産野菜、その他食品や日用品の販
売店。","青野原2924","042-787-0017","健康野菜の菊芋商品を多数取り扱っております！"
"","北相石油 青野原SS","小売業","整備士による車の安全点検整備、中古車販売 
国産、海外タイヤ販売、パンク修理 
軽油、灯油配達などを行っている 
ガソリンスタンドです。","青野原1610","042-787-1139","神奈川Ｐａｙのご利用で、利用金額の20％ポイント還
元キャンペーン中！（最大3万円分） 
この絶好の機会に冬タイヤなどいかがでしょうか！予
約受付中 
令和4年11月30日まで（早期終了有） 
お早めにどうぞ！"
