"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"下溝","Baboo原当麻","サービス業","美容室","下溝606-21プラザビル1F","042-778-5539",""
"","cut in チバ","サービス業","理容店","下溝812-7","042-778-5658",""
"","MONJI","小売業/飲食業","ソーセージとパンの製造・販売","下溝1363-2","042-711-9529",""
"","井上酒店","小売業","食料品、日用品、雑貨","下溝2531","042-703-9243",""
"","井上電気商会","小売業","電気器具販売・修理","下溝691-4","042-778-0361",""
"","内田パン","小売業","製パン　小売業","下溝536-25","042-778-4065","次回使用できる金券を300円以上お買上げ毎に1枚配
布"
"","江戸ッ子","飲食業","鮨屋","下溝827-16","042-778-0493",""
"","（有）粕谷産業","その他","住宅機器販売、施工、リフォーム、水栓修理交換等","下溝851-1","042-777-0070","見積もり無料・タオルを差し上げます。"
"","カットサロン・アール","サービス業","理容","下溝434-12","042-778-3832",""
"","夢造りパン工房 麻溝店","飲食業/サービス
業","神奈川県内で6店舗展開しているベーカリーです。 
常時100種類以上の商品を取り揃え、焼きたて揚げた
てを提供できるよう日々心掛けております。","下溝598-1　スーパー三和内1階","042-777-5771","700円以上お買い上げのお客様にミニ揚げパン1個プ
レゼントいたします！"
"","きよ寿し","飲食業","飲食店　寿し、仕出し","下溝595-6","042-777-2525",""
"","（有）栗山自動車販売","サービス業","自動車整備","下溝1744","042-778-2287",""
"","小嶋ライフ","サービス業","相模原市南区下溝にあるリフォーム専門店 有限会社
小嶋ライフです。","下溝826-10","042-777-1126","10,000円(税込)以上のご利用で粗品進呈致します"
"","（株）小山商会","その他","建築設備業","下溝1360","042-778-1031",""
"","相模原市農業協同組合 麻溝支店","小売業","","下溝679","042-778-0230",""
"","セブンイレブン相模原下溝店","小売業","","下溝314-1","042-778-7115",""
"","相陽ゴルフプラザ","サービス業","ゴルフ練習場","下溝1542","042-778-6034",""
"","ダイヤ・ドライセンター原当麻店","サービス業","クリーニング店でず。衣類のお直しも承っております。 下溝756-4","","042-777-2323",""
"","ダスキン下溝支店","サービス業","清掃、衛生用品のレンタル、ハウスクリーニング事業","下溝309-4","042-778-4488",""
"","月のうさぎ","小売業/サービス
業","温活ボディトリートメント、温活フェイシャル、ヘッドマッ
サージ、フットケア、よもぎ蒸し、モリンガ蒸しの女性限
定サロンです。","下溝925-1","090-4937-6146","小顔リフトアップヘッドマッサージをご新規の方にプレ
ゼント致します。"
"","手焼きせんべい風林堂","小売業","手焼きせんべいの製造販売しています。","下溝536-24","042-777-4501","次回のお買い物にお使いいただける、割引きクーポン
券進呈"
"","道とん堀 麻溝店","飲食業","お好み焼き屋さん","下溝607-6","042-711-8220",""
"","ドッグサロン ファクト","サービス業","犬のトリミング。
愛犬の個性にあったお預かり方法で人気のホテルで
す。
ネコちゃんや、うさぎ、鳥などの小動物も１日1000円で
お預かりしています。","下溝675-15","042-777-1175",""
"","芳賀建設工業 （株）","その他","建設工事","下溝606-21","042-778-2369","契約時、アルコール除菌スプレー進呈"
"","八景電器店","小売業","家電販売","下溝1404","042-778-2761",""
"","美容室ナチュラル","サービス業","創業23年地域密着型の美容室","下溝600-11","042-777-0789","新規のお客様カット、パーマ、カラー１０%OFFいたし
ます!!"
"","ファミリーマート相模原中丸店","小売業","コンビニ","下溝308-7","042-777-6133",""
"","ベーカリーKOGUMA","小売業","パン製造・販売","下溝540-7","042-711-8977","1000円以上お買い上げで、200円割引券をプレゼント
♪"
"","モナの丘","飲食業","自家野菜を使ったネパールカレーとナン、季節のドリ
ンクやデザートが人気のレストランです。","下溝4390","042-777-8586","次回ご来店時、セットドリンクサービス"
"新戸","（有）藍田商店","小売業","燃料、リフォーム","新戸2055","046-251-0423",""
"","魚源","小売業","","新戸2380","046-251-0278",""
"","かや野","飲食業","北海道産のお蕎麦をリーズナブルな価格でお召し上
がりいただける蕎麦屋です。 
夜はお酒も楽しめる居酒屋としてもご利用下さい。","新戸1957-9","046-252-7704","お昼、夜ともにお蕎麦をお召し上がりいただけます。 
お得なランチ営業もしておりますので、ご来店お待ちし
ております。"
