"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"弥栄","エコクリーニングクレオ","サービス業","一般クリーニング
衣類のリフォーム
染み抜き
布団、ジュータン、皮製品等","弥栄2-9-10","042-750-4733","各種クレジットカード、電子マネー、paypay支払い出
来ます。
神奈川payでのお支払いも出来ます。"
"","大山ピアノ教室","その他","未就学児から受験生、シニアの方まで幅広く楽しい
レッスンを心掛けて指導しています。","弥栄2-16-9","042-751-5772","体験レッスン無料です。
入会された方には粗品プレゼントさせて頂きます"
"","久木野","飲食業","居酒屋
手作り料理","弥栄1-1-11","042-755-3894","手作り料理でおもてなし致します。"
"","高座豚手造りハム 相模原店","小売業","私たちは自ら豚を大切に育て、自らの手で製造を行
い、お客様へお届けしております。ハム、ソーセージだ
けでなく精肉、揚げ物、お惣菜などを扱っている豚肉
専門店です。","弥栄1-2-18","042-750-8641","新規ポイントカード登録を無料にします。"
"","炭火焼鳥 月夜亭","飲食業","手刺し国産肉を紀州備長炭で焼いてます。","弥栄1-1-11-103","042-752-6697",""
"","天芯らーめん弥栄店","飲食業","ラーメン、定食を提供する飲食業","弥栄2-9-13","042-755-4517",""
"","（株）明央堂","小売業/サービス
業","文具小売　不動産管理　売買　損害保険業","弥栄2-19-12","042-758-2330","次回使用できる割引券の配布
割引商品あり"
"矢部","BijouxNail","サービス業","ネイルサロン","矢部3-17-15-2F","042-815-1320","プチアート(2本)プレゼント"
"","capra. (カプラ)","サービス業","美容室","矢部3-4-1八木ビル2F","042-755-8987",""
"","ECCジュニア 矢部1丁目教室","サービス業","幼児～成人を対象とする、英語・英会話教室です。","矢部1-22-24","042-750-6234",""
"","kアップ","小売業","発酵発芽玄米、遠赤外線温浴機器など
健康商材の販売。","矢部4-21-3","042-752-1418","発酵発芽玄米の初回発送時に送料無料。"
"","Syun シュン","飲食業","カレー、おむすび、定食","矢部3-18-4 1F","042-707-8760",""
"","WINELAND たけうち","小売業","Wine　酒　飲料　食品","矢部2-28-3","042-752-2115","美味しいＷｉｎｅとＳａｋｅならお任せ"
"","アイ・アール税理士法人 相模原中央事務所 サービス業","","税務申告、相続、税務相談等。","矢部1-1-17-102","042-756-2799",""
"","一匠","飲食業","匠の技に真心込めて..をモットーに旬の食材と海鮮が
メインの和食店です。 
石造りのメインカウンターと、お子様連れや団体様で
ご利用頂ける座敷個室で皆様をお待ちしております","矢部4-18-4-301","042-707-7783",""
"","イモンチ","小売業","安心・安全　品質、焼き方にこだわった焼き芋専門店
です。","矢部4-18-11","042-757-3248","お買い上げ商品合計金額2000円以上で200円引きに
させて頂きます。"
"","エール鍼灸院・整骨院","サービス業","","矢部3-5-7パーパラ守屋1F","042-707-9293",""
"","越後屋豆腐店","小売業","手作り豆腐の街のとうふやです","矢部1-18-16","042-752-1820","当店一番人気、土佐あげ是非食べてみて下さい！笑
顔になれます。"
"","大むら屋","飲食業","創業５０年の街のそば屋です","矢部4-13-8","042-754-2356",""
"","貸し音楽室 フェリーチェホール","サービス業","時間貸しの音楽室（練習や発表、演奏会に使用してい
ただきます）","矢部2-3-10","090-2567-5591 平日の昼間ご使用は1時間につき100円引き",""
"","カレーうどん屋 咲々","飲食業","カレーうどんの専門店です。 
こく旨でクリーミーなスープとコシのある讃岐うどんの
組み合わせ！","矢部3-9-13-1F","042-776-0762","次回使えるクーポンを配布！"
"","ケンズブルワリー","飲食業","8種類の厳選したクラフトビールと高座豚など地元産
品を主としたフードがお楽しみいただけます。","矢部1-4-11プラザサイトウ1F","080-8690-9688",""
"","コワーキングスペースYABELABO","サービス業","レンタルスペースの運用をしています。","矢部4-21-3 2F","042-707-9307","JR横浜線矢部駅・淵野辺駅から徒歩１０分のアクセス
で様々な用途のお客様にご利用いただいているス
ペースです。"
"","サロンドプレジール","サービス業","美容室","矢部3-2-10","042-768-7183","ご新規の方初回炭酸ヘッドソーダスパをお試し！！"
"","司法書士法人駅前双葉相談事務所","その他","相続、遺言、成年後見、不動産登記、会社設立など、
幅広い業務に対応している矢部駅前の司法書士事務
所です。","矢部3-18-2山本矢部ビル301","042-768-7689","初回の相談料は無料です。 
お気軽にご相談ください。"
"","ジュークヘア","サービス業","理容店","矢部3-4-1ヤギビル1F","042-786-0888",""
"","しゅうらく （株）くらや","小売業","呉服 販売","矢部1-14-9","042-755-6030","10% 割引"
