"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"水郷田名","旭屋のお城マルシェ","小売業/飲食業/
その他","新鮮なお野菜 
地域の特産物 
食料品、お惣菜などの販売 
カフェコーナー有り","水郷田名2-14-52","042-762-6262",""
"","（資）新井畳店","その他","畳の新調、表張替、裏返し","水郷田名2-2-27","042-762-1660","見積もり無料"
"","江成植木","その他","植木の手入れ等","水郷田名2-20-1","042-761-2108",""
"","駄菓子の専門店 マミー","小売業","菓子、飲料、アイスクリーム、おもちゃ","水郷田名2-13-25","042-762-9952",""
"","（株）ニイヤ","小売業","LPガス、灯油、給湯器、キッチン、トイレ、浴室、水回り
の設備
水、お家のリフォームなど","水郷田名2-18-11","042-762-0320",""
"","ヤマザキショップ水郷田名にしかわ店","小売業","米穀・酒類・飲食料品・雑貨・菓子等小売業及び宅配
含む","水郷田名2-18-5","042-762-0254","ポイントカード（300円毎1点）・食パンカード（10カード
で1斤無料）"
"すすきの町","アベ電化","小売業","家電の販売","すすきの町3-1","042-755-5695","クリアファイル進呈"
"","エレショップセキグチ","小売業","電気製品の販売修理工事","すすきの町41-12","042-752-9743","見積無料"
"清新","Dテニススクール相模原","サービス業/その
他","インドアのテニス・ゴルフスクールです。 
テニス、ゴルフのレッスンを行ってます。 
空きコートのレンタル、ラケット等テニス用品販売も
行っています。","清新6-1-20 2F","042-703-1747","冷暖房完備で気温天候を問わずにテニスを楽しめま
す。 
10月からはゴルフスクールも開講！！ 
今ならテニスもゴルフも体験レッスン無料です！！ 
さらにお得な入会キャンペーンも実施中！！"
"","ENEOS Dr.Drive清新店","小売業","セルフのガソリンスタンドで車検・整備・鈑金・中古車
販売・自動車保険・手洗い洗車・コーティング・レンタ
カー等も取扱っております。","清新5-22-1","042-775-8005",""
"","Hair Wave","サービス業","ヘアーサロンです","清新7-14-33","042-707-8315",""
"","Sagami Natural Fitness LINO","サービス業","パーソナルトレーニング","清新1-1-15MKビルA-1","042-814-7502","初回無料体験サービス実施中"
"","（一社）さがみ大工道具館","小売業","打刃物・大工道具の販売","清新5-1-26","042-703-3320",""
"","己書まごころ道場","サービス業","相模原市で己書(おのれしょ)という筆ペンを使った筆
文字教室を開催しています。
己書(おのれしょ)とは、
”絵を描くように字を描く書”です。","清新6-16-21富志正第5ビル105","090-6101-4321","・相模原市でスクールや教室、新しい趣味を探してい
る方
・初心者でもすぐに出来る習い事をしてみたい方
・字を描くことにコンプレックスを持っている方にもオス
スメです。 
初回体験1100円"
"","海鮮Cafe＆Bar GRAVE","飲食業","海鮮居酒屋","清新1-6-18けやきビル１階","042-707-8844",""
"","カリメーラ","小売業","自家製天然酵母と国産小麦のパンを販売しています","清新3-14-14","042-750-1949","2004年オープン
自家製天然酵母と国産小麦のパンを販売しているお
店です
どうぞお越し下さいませ"
"","カレーハウスCoCo壱番屋相模原清新店","飲食業","カレー専門店","清新8-2-5コモド相模原1F","042-752-5404",""
"","クリーニング ダブ","サービス業","クリーニング師が常駐しているクリーニング店です","清新2-8-8","042-753-2637","8:00amから11:00amまで　タイムセール5%off実施中"
"","（株）サガミ住器センター","小売業","建築金物の販売","清新5-1-2","042-773-6540",""
"","さがみはらねこの病院","その他","猫専門の動物病院です。","清新8-1-6","042-786-1234",""
"","サトーメガネ相模原清新店","小売業","眼鏡販売","清新5-10-17","042-770-2882","県内最大規模、約3000本の展示本数のメガネ屋です"
"","真田砿油（株）","小売業","ガソリンスタンド","清新5-11-24","042-772-3698",""
"","セブンイレブン相模原清新7丁目店","小売業","コンビニエンスストア","清新7-14-21","042-757-1017",""
"","セブンイレブン相模原南橋本店","小売業","","清新5-26-14","042-771-0590",""
"","そば処　きしや","飲食業","日本蕎麦屋です。","清新1-6-17","042-752-5391",""
"","大寿し","飲食業","赤シャリの寿司屋です。
地酒等も各種取り揃えています。","清新8-2-17","042-756-2286","次回使用できる割引券の配布"
"","タカハシ 清新店","小売業","婦人服、紳士服、子供服、および靴下、下着類 
ならびに生活雑貨品を販売しています。","清新8-2-16","050-3665-8345","アプリ新規登録割引 
アプリ来店ポイント割引"
