"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"光が丘","トータルウォッシュ ニック 光が丘店","サービス業","コインランドリー併設のクリーニング店です。 
衣類のクリーニング・お直し 
布団・インテリアのクリｰニング 
当店のクリーニングは抗菌・抗ウイルス加工で安心で
す。","光が丘3-27-13","042-753-0161","初めてのお客様、5点までクリーニング半額で承りま
す。 
学生服、フォーマルなどこの機会にぜひご利用くださ
い。 
ダウン・布団・カーペット・着物は1点ごと200円引きさ
せていただきます。"
"","豆工房コーヒーロースト相模原店","小売業","新鮮なコーヒー豆の自家焙煎。コーヒーの一番美味し
いタイミングでコーヒー豆を提供しています！","光が丘1-15-19","042-768-8057","初めてご来店の方にはワンコインでお買い物できる
クーポンプレゼントしています!"
"","（有）山上設備","その他","水道設備業","光が丘3-13-16","042-752-8150",""
"","リサイクルショップバンバン","小売業","家電・家具・工具・日用品・雑貨・楽器・自転車などの
中古品・未使用品の買取・販売などを行っております。 光が丘1-15-21アルティス光が丘1F","","042-852-8282","「さがみはらサンキューキャッシュバックキャンペーン
のウェブサイトを見た」とおっしゃっていただいたお客
様への特典
①一度に1万円以上のお買い物で5％のお値引き
②買取査定を通常より5％アップ"
"氷川町","Freshness Coffee Roaster","小売業/飲食業","自家焙煎珈琲店","氷川町3-4オリエンスF番館1号室","042-707-8281",""
"","海石","飲食業","新鮮な魚を中心に色々なメニューのあるお店です。ト
リの唐揚げや、豚の白コロモツ煮も食べてほしいで
す。","氷川町13-6","042-751-7992","誕生日の方にサプライズ！前日までのご予約でス
パークリングワインをプレゼント！"
"","バッカス","飲食業","イタリアンレストラン","氷川町13-8","042-711-7555",""
"","ひかわ動物病院","その他","犬・猫の診療 
 （内科・外科の一般治療） 
 （狂犬病や各種予防注射、フィラリア・ノミ・ダニ予防、
不妊手術） 
 （血液検査、歯石除去）","氷川町13-4","042-751-9912","コロナ禍の密対策としてHPから診察予約が便利で
す。 
 (電話予約や直接来院も可) 
 健康相談なども気軽にご来院ください。 
 季節の健診キャンペーン(要予約)なども実施していま
す。"
"","ワンエイト 相模原店","サービス業","美容室","氷川町8-7アンビシャス相模原101号","042-755-8033",""
"富士見","AKランドリー三和富士見店","サービス業","クリーニング","富士見6-5-7","042-752-5007","30円券1枚プレゼント"
"","Buzzooh","小売業","ペット用品の販売","富士見5-4-3","042-707-7201","とってもキュートな商品から、店舗限定のお得な商品
などあります。"
"","Curry&deli MOGUMOGU","飲食業","グルテンフリーな身体に優しいスパイスカレーを提供
しています。 
カラフルなお惣菜も販売しています。 
チャイやクラフトコーラなどの自家製ドリンクもございま
す♪","富士見5-2-20","042-704-8846","公式LINEご登録でミニドリンクサービス！"
"","Hair House Noel","サービス業","美容室 
カット、カラー、パーマなど…","富士見4-7-5ロウタスマンション102","042-730-3371","新規ご来店20%off"
"","Reboot hair design","サービス業","★美容室★ お1組様づつのご案内のプライベートヘア
サロン【要予約】","富士見4-5-24","042-869-1689",""
"","Take out はっちゃんち","小売業","お弁当、お惣菜の店頭販売","富士見5-2-12サンロードビル","042-711-7353","ワンコイン(500円)弁当多種類用意しております。 
お惣菜もすべて手作りです。"
"","（有）遠藤商店","小売業","酒や食料品を販売しています。","富士見5-1-20","042-752-2527",""
"","かつ泉相模原店","飲食業","こだわりのとんかつ専門店。バラエティー豊かなメ
ニューが揃っています。","富士見3-7-6","042-730-5101",""
"","釜めし 笹よし","飲食業","釜めし　日本食","富士見3-15-5","042-758-3666","釜めし一つずつ丁寧に炊き上げています。お刺身は
天然もの。原材料は国産にこだわっています。"
"","かやま動物病院","サービス業","動物病院","富士見6-13-21","042-707-1522",""
"","けやきカフェ","飲食業","飲食店・パン販売","富士見6丁目6番23号","042-720-9030","障碍者支援センター松ヶ丘園多機能型事業所で焼い
たパンを販売しています。（火曜～金曜）"
"","サイクルショップ サンロード","小売業","自転車・自転車部品の販売・自転車の修理をしていま
す。","富士見5-2-12","042-756-7337",""
