"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"陽光台","レインボー相模原店","小売業","オートバイ販売・修理","陽光台4-24-3","042-755-4116",""
"横山","auショップ相模原","小売業","au/UQの携帯電話の販売や料金プラン相談、故障相
談などアフターフォローまで行っております。インター
ネット（auひかり）のお申し込みも頂けます。","横山1-1-1ノジマ相模原本店3階","042-751-5007","ノジマ相模原本店の3階にあります。 
au/UQの携帯電話の販売や料金プラン相談、故障相
談などアフターフォローまで行っております。インター
ネット（auひかり）のお申し込みも頂けます。"
"","安心らくらく福祉タクシー","その他","介護・福祉タクシー","横山3-10-16","080-9388-6969","安心らくらくに、通院、お買物
公園さんぽ、冠婚葬祭などのご利用できます。"
"","ヴォートエスパース","サービス業","パーマ、カラー、カット、ヘアートリートメントなど","横山4-1-1ワークスビル102","0120-972-137","新規メール会員のお客様、施術料金より10%割引に
なります"
"","菓子工房くろさわ","小売業","横山の住宅街にある和菓子屋です。 
すべての商品を当店で製造し、材料にはこだわりを持
ち、お客様に安心して食べていただけるように心掛け
ております。","横山3-33-1","042-752-3291","当店Instagramのアカウントにて、お菓子などの紹介
をしています！"
"","か印 横山商店。","飲食業","","横山3-31-3小野ビル1F","042-776-9489",""
"","カフェ&ギャラリー花門 -KAMON-","飲食業/サービス
業","","横山5-5-1","042-753-4435",""
"","からあげ金と銀　相模原横山店","飲食業","関西発のテイクアウトからあげ専門店です。 
揚げたてのからあげとお弁当を販売しております。","横山4‐23‐20　メゾン村山101","050-3483-1283","からあげグランプリ3年連続金賞受賞！ 
くいだおれの町、なにわで生まれた唐揚げ専門店で
す。 
外はカリッと中はジューシー、秘伝の醤油だれでしっ
かりと味をつけた当店自慢の唐揚げを一度ご賞味くだ
さい♪"
"","元祖ニュータンタンメン本舗相模原店","飲食業","川崎発祥の『ニュータンタンメン』と焼肉やその他料
理、飲み物等を販売提供しているお店です。
店内はもちろんテイクアウトの販売も行っています。","横山4-25-1","042-707-4929","ご来店時ソフトドリンクのワンドリンクサービス"
"","気まま屋いち","飲食業","全国の地酒と家庭料理を提供する居酒屋です。","横山3-21-12","042-752-8090",""
"","クシタニ相模原店","小売業","オートバイ用品販売","横山4-1-19フィードス山栄101","042-751-2819",""
"","司法書士井口学事務所","その他","相続登記、遺言、成年後見など司法書士業","横山3-17-2","042-751-4560","各種相談・事前見積は無料です。"
"","セオサイクル相模原中央店","小売業/サービス
業","自転車販売・修理","横山3-31-1","042-707-9710","セオサイクルは、千葉・埼玉・東京・神奈川と首都圏を
中心に130店舗以上を展開している自転車専門店で
す。"
"","セブンイレブン相模原横山3丁目店","小売業","コンビニエンスストア","横山3-32-6","042-769-3291",""
"","ダイエットビューティーショップ Angel","サービス業","美と健康をかなえるこだわりのアイテム取り揃えてい
ます。乗るだけ、入るだけ手軽にダイエットビューティ
習慣のサポートをしています。","横山2-16-4","042-718-6561","NASA開発音波振動運動マシン
10分で9キロのランニング相当の有酸素運動効果
通常2200円→500円で受けられます。"
"","たけみや","小売業","化粧品小売　　
エステティック　リフレクソロジー施術","横山3-1-1","042-755-8415","ソニックエステを体験していただくコース
初回限定コース
料金 ￥1,100(税込)
事前予約が必要です。"
"","小さな家族葬ハウスⓇ上溝","サービス業","創業109年！老舗の専門葬儀社です。","横山6-8-23","012-017-7166","相模原市を中心に会員数9万人！ 
あんしん倶楽部新規入会受付中！ 
ご相談だけでもお気軽にお声掛けください！"
"","てるて接骨院鍼灸院","その他","骨盤調整や猫背ストレッチ等の姿勢改善やギックリ
腰、交通事故のケガのケアを行なっています。","横山4-24-10","042-768-7933","骨盤調整など健康保険外メニューの初回お試し料金
あります。"
"","電化社","小売業","家庭電化製品販売　修理　工事","横山4-24-12","042-755-6895","来店時ワンドリンクサ－ビス"
"","ドローンラウンジジュピター","飲食業/その他","ドローンスクールと併設カフェ 
ドローンの民間ライセンスを発行しています","横山2-15-9","042-707-9900","市役所通り沿いのドローンスクール 
最短2日でドローン民間ライセンスの取得が可能 
併設カフェではハンバーグやカレーなどお食事を楽し
んでいただけます 
相模原産のクラフトビールも人気"
"","中村書店本店","小売業","相模原市中央区で最大規模の書店です。 タッチパネ
ル検索機において店内在庫の検索もできます。オンラ
イン書店e-honにて注文し、店舗にてお支払い受取も
出来ます。","横山6-8-21","042-750-2285","サンキューキャッシュバックキャンペーンのご利用でも
共通ポイント(dポイント、楽天ポイント、ポンタポイント
のいずれか1つ)が加算されます。"
