"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"原宿","ファミリーマート相模原原宿5丁目店","小売業","コンビニエンスストア","原宿5-1-5","042-783-5061",""
"","ファミリーマート相模原東原宿店","小売業","","原宿1-3-11","042-783-6034","ファミマのアプリ、ファミペイの新規会員様募集中。 
ファミペイ支払いにすると、切手やPOSAカード料金収
納、煙草などにも、ボーナスポイントがついてお得にポ
イント貯められます。 
この機会にぜひ❗"
"原宿南","AutoSalonSato","小売業","","原宿南3-12-1","042-783-6100",""
"","ECC城山原宿教室","サービス業","幼児から中学生までが中心の英語・英会話の学習塾
です。シニアのクラスもあります。","原宿南3-17-4","042-782-5242","無料体験レッスン受付中"
"","シュライン（株）","その他","空き地・空き家管理をメインに宅地分譲、中古戸建・マ
ンションリノベーション、田舎物件リノベーション、不動
産売買仲介等の不動産事業を行っています。","原宿南2-46-2","042-815-3873","期間中、弊社と不動産売却の専任媒介契約（期間3ヶ
月）を締結し、成約となった場合、仲介手数料を39万
円（税込）にてお受けします。※但し、案件については
条件がありますので、詳細は弊社HPをご参照くださ
い。"
"","むらさ伎","飲食業","海鮮丼などマグロを使用した料理を提供しております","原宿南2-33-4","042-851-2385","毎日ランチ・ディナーともA・Bランチ5食サービスランチ
ございます。火曜日は小鉢1品サービス￥100クーポ
ン有り。金曜日は当店一押しマグロ餃子半額デーで
す。"
"東橋本","Blanc","小売業","大人の女性向けセレクトショップです。婦人服、バッ
グ、アクセサリー等を販売しています。","東橋本1-24-17","042-855-0442","期限なくためられるポイントカードがあります。ポイント
がたまると3000円のお買い物券として使用できます。"
"","（有）イノウエランバリング","サービス業","リフォーム工事を主体とする
建築工事業","東橋本1-13-18","042-773-4699",""
"","おやまストア","小売業","","東橋本2丁目30-3","042-774-5050",""
"","カイロオフィス快楽院","サービス業","カイロプラクティック
セルフホワイトニング
パーソナルトレーニング
健康と美を追求している施術院です。","東橋本2-18-1","042-703-0501","セルフホワイトニングとパーソナルトレーニングはお得
な体験メニューもご用意しています。"
"","髪質改善サロンUru by Escort","サービス業","髪質改善、美髪ケア特化サロン☆イルミナ、TOKIOト
リートメント取扱店♪","東橋本2-19-2","042-703-3335","駐車場あり／ヘアセット／朝１０時前でも受付OK／ド
リンクサービスあり／カード支払いOK／女性スタッフ
が多い／お子さま同伴可／禁煙"
"","筋膜整体 & 学習塾 独歩堂","サービス業","筋膜にアプローチした整体と、マンツーマンにこだわっ
た学習塾です。","東橋本4-4-30 ツインピークス橋本 A101","050-3590-0569",""
"","串カツ田中 橋本店","飲食業","揚げたての美味しい串カツが食べれる居酒屋です。","東橋本1-24-20","042-703-0188","飲みPASSというドリンクがお得になるサービスがあり
ます。お子様はアイス、たこ焼き9個無料、ジャンケンド
リンクなどお得な特典がいっぱいです。飲み放題も
やってます。"
"","（有）ケイ・ライフ","サービス業","地元密着の不動産会社です。
お部屋探し、お家探し、ご相談だけでもお気軽に！
橋本在住４6年　不動産業歴25年　情報量が違いま
す！","東橋本1-14-21","042-774-8442","地元密着の不動産会社です。
お部屋探し、お家探し、ご相談だけでもお気軽に！
橋本在住４6年　不動産業歴25年　情報量が違いま
す！"
"","Coquette コケット","サービス業","美容室","東橋本1-22-18 1F","042-703-4956",""
"","しおざわ肉店","小売業","黒毛和牛、やまゆりポーク、津軽鶏など美味しいお肉
を揃えています。","東橋本2-23-12","042-772-7614",""
"","スウィートフラワー","小売業","キャンディ、チョコレート、ラムネ、バルーン等でのキャ
ンディブーケやアレンジメントを販売してます。
店舗へのバルーン出張装飾をさせていただいてます。","東橋本1-14-17会田ビル1F","042-703-3530",""
"","整体＋GIFT","サービス業","整体・リラクゼーション","東橋本2-12-12ステージメイト106","042-856-1000","初回お試しコース 30分 1,000円
生活習慣からおこるお身体のクセを見抜く、予防整体
を是非ご体感下さい"
"","セブンイレブン相模原橋本駅東店","小売業","コンビニ","東橋本1-24-15","042-771-2145",""
"","セブンイレブン相模原東橋本1丁目店","小売業","24時間営業のセブンイレブン店","東橋本1-4-1","042-770-1255","24時間営業です。"
"","ダイヤ・ドライセンタービッグ東橋本店","サービス業","クリーニング店です。衣類のお直しも承っております。 東橋本3-1-1","","042-779-0310",""
