"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"田名","びゅうてぃつくし","サービス業","頭皮ケアが得意な美容室です","田名4692","042-762-1904",""
"","ファミリーマート田名豊原店","小売業","コンビニエンスストア","田名3991-1","090-3530-7201",""
"","ファミリーマート田名堀之内店","小売業","コンビニエンスストア","田名4791-1","042-764-0425",""
"","ホンダカーズ神奈川西 田名店","小売業","自動車(新車)の販売、車検、点検、整備、修理をして
います。
Honda正規ディーラー
その他に、電動車いす(WHILL)の販売も行っていま
す。","田名4105-1","042-762-0334",""
"","まつがみ衣料品店","小売業","衣料、小学校体操着、白衣等","田名4828-1","042-762-0229",""
"","メンズグルーミング 男髪屋","サービス業","理容業","田名4661-47","042-762-0692",""
"","（有）山中自動車商会","サービス業","ロードサービス、車検整備、鈑金塗装","田名9295-8","042-778-2525","お車のことならなんでもご相談ください！！"
"","【よもぎ蒸し】小さな自宅サロン＊向日葵＊","サービス業","選べるハーブのよもぎ蒸しリラクゼーションサロンで
す。","田名6105‐9","090-6300-6977 次回使用できるよもぎ蒸し割引券の配布",""
"","（株）ライト田名店","小売業","家電の販売及び電気工事など","田名1882-13","042-760-0316","店内の換気・消毒・マスク着用の徹底、パーテーション
や二酸化炭素濃度測定器の設置など感染防止対策
を万全にして営業しております。なお、電力逼迫対策
と致しまして、店内照明を控えて営業しております。"
"","理容ダルマ","サービス業","理容業","田名6195-1","042-761-3819",""
"田名塩田","ECCジュニア　田名塩田教室","その他","２歳児から大人までの方を対象に英語を、小学生まで
の算数、年齢不問で漢字を教えています。","田名塩田4-10-24","042-777-3127","お友達からのご紹介からご入学頂くと入学金50%オフ
の2,750円になります。"
"","おしゃれ・サロン愛","サービス業","美容一般","田名塩田2-18-28","042-733-0058",""
"","火焔山餃子房田名塩田店","飲食業","焼肉&中華料理を提供しているお店です。","田名塩田2-8-8","042-711-9211","当店のLINE公式に登録して頂いた方にクーポンプレ
ゼント"
"","セブンイレブン相模原田名塩田3丁目店","小売業","コンビニエンスストア","田名塩田3-14-26","042-777-2136",""
"","美容室FLOW","サービス業","美容業　サービス業","田名塩田2-16-26シュトラーセ101","042-714-0260",""
"中央","D-LINK 中央店","その他","美容業","中央3-10-14ノーブルニッセイ1F","042-769-5055","ヘッドスパ・ヘアケアに力を入れているサロンです！"
"","Holiday","サービス業","美容室","中央3-10-7","042-851-3304","美容室・ボディエステ・フェイシャルが一緒になったトー
タルサロンです。"
"","La Gabby","サービス業","マツエクサロン","中央6-12-3 山久ビル402","070-1526-3569","マツエク・HBL正規店・パリジェンヌ正規店"
"","SAHI KAHNA（シャヒカナ）","飲食業","本格インドバングラデシュレストラン","中央3-11-4","042-750-5751",""
"","TOWA BAKERY","小売業","パンの販売","中央4-12-1","042-730-3580",""
"","江成屋金物店","小売業","雑貨・厨房・金物の小売り又は納品事業。","中央3-3-11","042-752-1525",""
"","オール・イン","飲食業","手作りの美味しいお弁当や『爆弾メンチカツ』などのお
惣菜を店頭販売しています。また、お弁当やお料理の
仕出しも行っています。
店舗の一部には立ち飲みカウンターもあります。","中央1-3-1-1F","042-815-2905","『ウェブサイト見たよ』で、店頭販売のお弁当50円割引
します!!"
"","カフェトガシ","飲食業","パン、ケーキも販売しておりますカフェになります。ラン
チではお得なセットメニューございます。ナポリタンな
ど生パスタやオムライス、シェフ手作りラーメンもおす
すめです","中央1-10-15","042-707-1800","インスタなどで情報発信しておりますので、宜しくお願
い致します"
"","県水通商まぐろ亭","飲食業","海鮮丼の専門店です。","中央2-3-16","042-707-0337","従業員募集中です、 
お気軽にお問い合わせください。"
"","個人大塚タクシー","サービス業","","中央4-7-16-3","080-6620-2501",""
"","酒菜処 柊","飲食業","おばんざいとお酒を提供する小料理店","中央1-14-9","080-9802-3378",""
"","相模原市農業協同組合 ベジたべーなmini","小売業","旬の地元農産物が集まる直売所です","中央6-10-10","042-755-3659",""
"","相模原市立産業会館パソコン＆プログラミン
グ教室","サービス業","パソコン＆プログラミング教室です","中央3‐12‐1相模原市立産業会館地下1FOA研修室","042-704-9888","無料体験が受けられます。"
