"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"相模大野","ファミリーマート相模大野銀座通り店","小売業","相模大野銀座通り入り口付近にある、調剤薬局を併
設したファミリーマートです。 
 単なるコンビニとしてだけではなく、お薬や健康に関
するご相談などもお受けできます。","相模大野6丁目19-17","042-767-5163","単なるコンビニエンスストアとしてのサービスだけでは
なく、調剤薬局も併設している店舗ですので、クリニッ
クを受診した後に、買い物ついでに立ち寄って頂けま
す。お薬のご相談などにも親切丁寧に対応致します。"
"","ファミリーマートよろづや相模大野北口店","小売業","コンビニエンスストア","相模大野3-9-1","042-701-3792",""
"","ブックオフ相模大野店","小売業","中古本・ソフト・ホビー・トレカ買取販売","相模大野5-30-7","042-749-5510",""
"","プラ－チェ 相模大野店","サービス業","美容室","相模大野3-18-3新井ビル1F","042-702-6477",""
"","ベーカリーHIMUKA","飲食業","パンの製造販売","相模大野5-25-2","042-766-2053",""
"","まつげ専門店Reindear（レインディア）","サービス業","まつげカール、まつげエクステ専門店です。話題のエ
グータム（まつげ育毛剤）やV3ファンデーションの公式
販売店です。 
当店初回ご利用の方は、HPにある’はじめてのお客様
へ’のご案内をご確認ください。","相模大野8-3-3センチュリーKIビル503","042-747-6700","当店でのまつげカールは、化粧品登録された安全なコ
スメ剤を使用しており、細胞レベルでまつげケアをしな
がら綺麗なカールが出来ます。 
次回使用できる、最終施術より2か月以内10%引き
クーポン配布。"
"","八重ちゃん","飲食業","大衆酒場","相模大野7-2-5","042-742-1968",""
"","焼肉ばん","飲食業","黒毛和牛牝肉にこだわった焼肉店です","相模大野7-7-13 1F","042-767-2304",""
"","焼肉ホルモンぼなぺてぃ","飲食業","焼肉店","相模大野3-3-2-217ボーノ相模大野2F","042-748-8670",""
"","ラクリフレッシュ工房","その他","","相模大野5-26-3パンテオン1階","080-6796-0333","10分延長無料サービス"
"","理瀬（本店）","小売業","婦人服小売店","相模大野6-18-14","042-746-0337","本キャンペーンでお買い物をしてくれたお客様には非
常にお得な「お得意様優待券」をプレゼント致します。
とても役に立つ粗品も漏れなくプレゼント致します。"
"","リラクゼーションサロンcielism","サービス業","肩コリ首コリ腰痛など、疲労に合わせマッサージを行
います","相模大野8-8-15AXIS相模大野101","042-866-6601","初めての方次回10％OFF"
"","リラクゼーションサロンfine","サービス業","リフレクソロジー、整体、インディバ、マタニティケア、ロ
ミロミ、アロマテラピー、ドライヘッドスパなど体のケア
をするサロンです。","相模大野6-13-4高木ビル2F","042-749-9010","施術を終えたお客様が本当に嬉しそうな表情を浮か
べて下さること、今も昔も変わらずそれが私達の一番
の喜びです。是非私達に元気のサポートをさせて下さ
い。新規割引、お得なクーポン等有り🍀"
"","ル プティオルム","飲食業","スープ、ソース、食材にこだわり地場産の野菜を取り
入れたカジュアルフレンチレストランです。","相模大野5-26-8-102","042-851-6630","期間中アルコール、ノンアルコール類2０%off"
"","ワミレスサロン相模大野HummingBird","小売業/サービス
業","ワミレスはお肌の生まれ変わりを理想的なサイクルに
導き素肌美を保つための最適なプランをカウンセリン
グからご提案。ミネラル、ビタミン等天然成分配合の毎
日のホームケアと定期的なサロンケアで応援していま
す。","相模大野6-18-18ノーブルコート101","042-851-5506","初回に限りサロンケア6050円を2200円(税込)（要予
約）
お得なサロン内キャンペーンも同時開催中！
instagram [humming_bird_1002]"
"相模台","Cafe Calma","飲食業","洋食中心のカフェ","相模台2-14-6さがみスクエア102","042-719-6708","化学調味料不使用で一皿一皿心を込めて全力でお料
理を提供しております。"
"","SUNFLOWER助産院","その他","母乳育児相談やベビーマッサージなど産前産後のケ
アで赤ちゃんとの生活をお手伝いしています。オンライ
ン対応可。","相模台4-11-4","090-4707-7696","講座の情報は公式LINEアカウント@991vbhluで先行
配信しています。ご登録でご予約お問い合わせも直接
やり取りいただけます。"
"","アルファはり灸接骨院","サービス業","マッサージ、生体、はり灸等を施術いたします。","相模台2-3-9 1F","042-741-5521",""
"","お菓子工房あん・プティ・ふる～る","小売業","洋菓子製造販売","相模台1-1-12","042-743-8739","期間中バ－スデ－ケ－キご予約のお客様にナンバー
キャンドルプレゼント!"
"","オダピザ！","飲食業","ピザ屋です。本格ナポリピザとサッポロ黒パーフェクト
ビールのお店です。 
焼きたての熱々ピザはいかがですか？ 
もちろん、お持ち帰りもできます。","相模台2-2-8 1F","042-705-7355","約500℃の窯で焼き上げた、モチモチの本格ナポリ
ピッツァです。"
"","かっさ友輪～yu-rin～","サービス業","毛細血管に圧を加えて、血液の毒（滞ってしまった血
液）を肌表面に押し出し経路の流れを良くする東洋医
学的なデトックスです。","相模台5-12-24","090-1452-6659 次回使用できる割引券プレゼント",""
"","カットショップふれんど","その他","美容業","相模台4-13-18","042-745-3020","特になし"
"","カトウ時計店","小売業","時計・眼鏡・宝飾の販売及び修理を行っております。","相模台1-13-3","042-743-7745",""
"","川田屋","小売業","新鮮な野菜や果物を販売しています","相模台2−2−3","042-744-1105",""
"","紀八","飲食業","居酒屋","相模台3-7-19","042-757-8234",""
