"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"上溝","（有）ツバキコーポレーション","小売業/サービス
業","印刷会社・広告代理店 
法人用、公人用、個人用、特殊名刺を請け負っており
ます。","上溝4505-19","042-761-4436",""
"","つるや小間物店","小売業","資生堂化粧品　婦人小物　絹糸などの販売","上溝6-2-2","042-762-0116","上溝商店街クーポン取扱い店"
"","手造りハム・ソーセージ クライフ","小売業","自家製ベーコンの焼きたてが人気の肉屋です。お昼
は弁当もあります。","上溝1482","042-769-5076",""
"","（有）とまと電化","小売業","電化製品販売及び修理","上溝2-5-21","042-763-3144",""
"","ドライヘッドマッサージ専門店beauty","サービス業","ヘッドマッサージ専門店です。 
健康に関わる酵素や、サプリメントも販売しています。","上溝7-16-12","080-5943-1748 次回利用できる割引券の配布",""
"","ながいカイロプラクティック","サービス業","慢性持病の改善
不調の8割はゆがみから","上溝1353-18","080-5185-4523 初回検査・問診無料",""
"","（有）ナカムラタイヤ","小売業","タイヤの修理及び販売","上溝2184","042-762-1220","タイヤ4本お買上げいただいた方に窒素ガスの充填
サービス
（トラックを除く）"
"","（有）綿屋呉服店","小売業","呉服小物・寝具・衣料品・学校用品","上溝6-2-6","042-762-0012","1000円以上お買い上げのお客様に不織布マスク（10
枚入り）プレゼント。"
"","バースデイ上溝店","サービス業","美容室","上溝5-14-19ダイエー上溝店2F","042-762-4179",""
"","パティスリーチャリンコ","小売業","洋菓子の製造・販売です。","上溝5-14-36","042-764-4177",""
"","ピアチェーレ","飲食業","イタリアンレストランでパスタ、サラダ、ピザ、デザート
など提供しております。","上溝2179-4シルベール101","042-761-0072",""
"","（有）日の出屋","小売業","パン菓子の製造販売","上溝5-3-11","042-762-0077",""
"","ビューティサロン かず","サービス業","美容室","上溝2039-21","042-758-2717",""
"","ビューティサロン チャーム","サービス業","カット　パーマ　カラーリング　着付け","上溝2391-3","042-712-2305",""
"","美容室ヘアーウィッシュ","サービス業","美容室を経営しています。","上溝5-2-14竹内ビル103","042-762-7997","ご来店時次回のご予約をされると、カットカラーパーマ
の料金は大きな割引きがあります。"
"","美容室ベレーザ","サービス業","美容室　美容業","上溝7-17-20 ベレーザ","042-713-1917",""
"","美容室ラルジュ","サービス業","来店時ワンドリンクサービスしています","上溝5-14-1小渕ビル2F","042-761-8588",""
"","美容整体サロン エタニティ","サービス業","女性専門 
 小顔、整体エステサロン","上溝3891-1","050-1391-4108","小顔、整顔が人気のサロン！ 
 初回60分5500円 
 健康で美しくなっていただきたいから 
 内面美容のアドバイスもしてます。 
 発酵教室も開催！"
"","ファッションケアニック 上溝店","サービス業","衣類のクリーニング、お直し 
布団、インテリアのクリーニング 
当店のクリーニングは抗菌・抗ウィルス加工で安心し
て生活していただけます。","上溝５－１２－４","042-761-2933","初めてのお客様、5点までクリーニング半額で承りま
す。 
学生服、フォーマルスーツなどぜひご利用ください。 
ダウン・布団・カーペット・着物は1点ごとに200円お値
引きさせていただきます。"
"","ファミリーカットシンゴ","サービス業","理容業","上溝3930-15","042-762-8594",""
"","ファミリーマート上溝七曲り店","小売業","コンビニエンスストア","上溝1249-6","042-768-8022",""
"","ファミリーマート相模原上溝店","小売業","コンビニエンスストアー","上溝1676-1","042-768-8025",""
"","ファミリーマート相模原番田店","小売業","コンビニエンスストア","上溝2039-1","042-704-6614",""
"","フィッシング相模屋","小売業","釣り具販売","上溝407-1","042-778-4991","お得なセールを開催中！詳細は当店ホームページを
ご覧ください。"
"","ヘアーサロン いその","サービス業","理容","上溝2035-33","042-756-4623",""
"","（株）宝月堂","小売業","電気工事・販売（家電）","上溝6-20-9","042-761-2158",""
"","宝飾店ジュベール","小売業/サービス
業","貴金属取扱/お買取も。ジュエリーや腕時計だけでなく
iPhoneやiPadの修理、電池交換にも対応。
美容部門としてネイルサロン、歯のセルフホワイトニン
グなども展開。","上溝6-1-5","042-761-1500","ジュエリーリフォーム相談、見積り無料。その他各種修
理見積り無料。"
"","増田屋","小売業","乾物食品等を販売しています。
なお、店内にカフェコーナーもございます。","上溝6-2-4","042-762-0020","1,000円以上お買い上げで10%割引き致します。"
