"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"清新","ひばり鍼灸整骨院","その他","整骨院・鍼灸院 
整体（自費施術）・トレーニング・ヘッドマッサージなど、 
お身体の痛みやお悩みに合わせてメニューをご提案
します。","清新1-6-1ドゥセゾン1F","042-810-0393","お得な回数券もご用意しております！"
"","美容サロンPlana","サービス業","フェイシャルエステを主に
まつ毛育成メニュー、耳つぼメニュー、お顔のwax脱
毛を施術させて頂いているエステサロンです","清新5-3-5","090-5426-5574",""
"","ファミリーマート清新6丁目店","小売業","コンビニ","清新6-18-15","042-700-2051",""
"","便利屋にゃんこの手","サービス業","遺品整理・生前整理 
家事代行・片付けのお手伝い 
など、家庭のお困り事を解決します。","清新5-7-16","070-7526-0022","お見積もり・相談無料 
即日作業も都合が合えば対応可能 
「特設ウェブサイトを見ました」 
で、割引致します。"
"","ローソン相模原清新一丁目店","小売業","コンビニ","清新1-2-2","042-757-0050",""
"高根","（有）相模交通","サービス業","一般乗用旅客自動車運送事業　
タクシー","高根1-3-1","042-752-4559",""
"","相模原甲羅本店","飲食業","かに料理・和風料理を個室、半個室にてご提供。
テイクアウトもございます。","高根1-6-1","042-786-5035","甲羅メンバーズカードご入会（入会費200円・年会費無
料）で
次回使用できる「かに刺身2人前」のプレゼント券配
布。"
"","相模原市立博物館ミュージアムショップ","その他","運送業","高根3-1-15","042-750-8030","500円以上お買い上げの方にノベルティプレゼント"
"","スナックモンロー","サービス業","カラオケスナック","高根2-2-18","042-759-0236",""
"","セブンイレブン相模原高根1丁目店","小売業","","高根1-1-14","042-753-9023",""
"","手打蕎麦 加寿屋","飲食業","昼は充実のランチメニュー、夜は充実のおつまみ。北
海道幌加内産のそば粉を使った本格的な手打そば屋
です。","高根2-2-16","042-757-1313",""
"","博多屋台や 相模原店","飲食業","九州料理と九州地酒","高根1-6-3","042-786-2381","大人三名様以上、5000円以上ご利用でお会計から
1,000円引き
※ランチメニューはご利用いただけません。
※ご利用の際はホットペッパーのクーポン画面をご提
示してください。"
"","萩原製畳（有）","小売業","畳・襖・障子の新規製作や張替えを行っております。","高根2-1-18","042-752-4924","畳工事と襖工事を一緒にご注文いただくと
襖張替え金額が1面500円引きになります。"
"","細谷サイクル","小売業","自転車販売修理","高根2-1-17","042-752-2346","エアー　オイルサービス"
"","（株）山田朱織枕研究所 神奈川相模原本店","サービス業","オーダーメイド枕の計測販売","高根1-3-7 2F","042-776-2025",""
"田名","BLOW","その他","自動車部品・バイク部品 マスター制作 成形型制作 及
び 量産、OEM他自社ブランド開発 及び 販売、特装
車輌の防水、暗室制作、FRP成形全般他。","田名8531-3","042-777-0453",""
"","C&E","その他","相模原市内にて住宅設備（ガス回り、水回り、鍵回り）
の修理・交換サービスを行なっております。","田名2851-13","042-866-4188","相模原市内のお客様、現地調査お見積り無料にてお
伺いさせて頂きます！"
"","ENEOS 田名 SS","小売業","ガソリンスタンド","田名4104-2","042-761-2800",""
"","hair room 3piece","サービス業","ヘアケア商品、シャンプー等を販売しています。地域
密着型の美容院です。","田名4738-12","042-778-1011",""
"","MSオート","その他","自動車修理、販売、車検代行業","田名10391-1","042-778-1366",""
"","（有）NDSエンジニアリング","その他","生産設備の設計製作・修理・改造・メンテナンス
機械加工
電気・機械の応援工事
感染対策用品の制作
オーダーメイドカー用品製作","田名5407-2","042-760-2789","交換用殺菌灯ランプを１つプレゼント
効果的な設置箇所ご相談承ります！"
"","SaIon de MIE","サービス業","理美容店女性男性OK 
 赤ちゃん筆承ります 
 ヘッドスパ 
 寝たきり高齢者出張 
 色々メニュー有りますのでご相談ください","田名4749-21","042-762-5182","PayPay.d支払い、auPAY使えます 
 メンバーズカード得点有ります"
