"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"横山","ノジマ相模原本店","小売業","家電商品や携帯電話などを主の販売接客していま
す。","横山1-1-1","042-753-1516","ノジマモバイル会員にご加入いただきますと、色々な
特典がお受け取りいただけます。"
"","バディーヘアー","サービス業","カット.パーマ.カラー.ヘッドスパなどオプションメニュー 
が多いい人気店です。","横山4-23-20メゾン村山103","042-751-7578","新規来店で10％OFF！ 
メンバーズカードお得がたまる！"
"","は満寿司","飲食業","寿司・魚介料理","横山6-8-17","042-754-9448",""
"","鍼灸マッサージ院Monet","サービス業/その
他","女性専門の鍼灸マッサージをやっています。","横山3-25-43","090-8465-8104","自宅サロンで女性専門の鍼灸マッサージ(治療や美容
鍼)をやっています。
新規のお客様には【初回割引】実施中！
鍼・灸・マッサージが気になる方、お待ちしています。"
"","パンドクルー","飲食業","パンの製造販売を行っております","横山2-6-3","042-753-7920","○LINE新規登録特典有り
○毎週水曜日はお買い上げ100円毎に10円分の金券
をプレゼント"
"","美容館美人","サービス業","美容室
美容一般","横山3-31-7","042-758-5957",""
"","フットスタンプ","小売業/サービス
業","ペット美容室","横山1-2-1","042-750-1185","トリミング後、５０日以内5%off"
"","フレキシブルオフィスジュピター","その他","コワーキングスペース","横山2-15-8","042-707-7378","市役所通り沿いのコワーキングスペースです 
Wi-Fi完備 
ドリンク有り 
バリアフリー"
"","ヘアーショップ ビーポイント","サービス業","美容室","横山6-1-12","042-753-9197",""
"","（有）升屋酒店","小売業","お酒、お米、タバコの販売","横山3-21-12","042-752-8090",""
"","焼肉ダイニング牛若","飲食業","焼肉店","横山2-10-8","042-750-0589",""
"","焼鳥本山横山店","飲食業","焼鳥、もつ鍋やサイドメニュー、アルコールなど提供し
ている居酒屋です。","横山1-1-13須藤ビル1階","042-707-4440","毎週金曜日レディースデイ開催"
"","（有）ワタナベ電化","小売業","家電品、設備商品販施工施工","横山2-7-18","042-751-0050",""
"横山台","HairSalon結人","サービス業","理容業","横山台1-4-7","042-758-7875",""
"","LABREA","サービス業","美容業","横山台1-30-11","042-852-4580",""
"","（有）岡本酒店","小売業","酒類、タバコ、他","横山台2-15-13","042-756-7530",""
"","セブンイレブン相模原横山台１丁目店","小売業","コンビニエンスストア","横山台1-10-10","042-774-9327",""
"","ダイヤ・ドライセンター横山台工場店","サービス業","クリーニング店です。衣類のお直しも承っております。 横山台1-24-18","","042-758-5643",""
"","鉄板焼き居酒屋なかまる","飲食業","鉄板焼き居酒屋です！ 
料理は全て目の前で焼いて提供致します！ステーキ
やホルモン焼き、お好み焼き、焼きそば、焼き飯、揚げ
物等豊富にあります！","横山台2-9-8コーポ栗山103","042-704-9657",""
"","ドギーベリー","サービス業","小型犬専用のトリミングサロン、幼稚園、ホテルをして
います。","横山台2-4-1","042-751-2203",""
"","パナハートアサヒ","小売業","家電販売","横山台2-9-13","042-753-1695",""
"","ファミリー美肌サロン","サービス業","エステサロンです。","横山台1-16-4","042-707-0226","まもなく8周年♪充実した設備・確かな技術・丁寧な施
術・通いやすい価格で貴方のお肌をメンテナンス♪無
料駐車場完備♪初めての方もお気軽にお越しください♪"
"","宝来カラオケホール","飲食業","カラオケ","横山台1-8-17","080-7964-3777","フリードリンク昼食付"
"","ポーラライラックショップ","小売業","化粧品販売","横山台1-15-8-1","042-755-3426",""
"","横山台珈琲館","飲食業","喫茶店
自家焙煎珈琲豆販売
焼いて24時間以内の新鮮な珈琲豆を、提供いたしま
す。","横山台1-1-17","042-758-7668","店主の鈴木は、皇居前パレスホテルで修行したのち、
地元に根付いた店を持ちたいと開店してから、早くも
43年経ちました。珈琲の香りに満ちた、レトロな雰囲
気のお店でです。"
"","ラクチン","サービス業","整体施術","横山台2-2-3","080-5408-4292 初回限定　４０分コースを２９８０円",""
"","（株）リプラス","その他","地域密着のリフォーム会社です。","横山台2-1-7","042-751-4858","お見積はもちろん無料！
外壁や屋根も無料で調査に伺います。"
"由野台","ブティック 三幸","小売業","衣類（ジャケット・パンツ・Tシャツ）販売","由野台1-24-1","042-757-1540",""
