"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"相模大野","manaco","サービス業","美容院です。","相模大野5-27-5","042-812-0114",""
"","MtoMパソコンアカデミー","サービス業","完全プライベートレッスンのパソコン教室です。","相模大野3-19-11日広第2ビル3階","042-702-2339","相模大野で22年目、完全プライベートレッスンのパソ
コン教室です。動画教材は使いません！ 
資料作りを助けて欲しい、謎のメッセージが出た、スマ
ホの事もちょっと聞きたい等、困った時の利用もOK。"
"","naruco cafe（ナルコカフェ)","飲食業","ハンドメイド雑貨の販売やワークショップも開催してい
ます。レンガの建物2階にある隠れ家的な小さなカフェ
です。","相模大野5-27-12東屋ビル2-2F","042-745-0037",""
"","Pizzeria Oasi","飲食業","イタリア料理店","相模大野6-13-8","042-705-8551","薪窯で焼くピッツァが自慢のイタリア料理店です!"
"","TAIN MALT BAR","飲食業","モルトウイスキー500本以上揃えるバー","相模大野8-6-16スカイビル2F-B","042-705-9909",""
"","YDP（ヨコミチダンスプラザ）","サービス業","社交ダンス（ボールルームダンス中心でペアやグルー
プダンス）教授所","相模大野3-18-10アリスビル4F","042-765-5044","入会金無料です。"
"","ZuーcA HAIR","サービス業","美容業全般","相模大野6-19-9 金井ビル1F","042-746-4577",""
"","アウトドアスタイル・ベルモ","小売業","アウトドアセレクトショップ。アウトドアファッション、アウ
トドア用品、登山用品、キャンプ用品、アパレル、バッ
グ、雑貨他。トレッキング、登山、キャンプ、トレラン。
GoalZero正規取扱店。","相模大野8-4-10サウスフロント相模大野ビル3F","042-767-2721","ご来店初回ご購入者様に、アウトドアブランドのエコ
バッグ、カラビナ等のノベルティを1点プレゼント（先着
30名様）。また、当店SNSフォロワー様に（画面提
示）、購入時10%OFF致します。"
"","アエラス","サービス業","美と健康を大切にする、大人女性のためのオーガニッ
クサロンです。
天然成分100%カラーやオーガニックカラー、Aujuaト
リートメントを取り扱っております。","相模大野3-16-7MAT1F","042-765-6880","アエラス専用アプリご登録で5000ポイントプレゼン
ト！！"
"","アエラスラナ","サービス業","美と健康を大切にする、大人女性のためのオーガニッ
クサロンです。
天然成分100%カラーやオーガニックカラー、Aujuaト
リートメントを取り扱っております。","相模大野5-27-4和興ビル1F","042-705-2773","アエラスラナ専用アプリのご登録で5000ポイントプレ
ゼント！！"
"","アクアコスメラボ相模大野店","小売業","カウンセリング化粧品の販売","相模大野3-8-1ステーションスクエア4F","042-860-6796","お肌診断無料実施中です"
"","亜月工房","サービス業","陶芸教室 
陶磁器制作・販売","相模大野6-17-16","042-741-0676","体験教室　3300円/1回 
全部体験　8800円/3回 
出張教室　ロクロ、粘土全て持参でお伺いします。 
金継ぎ　大切な器をお直しいたします。"
"","足道楽 相模大野店","小売業","インソールと靴で足やヒザ・腰の負担や姿勢を改善・
軽減させる足の専門店。","相模大野3-19-10　橋本ビル102","042-705-7979","初回足診断（縦横のサイズ・体重のかかり方・左右バ
ランス・足の歪みとクセ）を無料で診断致します。"
"","株式会社安宅不動産","サービス業","不動産の賃貸仲介・管理・売買業","相模大野5-2-11","042-866-3428","賃貸住宅の住み替えを、希望条件に合う様、 
 親切丁寧にお探しします。"
"","イタリア食堂Fagotto","飲食業","地元相模原の野菜や卵、鎌倉の野菜などを、全て手
作りで美味しいイタリアンで表現します！人生で一番
美味しかった！と大好評✨","相模大野6-19-8","042-705-3690","心からの美味しい、楽しいをFagottoで！初来店のお
客様にはウェルカムドリンクサービスあり！"
"","一源","飲食業","お米とお肉が美味しく頂けるお店です。お酒の種類も
豊富です。","相模大野6-13-8-1F","042-745-5439","ご来店時に「サンキューキャッシュバックキャンペーン
で来た」 
と一言いただければ店長のオススメ一品サービスが
あります"
"","エス・ツー・エム","小売業","スポーツ用品販売","相模大野5-13-1","042-741-7101",""
"","オアシス治療室","サービス業","指圧・マッサージ・ハリ灸治療","相模大野3-11-3-501","042-741-5586",""
"","（株）大岡薬局","小売業","","相模大野3-2-1-103","042-742-2807",""
"","お好み焼き じゅげむ","飲食業","お好み焼き もんじゃ焼き の店です","相模大野3-1-14","042-749-6160",""
"","お好み焼き まるう","飲食業","種類豊富なお好み焼きと明石焼きが自慢！地元で長
年愛されるお好み焼屋さん","相模大野6-15-10 Yハイム101","042-766-7090","次回来店していただくとワンドリンクサービス(アルコー
ル類も含む)"
"","おむすびcafe EMMUSUBI","飲食業","おむすびが食べられるcafe","相模大野6-15-28シュバルプラン102","042-705-2393","お客様スペースを広く取り、長い時間ゆっくりご寛ぎい
ただけます。おにぎりだけではなく、美味しいケーキや
オーナー厳選のクラフトビールやハーブティーも取り揃
えております！"
"","カーヴ・ド・アズマヤ","小売業/飲食業","酒類販売、立ち飲みもできる酒屋です。","相模大野5-27-12","042-742-3357",""
