"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"元橋本町","（有）高尾屋本店","小売業","和菓子製造販売","元橋本町3ー28","042-772-2041",""
"吉野","セブンイレブン神奈川藤野町店","小売業","","吉野241","042-687-4301",""
"","藤野商事（株）出光昭和シェルニュー相模湖
S.S.","小売業","ガソリンスタンド","吉野299-1","042-687-2133",""
"","旅館陣谷温泉","サービス業","旅館業","吉野1806","042-687-2363","ワンドリンクサービス"
"与瀬","石井モーターサービス","サービス業","自動車販売整備業","与瀬2286","042-685-0856",""
"","（株）エコナノクラブ","小売業","一般家庭用洗剤、除菌剤、アルコール製剤","与瀬269番地","042-684-4729",""
"","大塚プロパン商会","小売業","燃料販売","与瀬669","042-685-0300",""
"","かずえ美容室","サービス業","美容一般","与瀬1323-2","042-684-2255",""
"","相模湖観光案内所","サービス業","相模湖近辺の観光案内及び地元産品の販売","与瀬1183","042-649-0661",""
"","（有）相模湖橋本新聞店","小売業","旧相模湖町地区を受け持つ新聞販売店です。","与瀬1308","042-685-0606","旧相模湖町地区を受け持つ新聞販売店です。"
"","（一社）さがみ湖 森・モノづくり研究所","小売業","地域材で製作した木工品や家具などを販売していま
す。","与瀬269番地","042-649-0422",""
"","セブンイレブン相模湖インター店","小売業","食料品や雑貨を販売しています。","与瀬714","042-684-5857",""
"","タック","小売業","電気製品販売・電気工事","与瀬1305-2","042-685-0883",""
"","ミツイヤ","小売業","靴・雑貨　販売
クリーニング　取次","与瀬848","042-684-3128","る お
紳士・婦人・子供の靴や靴下・スリッパなどの雑貨もあ
店です!!"
"","渡辺機械起業（有）","サービス業","自動車整備業","与瀬694","042-685-0700","来店時ドリンクサービス"
"与瀬本町","JA神奈川つくい 相模湖支店","小売業","","与瀬本町3","042-684-2525",""
"","(有)いかりや","小売業","おみやげ、菓子類等の販売","与瀬本町13","042-684-2110",""
"","いかりやレストラン デミタス","飲食業","レストラン","与瀬本町13","042-684-2536",""
"","魚春","小売業","魚介類・野菜・肉の販売","与瀬本町47","042-684-2111",""
"","すみれ美容室","サービス業","美容一般","与瀬本町5","042-685-1266",""
"","（株）トラベルサーティーナイン","サービス業","旅行業手配全般
旅行手配に関するすべての手配予約","与瀬本町50-2F","042-682-6339","旅行手配の見積無料など詳しい資料の無料提供やア
ドバイスを
致します。"
"","中村電気商会","小売業/その他","家電販売、修理、電気工事","与瀬本町48","042-684-3123",""
"","（有）橋本薬局","小売業","","与瀬本町12","042-685-1331",""
"","（株）前田モータース","小売業/サービス
業","自動車整備・車検や新車・中古車の販売をしていま
す。","与瀬本町46","042-684-2631","車検・点検時、オイル交換無料です。車検時、持込み
割引き等の各種割引きあります。"
"","（株）桝屋商店","小売業","食品、酒、雑貨など販売しています。","与瀬本町15","042-684-3112","当店は、お米の精米をしています。
新米を取り揃えて　お待ちしています。"
"","丸井洋品店","小売業","お買い得ファッションを売っています","与瀬本町12","042-684-2040",""
"","（名）山本商会（山本金物店）","小売業","家庭金物、建築金物、セトモノ、打刃物、雑貨、外構工
事等","与瀬本町8","042-685-1313",""
"若葉台","鶏料理 壽屋","飲食業","金・土・日曜日の週3日のみの営業。 
三十年間精肉店を営んだ店主が、経験・知識を活かし
鶏料理・焼き鳥をメインにした居酒屋にDIY改装。おか
げさまで15年、変わらぬ味を提供させていただいてお
ります。","若葉台4-1-3","042-782-4649","ランチ：11時～14時／定食メニュー：昔ながらのメンチ
・みぞれ　がご好評いただいております。 
夜：17時～22時／熟成風味鶏の焼き鳥・鍋料理など。 
満席の場合がございます。お電話にてご確認ください"
"若柳","JA神奈川つくい 内郷支店","小売業","","若柳989","042-685-0211",""
"","（有）MBオート 相模湖店","サービス業","自動車整備・板金塗装","若柳1384-2","042-689-6982",""
"","PICAさがみ湖","サービス業","「さがみ湖リゾート プレジャーフォレスト」内にある、都
心からすぐのファミリーに人気のキャンプ場です。","若柳1634","055-530-4580",""
"","PICAさがみ湖ワイルドクッキングガーデン","飲食業","自然の中で開放的なバーベキューが楽しめます！景
色を楽しみながら、ワイルドにお食事をお楽しみくださ
い。","若柳1634","042-685-0818",""
