"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"淵野辺本町","ファミリーマート相模原淵野辺本町店","小売業","飲料・お弁当・日用品を販売しています。24日時間営
業です。","淵野辺本町3-7-16","042-744-1815",""
"","ファミリーマート淵野辺本町一丁目店","小売業","コンビニエンスストア","淵野辺本町1-35-14","042-730-3716",""
"","ヘアサロンミラー淵野辺店","サービス業","美容室","淵野辺本町2-16-19モビード淵野辺1-A","042-707-7860",""
"星が丘","CEサロン すずらん","小売業","エステ　化粧品販売","星が丘2-14-19","090-5200-6928","エステおためし通常6600円→2500円"
"","CREX K’s","サービス業","理容業","星が丘3-8-15アネックス103","042-786-5234",""
"","OP-Call","サービス業","パソコンの修理・パソコンやWi-Fiなどの設定・パソコン
販売・パソコン教室他　出張もしております","星が丘4-14-6　ハイツカマガタ102","042-707-7147","パソコン教室 入会金50％OFF"
"","salon.de.nature","サービス業","エステサロン","星が丘4-4-1-209","042-757-1107",""
"","SUGA","サービス業","理美容業","星が丘4-17-14","042-776-7321",""
"","（株）アートハウジング","その他","自社物件販売、不動産仲介業務、リフォーム全般、不
動産管理：賃貸・資産活用等をおこなっております。","星が丘2-15-3","042-776-0800",""
"","江戸前寿司ちかなり","飲食業","味・鮮度にこだわった本格江戸前寿司。豊富なネタで
職人がにぎる寿司、刺身、海鮮焼き。A4～A5和牛焼
肉も楽しめます。 
店内完全個室、換気システム導入しており安全な環境
でお食事出来ます。","星が丘3-14-8","042-755-0441",""
"","かざはな 星ヶ丘店","飲食業","パン製造　販売","星が丘2-6-23","042-814-2091",""
"","髪ぞめや","サービス業","白髪染め専門美容室","星が丘2-12-13","042-711-7190",""
"","橘内印舗","小売業","一級技能士　印章業","星が丘4-17-10","042-754-9613",""
"","（株）黒沼金物店","小売業","建築金物、住宅関連商品、婦人服等の販売","星が丘1-4-20","042-752-0239",""
"","郡司畳店","その他","畳製作","星が丘2-15-5","042-752-9169",""
"","サロン・ド・Rea","小売業/サービス
業","化粧品販売
個室フェイシャルエステ　サロン","星が丘2-12-2ヴィラ星が丘204","090-2649-5892","キャンペーン中
初めての方に限り　お試しエステ　2500円！"
"","シナリー アイクオレ","小売業","化粧品 販売","星が丘4-13-1 ドミール星が丘A102","042-755-6118",""
"","ジュエリーラフィネ","小売業","宝石貴金属販売店","星が丘1-4-16-103","042-786-0678","39キャンペーン期間中！！！全ての商品を半額にて
提供いたします。"
"","スワベサイクル","小売業","自転車販売、修理","星が丘4-11-1","042-752-5141",""
"","セブンイレブン星ケ丘店","小売業","飲料や食品、雑貨等の販売","星が丘2-16-11","042-756-7913",""
"","たんぽぽ薬局","小売業","調剤及びOTC,健康食品の販売をしています。","星が丘4-2-60星が丘オオヤビル2F","042-757-9030","期間中は情報提供とお土産をご用意しております。"
"","デジタルサービスコンドウ/星が丘パソコン教
室","サービス業","シルバー向けのマンツーマンのパソコン教室です。","星が丘2-5-20東宮ハイツ1F1号店","042-707-4840","サンキューキャンペーン中限定！！授業中でも飲める
飲料水進呈！！お一人様一本になります。"
"","トータルサロン Twinkle","サービス業","フェイシャルエステ","星が丘2-12-13","042-757-8730",""
"","トリガー指圧院＆ほぐしのとりがー","サービス業","治療とリラクゼーション","星が丘1ー1ー22スカイハイツ星が丘102","042-750-5551","ホットペッパークーポンあり。
初回割引あり。"
"","花ミキ","小売業","生花販売","星が丘3-15-4　スターヒルズMTビル1F","042-754-8711",""
"","鍼灸スポーツマッサージ治療院 Will","サービス業","鍼灸治療
スポーツマッサージ
パーソナルトレーニング","星が丘3-6-21マルセイハイツ1-106","042-707-1119","国家資格である鍼灸マッサージ師に加え、トレーナー
の専門資格である日本スポーツ協会公認アスレティッ
クトレーナーを有しておりますので、専門的な治療・ト
レーニング指導がご提供出来ます。"
"","ヘアメイクペリート","サービス業","美容室","星が丘1-4-10","042-776-5244",""
"","米粉パン米来","小売業","米粉パンと米粉の焼き菓子を販売","星が丘1-3-14","090-9820-7071",""
"","メンズ脱毛＆FACE TONO","サービス業","メンズ脱毛","星が丘2-12-13","042-757-8730",""
"","焼肉清香苑","飲食業","","星が丘3-14-7","042-815-1129",""
