"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"栄町","ペット・ナチュレ","サービス業","ペットサロン　ペットホテル　動物用医薬品販売","栄町14-16","042-747-8567",""
"相模大野","9ROUND 相模大野","サービス業","フィットネス事業
サーキット型キックボクササイズジムです。","相模大野3-15-17-3F","042-861-9930","月会費制のジムになりますが、
サンキューキャンペーンを使用することにより、お得に
通えることができ、さらに、グッズ/アパレルと合算する
ことで、
より快適なFitnessLifeを送ることが出来ます！"
"","AKランドリー大野南口店","サービス業","クリーニング","相模大野7-1-9","042-747-0111","30円券1枚プレゼント"
"","ART Hair Salon","サービス業","幅広い年齢層のお客様がご来店いただける美容室で
す。","相模大野3-3bono相模大野1F","042-745-8393","新規ご来店、施術メニューALLメニュー10%OFF。"
"","ATELIER MiA","サービス業","美容院","相模大野3-14-7ソフトビル相模大野4F","042-851-5615",""
"","BARBER HaR HAIR","サービス業","理容業","相模大野5-2-11-102","090-4427-0987",""
"","BARオードヴィー","飲食業","《相模大野のネイバーフッドバー》
カクテル・ウイスキーなどお好みをお伺いしてご用意さ
せていただいております。
季節のフルーツカクテルが人気！
SNSで随時情報を配信中！","相模大野3-12-17伊東ビル2F","042-765-5660",""
"","cafetsumuri","飲食業","相模原産卵のフレンチトーストと美味しいコーヒーが自
慢のアットホームなカフェです。","相模大野6-15-30-2","042-711-6953",""
"","カレーハウスCoCo壱番屋小田急相模大野
駅前店","飲食業","カレー等を提供する飲食店","相模大野3-11-3ルミエール相模大野101","042-767-3557",""
"","Come On タイ料理店","飲食業","グリーンカレー、タイラーメン、ガパオライスなどタイ料
理全般を本場の味で提供してます。本場のタイ料理店
ですが、辛くないメニューもたくさん用意してます。","相模大野8-8-13","042-765-5688","ランチタイムのサービス時間帯は、注文が集中してお
待たせすることもあります。お急ぎの方々は、お電話、
又はCome Onタイ料理公式LINEアカウント
@823alitmより事前にご注文下さい。"
"","DiCE相模大野モアーズ店","サービス業","インターネットカフェ","相模大野３丁目９－１ 岡田屋モアーズ１Ｆ","042-701-8241","新規のお客様に次回から利用可能なスタンプカードを
お配りしております。3回目の利用で料金半額！"
"","Do-tun(どーつん)","飲食業","蕎麦居酒屋","相模大野6-15-43","042-747-5537","昼は手打ち蕎麦のランチをやっていて、夜は飲んでお
つまみを食べて〆に手打ち蕎麦が食べられます。"
"","e-Burgers","飲食業","グルメバーガーショップ！","相模大野5-27-14","042-705-6222",""
"","EXCEL English （エクセルイングリッシュ）","その他","外国人講師とマンツーマンで英語を学べる語学教室
です。
スカイプなどのリモートによるレッスンもご用意しており
ます。","相模大野5-25-4","042-715-3007",""
"","GRILL FUKUYOSHI ボーノ相模大野店","飲食業","","相模大野３-3　ボーノ　サウスモール2階","042-705-9222",""
"","hair&spa season","サービス業","美容室","相模大野8-2-11 SKビル1F","042-860-7675",""
"","hair design lumo","サービス業","美容室","相模大野6-13-4 1F","042-701-3260",""
"","Hair Lounge W","サービス業","ヘアサロン","相模大野3-19-15-202","042-705-3981",""
"","hair Riso","サービス業","美容室","相模大野8-3-1ドミール相模大野106","042-741-0017",""
"","hairsalon Mayuri","サービス業","大人女性向けのサロンです。","相模大野3-15-8-2F","042-851-6110","N.、trackoil、Refa、TOKIO、アジュバン正規取扱店で
す。"
"","HIDE-and-SEEK","サービス業","理容業","相模大野3-1-14","042-742-7730","クイックスパ是非！おすすめです。"
"","Italian Kitchen VANSAN 相模大野店","飲食業/その他","イタリアンレストラン","相模大野3-19-13　アーベイン相模102号","042-767-2073",""
"","jabhair","サービス業","美しい髪は健康な頭皮から。を基本に施術させて頂き
ます。","相模大野6-16-9","042-741-0855",""
"","Japnese Dining 黄柚子","飲食業","相模大野南口の居酒屋です。","相模大野8-3-7","042-748-7595","テイクアウト用も販売中！ 
自社ECサイトもあります！"
"","LaughField","小売業","海外直輸入のセレクトショップです 
 衣料品、雑貨等","相模大野5-13-6","042-741-5002",""
"","Le Lapin Vert （ル ラパン ヴェル）","飲食業","フランス料理とワインのお店
アラカルトメニュー、コース料理（要予約）をご用意して
おります。
その日に合わせて、ご家族と、お友達と、ゆっくりとお
料理をお楽しみください。","相模大野5-27-2大渕店舗1F","042-705-6202",""
