"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"相南","毎日新聞 相模原南部販売所","その他","新聞配達等","相南4-8-22","042-742-8007","毎日新聞・東京新聞・スポーツニッポン・小学生新聞
の一週間、試読紙を配達します。"
"","有限会社増田表具店","その他","ふすまの貼替、障子の張替え、内装工事全般も取り
扱っています。","相南2-28-8","042-743-0540","見積金額より5％お勉強させていただきます。"
"","丸菱弁当 小田急相模原店","小売業/飲食業","弁当の製造・販売","相南4-1-33 1F","042-744-6682",""
"","ミレー洋菓子店","小売業","洋菓子製造　販売","相南1-19-14","042-744-0390",""
"","メヘンディ","サービス業","まつげエクステ・カール・フェイシャル等 
 完全個室のプライベートサロンです","相南4−22−10クレール本間102","042-766-0289","リピーター様はもちろん、新規様大歓迎です。 
 お気軽にお問合せください。 
 ※予約優先"
"相武台","ECCジュニア・BS 相武台教室","サービス業","英語 、英会話学習塾","相武台3-21-11キャッスルマンション103","090-9135-8348 無料 体験レッスン 特典あり。",""
"","インド料理 ロティボティ","飲食業","インド料理のレストランです","相武台1-25-2-2F","046-240-6804","ランチのお弁当は510円～あります。ぜひ本場インド
の味をお試しください。"
"","久保田接骨院","その他","骨折、脱臼、捻挫、打撲、挫傷の治療","相武台1-4-7","046-251-5077","健康保険治療・交通事故・労災・生活保護指定、
必要に応じ、膝・腰コルセット、テーピング販売。"
"","クリーニングウィン","サービス業","平成元年に地元相模原市出身の先代が創業しまし
た。
地元相模原にクリーニングで貢献したい・・・
その意思を二代目が引き継ぎお客様の衣類を永くご
愛用頂けるよう日々研鑽しております。","相武台1-26-2","046-251-3612",""
"","ケアレッチ鍼灸院・整骨院","サービス業","根本的な治療に特化した、鍼灸治療院です。","相武台1-25-2","046-259-9871","通常6600円の治療が、初めての方限定初回3980で
治療できます。"
"","恵和整骨院","その他","整体(自費)を受けに来る患者さんが多い整骨院です","相武台2-24-17","046-257-0059","初診料(1,100円)サービスいたします。"
"","セブンイレブン相模原相武台3丁目店","小売業","コンビニエンスストアです。","相武台3-21-20","046-255-2711",""
"","トミー・フーズ","小売業","食肉販売業","相武台1-19-8","042-703-5850",""
"","パン香房つちや相武台本店","小売業","和風のパンが人気の地域密着のパン屋です。","相武台1-22-18ハピネス相武台1F-A","046-409-9388",""
"","ふじや精肉店","小売業","精肉、そうざい販売","相武台1-25-6","046-255-6367",""
"","メガネの一心堂","小売業","メガネ・コンタクトレンズ・補聴器の販売","相武台1-24-5","046-253-1410","丁寧な度数測定を心掛けております。強度用・お子様
用・深視力用・跳ね上げフレーム etc. 用途に応じた使
いやすいメガネを調製いたします。ご予約優先にて
承っております。"
"","八百恒青果","小売業","野菜・果物販売","相武台1-19-4","046-253-4041",""
"","ラーメン・餃子 ふじのや","飲食業","ラーメン専門店、手作り餃子のお店です。","相武台1-19-8","046-200-7030",""
"","レディース・ファッションハセガワ","小売業","婦人服販売","相武台1-24-7","046-253-3337","粗品進呈"
"","ローソン・スリーエフ相模原相武台一丁目店","小売業","コンビニエンスストア","相武台1-23-1","046-257-9350",""
"","ローソン・スリーエフ相武台駅前店","小売業","コンビニエンスストア","相武台1-24-11","046-258-0131",""
"相武台団地","ひばりカフェ","飲食業","相武台団地商店街にある小さな
コミュニティーカフェ、美味しい珈琲
軽食、カルチャースクール併設
デッキでは、犬連れもok","相武台団地2-3-5","046-404-0540","飲食毎にポイントカードにポイント10個貯まったら、お
飲みのサービス"
"当麻","モスバーガー原当麻店","飲食業","ハンバーガー製造販売","当麻810番3号","042-777-7677",""
"","（有）片山鈑金","その他","自動車鈑金塗装","当麻898-2","042-712-6060",""
"","（有）晃源堂","小売業","レジャー、釣具、酒類等販売","当麻2350","042-778-1050",""
"","彩門","飲食業","ラーメン、焼肉 屋","当麻862-6","070-3305-0922",""
"","清水電気商会","小売業/その他","電気製品の販売および電気工事を承っております。","当麻823-2","042-778-3289",""
"","（株）白井商事","小売業","プロパンガス供給・住宅設備機器販売","当麻847-4","042-778-1515",""
"","タカハシ 当麻店","小売業","婦人服、紳士服、子供服、および靴下、下着類 
ならびに生活雑貨品を販売しています。","当麻1114-1","050-3665-8346","アプリ新規登録割引 
アプリ来店ポイント割引"
