"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"青山","給湯器・コンロ工事店 SUZUKIGAS販売店
☆（名）鈴木商店","小売業/サービス
業/その他","酒･米・食料品･灯油＆プロパンガスを販売しておりま
す。
台所やお風呂、水回りのお悩み ご相談ください！
都市ガス工事も承ります！","青山287","042-784-1002","大好評!!　申請で使える　宛名記入済の封筒　をプレ
ゼント！
ガス･水回りのお悩みは　早めのご相談が快適LIFEに
つながります。
笑顔でお待ちしております！"
"","サイクルショップかどくら","小売業","自転車・バイク販売および修理","青山1048","042-784-5512","ボールペン進呈"
"","地粉うどん せき麺","小売業","麺類製造販売","青山828","042-784-8100","土日は、店頭にて特売を実施しています"
"","ジャパン ゼロレーシング MND","サービス業","乗用車整備、競技車両作成及びメンテナンス等","青山2981-3","042-780-8290","お客様に合ったカーライフをサポート 
元プロレーシングドライバーの経験を活かし、チューニ
ングプランの提案やサーキットでの走行指導まで幅広
く対応いたします。"
"","スパゲティ屋青山","飲食業","パスタとピザのレストラン","青山2324-4","042-784-5623",""
"","セブンイレブン津久井青山店","小売業","コンビニエンスストア","青山827-1","042-780-1164",""
"","（有）大成石油青山給油所","小売業","ガソリンスタンド","青山2890","042-784-1430",""
"","手作りパン　リール","小売業","パンの製造、販売","青山931-1","042-780-1698","ランチタイムサービスあります"
"","桃月堂製菓舗","小売業","和菓子や餅菓子を製造販売しています。","青山287","042-784-0434",""
"","ピッツェリア ドリームファーム","飲食業","薪焼き石窯で焼く、イタリアンピッツアの専門店。　自
然溢れるガーデンレストランです🎵　デザートピッツア
は日本で最初に販売を始めました‼　週末の１８時よ
り、ジャズのライブを行っております🎵","青山3126-3","042-784-0961","秋の新作を開発中‼ 
毎週末のドリームファームライブは、ミュージック
チャージは頂きません‼　都内、横浜で活躍のミュージ
シャンをご堪能下さい🎵"
"","ベイスターズマートいなば","小売業","酒類、食品、雑貨等小売","青山2971-4","042-784-0106",""
"太井","カイロサロン湖瑠璃","サービス業","カイロプラクティック、カイロエステティック。サプリメン
ト、化粧品、マット、サポーター販売","太井304-9","042-780-8061","次回使用の割引券配布。エステティック施術の方次回
ヘッドスバサービス券配布。"
"","（株）川原ITソリューションズ","小売業/サービス
業","パソコン、プリンターなどを販売しています。ホーム
ページ作成や、プログラミング教室の相談まで、パソコ
ン関連やインターネット関連ならなんでも対応いたしま
す。","太井826-5","090-5218-3669",""
"","季逢庵（きほうあん）","飲食業","地場産野菜の料理を提供。晴れた日にはペット同伴
（テラス限定先着順）でもOK！インスタグラムフォロー
お願いします
https://www.instagram.com/kihou_an/","太井121","042-780-8014","地場産野菜の料理を提供。晴れた日にはペット同伴
（テラス限定先着順）でもOK！インスタグラムフォロー
お願いします
https://www.instagram.com/kihou_an/"
"","（株）郡農産業","小売業／サービ
ス業","不動産・プロパンガス販売","太井139-5","042-784-1011",""
"","（株）新光吹付塗装","その他","内装や外壁塗装をやってます","太井201-12","042-784-9587","お見積無料です
ご相談ください"
"","セブンイレブン相模原津久井太井東店","小売業","コンビニエンス","太井621-1","042-780-0170",""
"","中華料理芹菜","飲食業","五目おこげ　中華粥　担々麺　薬膳麺等　人気の薬膳
にも力を入れた中華料理屋です（オーナーは薬膳マイ
スター）","太井637","042-784-0958","お食事の後にワンポットオリジナルブレンド中国茶を
サービスさせて頂いています。"
"","津久井観光センター","小売業","津久井産の野菜や特産品の販売","太井1274-2","042-784-6473",""
"","津久井せんべい本舗 津久井本店","小売業/その他","ブランデーせんべいが有名な老舗米菓店。自分で作
れる煎餅「せんべいできるかな？」もお勧めです。","太井121","042-784-4556",""
"","津久井乃庵","飲食業","和惣菜等のテイクアウト及びサンドウィッチ、定食、ア
ルコール類、ソフトドリンク等の飲食業及び屋内型の
金魚釣り堀。","太井450-8","042-784-2119","当店は、お惣菜のテイクアウトとお惣菜をアレンジした
メニューをお楽しみ頂けるカフェです。一番の特徴は、
店内に金魚の釣り堀があり、子様から大人の方まで
釣りを楽しみながら飲食できるアミューズメントカフェで
す"
"","ファミリーマート津久井太井店","小売業","コンビニエンスストア","太井230-1","042-780-5016",""
"","三島寿司","飲食業","寿司　うなぎ　天ぷら等　製造販売　出前等","太井440-3","042-784-5588","昼食には、みそ汁、デザートがつきます。"
"","（株）ミリオン事務機器","小売業","事務機器・事務用品・教材・生活用品等を販売する店 太井158‐3","","042-784-3856","1000円以上お買上げの方にフラワーペン等粗品進呈"
"","焼肉順天楼","飲食業","焼肉、韓国料理","太井608-3","042-784-2981",""
