"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"橋本","nail salon COCO","サービス業","ネイル/痩身エステ/フェイシャルエステ/メンズ脱毛/レ
ディース、キッズ脱毛","橋本2-2-18コンフォート2 6-B","090-9301-5791 特別割引メニューあり◎",""
"","NAKAJIMA CYCLE","小売業","創業67年の自転車専門店。ママチャリ・電動自転車・
ロードバイク・E-BIKEなど様々な自転車を取り扱って
います。","橋本3-30-1","042-772-2668","創業67年の自転車専門店。ママチャリ・電動自転車・
ロードバイク・クロスバイク・E-BIKEなど様々な自転車
を取り扱っています。ご購入頂いたお客様にはお得な
特典があります。"
"","Recess Hair","サービス業","40代、50代、60代の女性に口コミで人気の美容室で
す。","橋本2-7-4加藤ビル102","042-703-1286",""
"","Ririan","サービス業","髪質改善が得意な美容室です。
髪の毛の悩みやお困り事ご相談下さい。","橋本3-29-6橋本センタービル1F","042-703-6197","髪質改善トリートメントをした方にはご自宅用の髪質改
善が長持ちするトリートメントを贈呈中。"
"","Salon Lucia","サービス業","当店は、豊富な経験と専門知識を持ったスタッフが在
籍しているネイル＆ワックスサロンです。爪に優しい
ベースジェルを使用しており、 
 カラー選びや技法をしっかり考えお客様に寄り添いな
がら施術を行います。","橋本6-24-1　プラウド橋本2F","042-753-0222","当店では、心地よく過ごして頂けるサービスを目指し、
技術・接客ともにご満足頂けるよう日々努めておりま
す。丁寧なカウンセリングでお客様の悩みやご要望に
お応えしお客様と一緒に美を追求していきます。"
"","shinb","サービス業","整体・エステ","橋本6-13-14-3フォレストミライ橋本201","042-703-8762",""
"","SKY second","サービス業","メンズサロンです。","橋本2-2-18コンフォートⅡ2F","042-771-0025",""
"","U-Select相模原橋本","小売業","自動車(中古車)の販売、車検、点検、整備、修理をし
ています。
Honda正規ディーラー
その他に、電動車いす(WHILL)の販売も行っていま
す。","橋本1-18-15","042-771-1235",""
"","wappoi","飲食業","和食と日本酒が美味しい居酒屋です。","橋本3-14-13HK第4ビル1F","042-774-7812","旬の鮮魚を兵庫県明石浦より直送しています。季節の
食材と合わせたお酒も取り揃えています。店主厳選の
日本酒は随時20種類以上あり、特別な時間をお過ご
しください。"
"","アイラッシュサロンリリアン","サービス業","まつ毛エクステ、まつ毛パーマのお店です","橋本3-29-6橋本センタービル1階","090-6016-2043","まつ毛エクステ、まつ毛パーマの方は全員アイシャン
プーとサロン専用まつ毛美容液が施術についていま
す♪"
"","足道楽橋本店","小売業","オーダーメイドインソールと靴の専門店
ひざ痛・足裏痛・外反母趾などのお悩み解消のための
インソール作成とお靴などをご提案しております。","橋本3-20-17デイム橋本102","042-703-4649","足のお悩み診断無料"
"","足のお悩み専門店！足育整体【mix 
Support】スポーツアロマ＆ファイテン橋本城
山治療院","サービス業","足から治す体形調整の整体とスポーツアロマやファイ
テン商品を活用した身体のケアをしています。
ファイテン商品やプラセンタなどの購入はご相談くださ
い。","橋本6-12-2SGビル305","042-771-7045","初診料無料です。頑張るジュニアアスリートを応援しま
す（学割あります）。揉みほぐしやストレッチではない可
動域の拡大や筋肉の柔らかさをスポーツアロマやファ
イテンで実現します。あなたの足こわれてますよ。"
"","按癒マッサージ治療院","その他","はり、きゅう、マッサージの施術","橋本8-9-2","042-779-9991",""
"","（有）イケヤ写真館","サービス業","写真撮影・美容・貸衣装","橋本2-9-15","042-772-0279","特製ボールペンプレゼント"
"","（株）井上商店","小売業","地酒　ワイン　食品など販売しています","橋本3-20-11","042-772-2545",""
"","イマージュアヴェダ橋本店","サービス業","美容室","橋本3-28-1ミウイ橋本1F","042-700-7554",""
"","牛久保ピアノ","小売業","音楽教室　ピアノ販売　楽譜販売　ピアノ調律","橋本7-3-23","042-700-3637",""
"","エバーグリーンカフェ","飲食業","地元野菜をメインに使った料理やケーキなどを提供す
るカフェです。","橋本3-28-1ミウィ橋本1F","042-700-7558","手作りのシフォンケーキやテイクアウトのお弁当なども
ございます。"
"","エムズネイル","サービス業","ネイルサロン","橋本3-18-11石野ビル1F","042-770-5889",""
"","エムスヘアーショップ","サービス業","一般美容業務、着付、エステのほか、シャンプーやト
リートメント、化粧品などの商品販売もしている美容室
です。","橋本3-14-2-2BBYビル1F","042-774-1365","ホットペッパーのネット予約にてクーポンサービスもご
ざいます。
初回ご来店のお客様にはサービスカードをプレゼント
中です。
アットホームで落ち着ける雰囲気です。ヘッドスパはお
客様から大好評です。"
"","オギノパンミウィ橋本店","小売業","パンの販売","橋本3丁目28-1","042-703-0319",""
"","カイロプラクティックオフィス 整体院 ノイエク
ラフト","サービス業","整体業","橋本6-24-1 プラウド橋本101","042-771-9731","初検料（１０００円）無料"
"","カット イン キャブ","サービス業","理容業","橋本3-4-12","042-750-1239",""
