"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"新磯野","パティスリーアルチザン","小売業","素材にこだわり、ひとつひとつのお菓子を心を込めて
作っています。モンブラン、シュークリーム等お客様か
らご好評の品は常時取り揃えております。","新磯野4-5-8","046-258-3916",""
"","ビューティサロン よしざわ","サービス業","弱酸性美容のベル・ジュバンスのクリニックサロンで
す。","新磯野3-28-5","046-254-8370",""
"","ファミリーマート相武台団地西店","小売業","コンビニエンスストア","新磯野1-21-2","046-298-2046",""
"","（株）藤芳屋","小売業","お酒、飲料水、お菓子を販売しております。配達業務
と兼用しており
お店は午後１時～午後６時まで営業しております。","新磯野3-28-8","046-253-9724","来年で５０周年を迎えることとなります。時代の移り変
わりの中でも
地域の皆様に気にかけて頂き来店して頂き大変感謝
しております。藤芳屋で元気のパワー交換をしましょ
う。"
"","双葉寿司","飲食業","寿司、日本料理","新磯野2-1-10","042-745-7168",""
"","ヘアークラブ オーク","サービス業","美容業","新磯野4-5-7-1","046-251-5886",""
"","楽々苑","飲食業","ホルモン焼肉の店です。","新磯野1-22-15","046-253-9765",""
"","ラッキースポーツ","小売業","野球用品（特にグローブ）の品揃えを中心に、チーム
スポーツのユニフォームやプリントTシャツの制作、記
念品の制作などを得意としております。どんな事でも
お気軽にご相談ください。","新磯野2-1-5アネックス新磯野ビル1F","042-747-7668",""
"磯部","あらいそ接骨院","その他","","磯部1928","046-254-3511",""
"","（有）魚伊佐","小売業","鮮魚食品一般販売業","磯部1330-2","046-251-0972",""
"","おそうじ本舗 相模原磯部店","サービス業","エアコンクリーニングや浴室、キッチンクリーニング等
のハウスクリーニング全般","磯部1471-7","0120-540-498","業界最新！ウルトラファインバブル搭載高圧洗浄機に
より、洗浄力・除菌力が大幅アップ。
ＬＩＮＥショップカード（当店限定）ご利用可能です。ポイ
ントゲットでお得なチケットも！"
"","（株）章栄石油 ハートランド新磯","小売業","ガソリンスタンド","磯部1929","046-251-1263","なし"
"","炭火焼き みの吉","飲食業","地元に愛される炭火焼き肉のお店です。","磯部1280-1","046-256-7704","地元のお客様中心のアットホームなお店です。 
お一人様でもお気軽にどうぞ！ 
各種ご宴会も承っております。"
"","セブンイレブン相模原磯部店","小売業","コンビニエンスストア","磯部1410-1","046-258-1077",""
"","たい焼き むーちゃん","小売業","たい焼き屋です","磯部1390ー2","080-7276-1390","おぐらあんなど定番5種類と期間限定や季節限定の商
品があります。
秋の季節限定は栗あんです。甘栗がゴロゴロ入ってい
ます。
是非、一度ご賞味ください。"
"","ははともあたたかい手","サービス業","黄土よもぎ蒸しとからだほぐしの自宅サロンです。","磯部1670-5","070-5570-4818","初回限定特別価格 
おすすめコース 
黄土よもぎ蒸し＋からだほぐし60分 
2000円引になります。"
"","有限会社 日野屋商店","小売業","酒類 飲料 食料品 小売","磯部960","042-713-3839",""
"","広のや","小売業","食品小売業","磯部1767","046-256-0311","ポイントカード￥1,000お買い上げで10ポイント。次回
に10ポイント＝10円として割引します。"
"","（有）藤屋商店","小売業","酒類、たばこ、飲料水、調味料、日用品等を販売して
います。
主に自販機、配達（磯部周辺）での販売になります。","磯部303ｰ1","046-251-0527","高齢者世帯には 1,000円以上のお買上げで配達しま
す（日時の指定はできません）"
"","ヤマグチオート（株）","小売業/サービス
業","新車、中古車販売、一般整備、修理、鈑金、塗装、車
検","磯部1409-1","046-251-4718","代車、御見積無料 
中古部品対応で格安修理が出来ます。"
"鵜野森","クリーニングサービスアスナロ","サービス業","一般クリーニング","鵜野森1-3-1","042-743-0654",""
"","ジャイアント 鵜野森店","小売業","釣具用品小売業","鵜野森2-2-18","042-765-0464","R16号鵜野森交差点にある当店は話題のロッド・リー
ルはもちろんルアーや小物まで激安プライスに挑戦中
です！経験豊富なスタッフが皆様の釣りのお手伝いを
致します。スタッフ一同皆様のご来店をお待ちしていま
す！"
"","セブンイレブン相模原鵜野森1丁目店","小売業","食品や日用雑貨を販売するコンビニエンスストアです","鵜野森1-24-10","042-748-2422",""
