"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"東林間","御菓子処 ふる田","小売業","和菓子の製造及び販売","東林間5-16-1","042-743-2458",""
"","（有）お茶のいとう園","小売業","茶、海苔、茶器小売業","東林間5-3-5","042-777-2247",""
"","開知進学会","サービス業","学習塾","東林間5-13-16武蔵屋第2ビル","042-765-6012","新規入会者：入会金無料・オンライン英会話チケット８
枚分プレゼント
英検・漢検・数検準会場：外部受検者受け入れ可
無料体験授業：随時受付中"
"","勝俣スポーツ","小売業","野球用品と体操着を販売してます。","東林間5-10-22","042-742-0066",""
"","カフェ＆バー薪ストーブ","飲食業","珈琲　紅茶　ビール等　ドリンク類
カレーライス　オムライス　スパゲッティ等　食事メ
ニュー
唐揚げ　ソーセージ　ローストビーフ等　おつまみメ
ニューを提供
薪ストーブのある落ち着いた雰囲気のカフェです。","東林間5-2-3東林間高橋ビル202","042-705-4831","LINE@に登録すれば、”季節のケーキプレゼント”の
クーポン券を毎月末　配信させて頂きます。
5回来店でもらえる　”ケーキセットプレゼント”　その
ショップカード台紙を配信させて頂きます。"
"","串酒場 いっぽ","飲食業","串物・アルコール・ご飯物を提供する居酒屋です。","東林間5-1-11","042-701-8312",""
"","靴のマギー","小売業","靴販売","東林間5-1‐3","042-747-0077","ポイント加点（東林間（振）りんりんカードポイント"
"","（有）元気堂 東林間 本店","小売業/その他","漢方薬販売・ＯＴＣ販売","東林間3-7-8-1","042-743-8820","相談無料・39（サンキュー）と声かけで、ちょっとした
サービスも（クラフトコーラ・酸梅丹ドリンク・胃腸薬な
ど）"
"","佐々木動物病院","その他","動物病院　ペットホテル","東林間5-18-11","042-749-9881",""
"","雑貨ギフト・ピナアタ","小売業","ワークもできる雑貨店ピナアタです。インテリア小物を
中心とした、ちょっぴりお花柄多めの店内です。","東林間4-9-3山ビルA","070-5466-5815","期間中、お会計の際くじに当たると、その場でお買い
物が10％引きに!"
"","佐藤畳店","小売業/サービス
業/その他","熊本県生産者直送の畳「生産者⇒施工者⇒お客様」
顔が見える畳として質の良い安全な畳を提供！フロア
畳、寝ござ、網戸張替え、畳材使用したバッグ等手作
り雑貨販売。相模原市認定品「ござぶとん??」も販売
中！","東林間1-6-3","042-743-5730","畳施工依頼お客様特典:「クッションシート」「無薬ダニ
防侵入シート」「ホウ酸塩防湿ダニシート」から選択、
畳数分サービス。畳雑貨・畳縁切り売のお客様特典:
税別合計から10%割引(2,500円以上願い)"
"","写真の店 山","小売業","証明写真・カラーDPE","東林間4-9-3","042-742-3016",""
"","食彩割烹 紬","飲食業","","東林間5-12-5","042-702-9338","各種名酒取り扱い
十四代　而今　花陽浴　等
　　　　　月曜　定休日
　　　　　昼11:30~13:30
　　　　　夜17:00~22:00"
"","スマイル","サービス業","カット専門の美容室になります。
コロナ対策のため完全予約制とさせて頂いておりま
す。","東林間5-16-20","042-740-8180","インスタ、アメブロにご予約状況をアップしております
のでご確認の上ご予約下さい。"
"","スワン美容室","サービス業","美容一般","東林間5-4-11","042-742-1495",""
"","青果さとちゃん","小売業","青果・果物・食品販売卸売","東林間5-15-3","042-742-8326","１０００円以上お買い上げお客様 
東林間商店街りんりんカードポイント3倍！ 
サービス致します‼"
"","整養功接骨院","その他","","東林間5－13－2　ハイツホルン東林間101","042-719-5336",""
"","セビア","飲食業","地域密着！お昼は日替わりランチ他、いろいろメ
ニューあり！夜は気軽に居酒屋感覚で楽しめるスナッ
ク！カラオケ、おつまみ、お食事用意してお待ちしてお
ります！","東林間5-9-8","042-765-5665","りんりんカード加盟店"
"","セブンイレブン相模原東林間1丁目店","小売業","コンビニエンス　ストア","東林間1-26-9","042-744-7703","TV CM にて毎週告知"
"","セブンイレブン相模原東林間3丁目店","小売業","コンビニエンス　ストア","東林間3-15-17","042-740-3201","T VCMにて告知"
"","セブンイレブン相模原東林間5丁目店","小売業","コンビニエンスストアです","東林間5-11-5","042-745-7277","特にございません。"
"","そば処 あみや","飲食業","日本 そば・うどんを提供しています。","東林間4-42-8","042-742-5658","11時～14時の間にお食事をされた方に50円券配布
（※500円以上）"
