"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"久保沢","（株）生涯スポーツ応援団","小売業","FIELD GEARオリジナルブランド企画 製造 販売、グ
ラウンドゴルフ用品、ゲートボール用品、パークゴルフ
用品、マレットゴルフ用品、ノルディック・ウォーキン
グ、レクリエーショ用品 販売店です","久保沢1-1-12","042-851-2890",""
"","末広精肉店","小売業","精肉、手づくり惣菜販売","久保沢1-1-48","042-782-2174",""
"","（有）杉本商店","小売業","ガソリンスタンド、LPガス、灯油配達、ガスコンロ・ガス
給湯器・石油機器などの器具販売をしています","久保沢2-3-14","042-782-2221","①キャンペーン期間中、ガソリン20㍑以上給油のお客
様に洗車割引券を配布。 
②ガス・石油機器を３万円以上お買い上げで商品券プ
レゼント。"
"","セキネクリーニング総合事務所通り店","サービス業","","久保沢1-1-41","042-782-8538","城山スタンプ、ペイペイが使えます"
"","関根クリーニング店","サービス業","しみ抜きや仕上げのみのアイロン掛け、また集配サー
ビスも展開中","久保沢1-1-15","042-782-2600","城山スタンプ、ペイペイが使えます"
"","浜陣ケータリングサービス","飲食業/サービス
業","料理やお弁当のケータリング（お届け）販売","久保沢3-9-18","042-783-8080","次回利用の5％割引クーポン配布"
"","街のケーキ屋さんMeme","小売業","街のケーキ屋さんです","久保沢1-5-1小木ビル102","042-719-1769",""
"佐野川","（株）四津屋商店","小売業","LPガス、灯油、食料品、酒、雑貨小売業 
住宅設備機器、住宅リフォーム工事業","佐野川2418-1","042-687-3382","LPガス機器特価、無料見積り致します。"
"澤井","おだいどこ さくら","小売業","飲食店","澤井199","042-687-5221",""
"","鈴木商店","小売業","酒類・その他雑貨販売","澤井1040","042-687-2636",""
"下九沢","Bakerycafe15Mチビクロ","飲食業","カフェ","下九沢1736-3","042-764-4090",""
"","eyelashsalon etoile","サービス業","まつげエクステ、まつげパーマの専門店です。","下九沢2028-23","042-774-4733",""
"","hair.aKubi","サービス業","カット、カラー、パーマなど全般の美容室","下九沢1998-16","090-9140-4938","ドリンクサービス"
"","Links Hair","サービス業","下九沢にある完全個室の理美容室です。脱毛やネイ
ルも出来るヘアサロンです。","下九沢540-37","042-785-2538",""
"","アンファンネージュ","小売業/飲食業","洋菓子製造販売","下九沢1744-20","042-763-7345",""
"","出光 下九沢SS","小売業","ガソリンスタンド（フルサービスのガソリンスタンドです） 下九沢1283","","042-761-6157","初来店の方には次回使えるℓ3円引きチケット入りポ
ケットティッシュ差し上げます"
"","髪ing727","サービス業","一般理美容","下九沢2510","042-761-4774","次回使用できる割引券の配布。
相原二本松商店街で使用できるスタンプシート配布。"
"","（有）久保田写真館","サービス業","写真業
★スタジオ写真
★証明写真
★舞台写真","下九沢1926-11","042-762-0406","★新規会員申込書（必要書類ご記入の方）は、撮影料
　千円引きといたします。
★2回目以降撮影料半額"
"","（株）クライムカンパニー","その他","相模原市緑区にあるリフォーム会社です。キッチン・浴
室・トイレなど水廻り全般を特に得意としています。","下九沢1647-2","042-703-3770","キャンペーン中、10万円(税別)以上の工事ご成約の
方、パネル貼り工事(900ミリX2400ミリ)　1面　色；白　
無料　洗面台横にお勧めです"
"","酒井ピアノ教室","その他","ピアノ個人指導","下九沢267-20","090-9846-4424 体験レッスン　無料",""
"","相模・下九沢温泉 湯楽の里","小売業/サービス
業","温浴施設（スーパー銭湯）","下九沢2385-1","042-764-2626","古き良き木造づくりのレトロな銭湯をイメージしたスー
パー銭湯型温浴施設。清潔・安心・安全をモットーに
癒しのゆったり空間を、気軽に楽しめる価格でご提供
いたします。"
"","酒処　木ノ葉(KONOHA)","飲食業","ルーツがカンボジアにある店主によるエスニック料理
推しの居酒屋。 
ディナー帯は熊本直送馬刺しや鹿児島直送のソー
セージもご案内。 
エスニック料理に関しては、地元のパンや野菜を使
用。移動販売もしてい","下九沢1480-8","042-703-9626","来店時、ウェルカムドリンク　 
生ビール、サワー、焼酎、ハイボールALL¥半額"
"","スーパー公正屋 下九沢店","小売業","生鮮食品・一般食品の販売を中心とするスーパー
マーケット","下九沢2121-1","042-703-0321",""
"","すずきファクトリー","サービス業/その
他","カイロプラクティック 
頸椎、肩甲骨、骨盤矯正 
学研教室","下九沢1902-1","042-764-7640","初回料2000円無料 
回数券初回購入4000円引き"
