"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"東林間","ダスキン不二美","小売業/サービス
業","ひとと環境にやさしいおそうじ用品のレンタル、販売を
行っています。1か月抗菌がつづくモップの貸出しな
ど、くらしの衛生対策商品にも力を入れています。","東林間3-7-9","042-743-0166","一部商品、無料でおためしできます"
"","ダスキン不二美メリーメイド","サービス業","キッチンや浴室、レンジフード、エアコンなど、プロのハ
ウスクリーニングを提供します。汚れが落ちやすい秋
のうちにピカピカにしませんか。また、時間制による家
事代行、おかたづけも承ります。","東林間3-7-12","042-749-8929","お見積りは無料です。お気軽にお問合せください。"
"","ちょきっず","サービス業","子ども専門美容室","東林間4-9-3山ビルB","042-814-2913","完全予約制
ご予約はちょきっずで検索"
"","（株）電化センターさがみ","小売業","◆電気工事◆家電販売・修理・設置工事 
◆蛍光灯、電球交換◆防音工事（厚木基地騒音対
策） 
◆エアコン・照明・アンテナ・換気扇・ドアホン 
◆給湯器・トイレ・蛇口の水漏れ◆小さなリフォーム・
大きなリフォーム","東林間7-12-7","042-745-3045",""
"","（株）日電社 東林間店","小売業","家電品の販売","東林間3-8-10","042-742-7697",""
"","パン・プティ","小売業","パン製造・販売","東林間5-15-14","042-748-2226",""
"","東林間どうぶつ病院","その他","動物病院 
トリミング 
フード販売","東林間2-6-3","042-746-9009",""
"","美容室マイスター","サービス業","マイスターは東林間にある、毛髪と身体に優しい自然
派美容室です。","東林間5-2-2田邉ビル101","042-748-8984","マイスターでは髪や体に優しいヘナ染めや、十仁セッ
ティングを中心とした施術を行っています。
アジュバンも取り扱いしています。"
"","フラワーショップ十一屋","小売業","生花小売、園芸用品、花キューピット","東林間5-15-2","042-743-3088","東林間商店街振興組合のりんりんカードが毎週（土）3
倍サービス"
"","フラワーふじ","小売業","生花店","東林間4-10-10","042-745-9106",""
"","ヘアーサロンスズラン","サービス業","理、美容室","東林間5-14-4","042-742-4195","ポイント還元してます"
"","ヘアーメイクしゃるむ","サービス業","","東林間5-11-7","042-746-0039",""
"","ベーカリーキッチンボナペティ東林間店","飲食業","パン、サンドイッチ、焼き菓子を販売してます","東林間3-19-7エクレール東林間2番館1F","042-741-0338","1000円以上お買い上げのお客様に次回使用できる
100円金券プレゼント"
"","ホグ・レール","サービス業","マッサージ店","東林間5-18-10井上ビル1F","042-715-8636",""
"","美容室Clover","サービス業","美容室","東林間4-8-2-101","042-765-0608",""
"","美容室 かみ・ゆ","サービス業","美容一般","東林間4-1-9","042-748-1318","いつものヘアースタイルからアップ着付けまでお申し
付けください。"
"","メガネクラブ","小売業","メガネ、コンタクトレンズ、補聴器の販売","東林間5-2-3","042-746-8366","メガネフレーム　３０％　off"
"","メディカルハート東林間店","小売業","医薬品、健康食品を販売しています。","東林間5-2-7 U-チャリス東林間1F","042-744-2557",""
"","焼肉 武蔵","サービス業","焼肉店","東林間6-18-1","042-743-5670",""
"","ヨシダ整骨院","その他","日常生活で起きたケガ・慢性的な体の不調や痛み・交
通事故・労災などに対する施術を対応している整骨院
です。
コルセット・サポーターなどの販売もしています。","東林間3-6-8アヴェニール東林間101","042-705-6621","お身体の痛みや不調などお気軽にご相談ください。
国家資格を持った確かな施術で、みなさまを全力でサ
ポートいたします。
各種保険・交通事故・労災対応"
"","ラウトデザイン","小売業/その他","売 ■
■塊根植物・観葉植物・スワッグ・アメリカン雑貨の販
外構工事のデザイン・設計・施工
■ガレージ施工
■ヤシの木販売","東林間5-9-8 1F店舗","042-702-9280","スワッグ・ユニークな植物・アメリカン雑貨を取り扱って
おります。
予約制で、お庭づくりなど外構のご提案をいたします。"
"","ラ パッキア","飲食業","南イタリア料理店","東林間5-4-9 1F","042-765-5511",""
"双葉","（株）翔工務店","その他","建築業","双葉1-12-24","042-860-6751",""
"","整体院 相ケア～aicare～","サービス業","腰痛専門の整体院です。","双葉2-15-3-1F","042-705-3201","「サンキューキャッシュバックキャンペーンを見た」で初
回施術料金を980円でご提供！"
"","セブンイレブン相模原双葉店","小売業","軽食や日用品の販売を行っていた。","双葉2-4-10","042-749-5565",""
"","パナハートカンノ","小売業","家電販売、修理","双葉2-16-7","042-748-4004",""
