"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"矢部","リラク ビューティー スータ (SUIT)","サービス業","美容室","矢部3-18-4 2F","042-707-8661",""
"","ワミレスサロン矢部ルミエール","サービス業","フェイシャルエステサロンです。
メイクアップなども行っています。
化粧品、メイク用品も販売しています。","矢部3-5-5グレイスレジデンス小林203","042-712-1107","初めての方限定、お試し価格2200円で施術を体験で
きます。
※次回使えるスペシャルパックチケット付き"
"陽光台","AKランドリースギ薬局陽光台店","サービス業","クリーニング","陽光台2-1-3","042-758-6332","30円券1枚プレゼント"
"","AKランドリー光が丘大通り店","サービス業","迅速、丁寧なクリーニング店です。 
集配も大好評です。お気軽にお電話ください♪","陽光台4-7-6","042-754-4165","お得な曜日別セールを開催中です。 
詳しくは店頭ポスターをご覧下さい。"
"","Bar 507","飲食業","住宅街にある小さなバーです。ウィスキーにカクテル、
またお酒に合うフードもございます。お客様にピッタリ
なお酒を探してみませんか？","陽光台5-5-8","042-815-0507","39キャンペーンご利用のお客様にはファーストドリンク
をサービスいたします。"
"","ECCジュニア陽光台教室","その他","教育","陽光台6-6-4","042-751-2827",""
"","piccina ピッチーナ","小売業","子供服、バレエ用品販売","陽光台4-7-5-2","042-707-4312","セール品￥500円からあります♪"
"","居酒屋 山鹿喜","飲食業","鮮魚のお刺身や焼き鳥をメインに、各種地酒、乙類焼
酎、ウィスキーなど多数取り揃えております。","陽光台2-15-9","042-769-5334",""
"","一友ビルドテック（株）","その他","塗装・防水工事業","陽光台2-3-11","042-754-9553","見積無料、HPにて季節ごとにキャンペーン実施してい
ます"
"","羽前屋","飲食業","やきとり、一品料理、アルコール類各種","陽光台4-36-16","042-756-1772",""
"","（有）香川タイヤ商会 ミスタータイヤマンカガ
ワ","小売業","自動車用タイヤ販売・修理","陽光台1-3-9","042-752-3859","先着御購入10組様　クオカード(500円)　１枚贈呈"
"","クラージュAQURA","サービス業","カット、パーマ、ヘアカラー、着付
様々なご要望に親切に対応致します。","陽光台5-3-18","042-769-5350","前日予約で10% OFF"
"","健美ハウスオノドウ","小売業","医薬品（漢方）化粧品販売　エステ","陽光台4-8-17","042-753-6391",""
"","サガミ堂","小売業","おもちゃとホビーの専門店","陽光台3-6-7","042-754-8317",""
"","しぶや動物病院","その他","動物病院","陽光台2-2-1","042-704-0227",""
"","セブンイレブン相模原陽光台2丁目店","小売業","接客をメインでやっています","陽光台2-1-10","042-753-5071",""
"","（株）第一オート","小売業/サービス
業","自動車販売","陽光台2－1－12","042-755-8484",""
"","高木秀剛税理士事務所","サービス業","税理士事務所","陽光台2-1-26","042-758-3615","初回のご相談無料"
"","チャリティショップ楽来 陽光台店","小売業","近隣の方からいただいた寄付品を販売しているチャリ
ティショップです。","陽光台7-10-7","042-711-8919","陽光台店は特に衣料品の品揃えが豊富で、欲しい衣
服が探しやすいレイアウトになっています。不定期で
行われるセールは地域のお客様にご好評いただいて
います。"
"","八剣伝 相模原星が丘店","飲食業","炭火焼と創作料理","陽光台2-3-2 ソレアード陽光台1階","042-730-3181",""
"","（株）ビムス","その他","建築リフォーム","陽光台1-2-24","042-730-3200","オリジナルエコバッグをプレゼント"
"","（有）ファミリーストアー オカベ","小売業","青果、食料品、飲料品、お酒、日用雑貨を販売してい
ます。","陽光台2－21－15","042-753-2818",""
"","ファミリーマート相模原陽光台五丁目店","小売業","コンビニストア","陽光台5-4-7","042-730-5020",""
"","星ヶ丘メガネ","小売業","眼鏡・コンタクトレンズ販売","陽光台1-3-5","042-776-7233",""
"","（株）ミギタ室内工業","その他","相模原で創業昭和４４年の、畳から総合インテリアの
住宅リフォーム工事店です。自社スタッフによる施工で
安心安全にお部屋をキレイにします。","陽光台2-12-18","042-753-2808","見積りは無料です。お気軽にお問合せください。"
"","名代 宇奈とと 相模原店","飲食業","早い・安井・旨い、炭焼きのふっくら鰻","陽光台2-3-2 ソレアード陽光台1階","042-730-3181",""
"","やきとり香","飲食業","やきとりのテイクアウト","陽光台4-7-5-3","042-812-6082",""
"","矢島建設株式会社","その他","新築工事、リフォーム工事、外壁塗装、外構工事、他","陽光台2-3-9","042-784-0239","期間中に工事の依頼をされ方には、ドローンによる 屋
根、外壁の点検を無料で行います。"
"","陽光台グランベッツ動物病院","その他","動物病院","陽光台3-5-4","042-851-3751",""
"","ラーメン創作麺処 めん坊","飲食業","一品料理など、メニュー豊富な
ラーメン屋ですっっっ。","陽光台5-19-17","042-758-5866","2020さかみはらぁ麺グランプリで
グランプリを頂きました。
一品料理などメニュー豊富な
ラーメン屋ですっっっ。"
