"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"富士見","（株）相模レンタカー","小売業/サービス
業","レンタカー　中古車販売＆買取 廃車買取をしておりま
す","富士見2-1-41-1F","042-855-6688","中古車を利用した　格安レンタカーを提供しております
軽乗用車　６時間2.200円～　貨物車も軽ﾄﾗ～2ｔﾄﾗｯｸ
迄ご用意
次回ご利用時に１回に限り、どの車種でも５００円引き
でご利用いただけます"
"","セブンイレブン相模原富士見6丁目店","小売業","","富士見6-14-19","042-753-0774",""
"","そば会席　大善","飲食業","そば　うどん　会席料理","富士見6-15-8","042-752-4019",""
"","ダイヤ・ドライセンターヨークマート富士見店","サービス業","クリーニング店です。衣類のお直しも承っております。 富士見5-3-1","","042-750-3570",""
"","中央アカデミー","サービス業","小学生から高校生を対象とする学習塾 
学校テストや通知表の向上、受験合格を目標としてい
ます。","富士見5-1-18 ルヴォワール富士見1階店舗","042-866-5588",""
"","永田屋　富士見斎場","サービス業","創業109年！老舗の専門葬儀社です。","富士見3-1-1","012-017-7166","相模原市を中心に会員数9万人！ 
あんしん倶楽部新規入会受付中！ 
ご相談だけでもお気軽にお声掛けください！"
"","（有）長谷川板金工業所","その他","建築一式","富士見4-5-21","042-752-1659",""
"","藤寿司","飲食業","寿司店","富士見6-12-15","042-758-1120","ランチ1食につきスタンプ1個　スタンプ20個で上にぎり
（ちらし）を無料で！！"
"","ブックオフプラス16号相模原富士見店","小売業","本・ゲーム・ホビー・洋服・靴・バック・ハイブランド・雑
貨・CD・DVDなどのリユースショップ","富士見3-15-1","042-730-2370","ブックオフアプリをダウンロードして登録すると値引き
クーポンやお得情報が届きます。 
毎月1日と15日に「100円引きクーポン」・29日には
「500円買うと300円引き」のクーポンが届きます！"
"","有限会社 ベアーズ·ホーム","その他","総合リフォーム工事業務、内外装リフォーム工事業
務、建物や設備修繕工事業務","富士見6-15-1","042-758-7375","39キャンペーンのお客様で30000円以上のお買い上
げのお客様に生活応援キャンペーンとして10％off!"
"","（有）丸藤プロパン","小売業/サービス
業/その他","プロパンガスだけでなく、都市ガスの工事も承ります。
キッチン、お風呂、トイレなど、水廻りのトラブルもおま
かせください。","富士見3-12-21","042-752-2359","お見積り無料"
"","（株）美都住販","その他","建設会社、リフォーム事業など","富士見3-15-7","042-759-0310",""
"","麺工房 笑門(わらかど)","飲食業","自家製讃岐うどんの製麺、提供をしています。","富士見6-13-19カーサビアンカクワトロ1F 102","042-707-9904",""
"","よろずや大福","サービス業","便利屋さんとして　遺品整理　不用品回収　草刈り　高
齢者生活支援　家具運搬　蜂の巣駆除　夏場の虫駆
除など様々なお困りごとに可能な限り対応しておりま
す☆","富士見3-1-16-102","0120-923-969","キャンペーン期間にご利用くださった方　次回ご利用
時１０％割引サービスさせていただきます☆"
"","レストランあい","飲食業","健康に配慮したヘルシーレストラン","富士見6-1-1総合保健医療センター2F","042-758-0163","健康増進を理解する場、健康食を提供します。"
"","ローソン・スリーエフ相模原富士見町店","小売業","本屋併設のコンビニエンスストア","富士見4-8-1","042-733-6601","相模原市お土産グランプリ受賞した 
SC相模原せんべいを販売しております。その他相模
原商品取扱っております。"
"淵野辺","Beautysalon chouchou","サービス業","美容業","淵野辺4-28-6","042-866-6020",""
"","cafeLied(かふぇりーと)","飲食業","神奈川県産平飼いたまごさがみっこ、無農薬米粉を
使った、米粉シフォンケーキを販売しています。メルマ
ガ登録をするとドリンク無料です。","淵野辺4-1-20","042-759-1887","メルマガ登録をするとドリンク無料です。"
"","cafeレストラン Kazumin","飲食業","食事　ケーキ　coffeeを提供するカフェです","淵野辺1-2-35","042-753-7692","予約時にデザートサービス"
"","Drifters","小売業","アメカジの古着屋です","淵野辺4-37-25志村ビル3F","042-711-7040","次回ご来店時に利用できる割引きクーポンを配布"
"","ＥＣＣジュニア淵野辺３丁目教室","その他","英会話教室","淵野辺３－４－１クリオ淵野辺６番館１１０９号室","042-855-3985",""
"","ECCジュニア淵野辺小学校前教室","サービス業","幼児から大人までを対象に、英会話を学ぶレッスンを
提供しています。「世界標準の英語力を身につける」こ
とを目標に、しっかりとしたカリキュラムに沿って指導し
ています。","淵野辺3－21－16－1F","042-814-1114","教室近隣に貼られているポスターをご覧になったとお
伝え頂ければ、いつでも入学金が50％引きになりま
す。"
"","ecke","飲食業","淵野辺に2022年4月30日にオープンした小さなスペ
シャルティコーヒースタンドです。コーヒー豆の販売も
行っています。","淵野辺3-16-18 石田ビル1-A","050-5235-6359","「サンキューキャンペーンのウェブサイトを見た」とお申
し出の方は、コーヒー豆200g以上購入で100円引き。"
"","Gigi nail&eye","サービス業","ネイル、マクエクサロン","淵野辺4-28-14淵野辺第九ビル107","090-3866-7756","初回他店オフ無料！ 
淵野辺駅から徒歩10分のプライベートサロンです"
"","HIGURASHI","サービス業","美容室","淵野辺3-10-18東急ドエルアルス淵野辺三丁目1F","042-707-9870",""
