"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"相模原","はり灸マッサージ院 with EARTH","サービス業/その
他","・鍼灸・マッサージの施術
・お灸などのセルフケア用品の販売
・サプリメントの販売","相模原3-5-8-1F","042-754-8955",""
"","春木屋西門店","小売業","お茶、のり","相模原6-24-11","042-752-0559",""
"","はんこの美晶堂 相模原店","小売業","ゴム印・実印・銀行印・会社印・名刺印刷・シャチハタ
等","相模原8-1-6","042-757-3223",""
"","ヒーリングサロン・ズー","サービス業","リラクゼーションマッサージ","相模原5-11-5　大貫ビル1階","042-712-1506",""
"","氷川屋鮮魚店","小売業","鮮魚小売業(刺身主)","相模原1-10-17","042-752-1472",""
"","ファミリーマート相模原四丁目店","小売業","コンビニエンスストアー","相模原4-5-19","042-704-6560",""
"","ファミリーマート相模原駅前店","小売業","コンビニエンスストア","相模原3-2-3","042-786-0238",""
"","ファミリーマートさがみ夢大通り店","小売業","コンビニエンスストア","相模原7-1-25","042-786-6124",""
"","フェイシャルサロン アンジュ","サービス業","美と癒しが叶うフェイシャルサロン","相模原7-5-2","090-1102-0936","ご新規様20%オフ"
"","プライベートサロン vinaka","サービス業","お腹の不調の改善をサポートする 
 腸もみ専門サロンです","相模原6-15-15 コンフォール相模原201","090-4941-5078 初回体験１０%オフ",""
"","プリンセスラッシュ","サービス業","まつ毛エクステンションサロン","相模原5-6-5 1F","042-760-0351",""
"","ヘアメイク プラスワン","サービス業","お客様の髪の健康を守る、ヘアケアが得意な美容室
です","相模原2-8-9","042-756-1904","2回目300円引、3回目500円引、4回目1000円引の割
引券をプレゼント致します。"
"","ヘアリゾートクランプ 相模原店","サービス業","理美容業","相模原4-11-9-1F","042-707-0005.",""
"","ほぐし太郎","サービス業","リラクゼーションもみほぐし","相模原6-18-8ロベリア七番館102","042-768-7384","ご新規様500円引き"
"","（有）まもるや","小売業","青果店
野菜、果物、漬物等販売","相模原6-18-9","042-752-2953",""
"","丸將青果","小売業","八百屋","相模原6-24-6","042-758-5205",""
"","みちた整骨院","サービス業/その
他","お身体のお悩みなら,みちた整骨院へ,まずはご相談く
ださい。","相模原5-9-1安平ビル102","042-704-8557",""
"","麺とギョウザのさかくら","小売業/飲食業","麺類ギョウザ小売飲食業","相模原6-23-1","042-755-1424","麺類１品サービス（ゆでうどん、生ラーメン、焼きそば
麺）"
"","八百恒商店","小売業","野菜販売","相模原2-11-16","042-752-4358",""
"","矢部酒場(相模原店)","飲食業","居酒屋","相模原3-8-5","042-751-7820","ネット予約限定：
・記念日や誕生日にメッセージ付きプレートプレゼント
・乾杯スパークリングワインボトルプレゼント"
"","吉野家相模原駅前店","飲食業","ご存知、牛丼の吉野家
＊テイクアウトにも対応しています","相模原3-1-13","042-786-1294",""
"","リフォームショップ ロッキー 西門店","その他","住宅リフォーム","相模原6-25-4グランメールオオクラ1-B","042-768-7076",""
"下九沢","Me:llow -hair lounge-","サービス業","理容室。","下九沢995-8メロウヘアラウンジ","042-773-4671",""
"","エンアトリエ美容室","サービス業","全年齢対象、地域密着、美容室です！","下九沢57-1ヤオコー相模原店B棟","042-700-3366",""
"","カービューティーパーク相模原本店","サービス業","洗車・ボディコーティング・カーフィルム、車検・整備、
鈑金・塗装などカーアフターメンテナンスショップです。
新車・中古車販売や各種保険手続き、名義変更・廃車
手続き等も承っております。","下九沢1086","042-703-0240","毎月、ホームページで、お買い得情報を配信！
ぜひ、「カービューティーパーク」を検索、ご覧ください。
お問い合わせは、フリーダイアルのこちらまで。
0800-800-4777"
"","セブンイレブン相模原宮之上店","小売業","","下九沢59-1","042-703-5507",""
"","パラフューズチエ","サービス業","痛みなく1度で効果抜群、小顔エステサロンです。小顔
だけでなく頭痛や肩凝り、眼精疲労、睡眠障害にも効
果ありの大人気ホームエステサロンです","下九沢1183-62","070-8480-0717 次回以降のご来店時に使えるサービス券の配布",""
"","和菓子店たい焼き屋 ささ","飲食業","季節の和菓子を1つ1つ手作り、販売しています","下九沢963-2","042-703-4151","こだわりの手作り和菓子がおいしいです"
"水郷田名","Ryoji指圧灸鍼院","その他","指圧、あん摩、鍼灸施術の東洋医学による痛みの緩
和","水郷田名3-21-8","070-3517-4855","ナチュラルミネラルウオーターペットボトル施術時サー
ビス"
"","（有）愛晃電機商会","小売業","テレビ、エアコン、冷蔵庫、洗濯機など家電製品の販
売とそれに伴う住宅向けの電気工事(コンセント交換、
照明交換など)を行っています。","水郷田名2-19-8","042-762-0433","LED照明キャンペーン中！節電が叫ばれる世の中、
身近なところから取り組んでみませんか？公式HPより
メールやLINEでお気軽にお問い合わせください♪"
