"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"太井","矢口釣具店","小売業","津久井湖畔でバス、ワカサギ、鮎、渓流を専門とした
釣具店を営んでおります。","太井610－7","042-784-0251",""
"","やまもと鶏卵","小売業","鶏卵販売","太井94-1","042-780-0541",""
"","リラピアノ音楽教室","サービス業","ピアノ演奏技術の指導","太井238-7","042-813-7222","無料体験レッスン30分間実施"
"大島","Cafe＆Barピエロ","飲食業","出汁茶漬けと甘味と酒の店","大島11","042-767-5404","お昼は出汁茶漬けと和スイーツ 
 夜は日本酒や和風創作料理が楽しめるお店です"
"","ECC大島教室","サービス業","英語学習指導","大島774-1","042-733-9739","4,5歳の幼児募集中
無料体験レッスン実施します。"
"","井上醬油（株）","小売業","調味料製造販売","大島1048","042-761-9101",""
"","大島フラワーテニスガーデン","サービス業","テニススクール、会員制テニスクラブ、貸コート、テニ
スイベント、テニス及び各種スポーツ用品販売をして
います。","大島644-5","042-761-8569","テニススクールの体験料及び入会金無料（新規の方
に限ります）"
"","（株）オートショップあ・ら・もーど","小売業","オートバイ販売・修理","大島2692","042-761-9595",""
"","相模原市農業協同組合 大沢支店","小売業","","大島1785","042-761-3441",""
"","（株）佐藤工務店","その他","大工工事　エクステリア工事　住宅設備販売　不動産","大島1745-5","042-761-7799","新築工事、増改築工事、各種リフォーム工事、エクス
テリア工事等承ります。
お気軽にお問い合わせください。"
"","セブンイレブン相模原大島団地店","小売業","","大島165-1","042-760-8079",""
"","セブンイレブン相模原大島店","小売業","コンビニエンスストア","大島3052‐1","042-761-2012",""
"","セブンイレブン相模原大島南店","小売業","コンビニ","大島2307-1","042-760-1030",""
"","セブンイレブン相模原上大島店","小売業","コンビニエンスストア","大島361‐１","042-763-2880",""
"","デイリーヤマザキ大島団地店","小売業","コンビニエンスストア","大島11-109","042-761-9021",""
"","ときわや酒店","小売業","酒類（日本酒・本格焼酎）・駄菓子販売","大島2762","042-761-9401","ポイントカードのポイント2倍"
"","美容室サトウ","サービス業","","大島1798-3","042-760-2851",""
"","（有）ヒラモト","小売業","LPガス、ガス器具販売","大島1292","042-761-9301",""
"","ヘアースタジオ ミカミ","サービス業","理容室","大島2764-1","042-761-9812","予約制です"
"大山町","ACADEMIAくまざわ書店橋本店","小売業","","大山町1-22アリオ橋本1F","042-700-7020",""
"","auショップアリオ橋本","小売業","au/UQの携帯電話の販売や料金プラン相談、故障相
談などアフターフォローまで行っております。インター
ネット（auひかり）のお申し込みも頂けます。","大山町1－22アリオ橋本2階","042-700-0750","アリオ橋本の2階にございます。 
au/UQの携帯電話の販売や料金プラン相談、故障相
談などアフターフォローまで行っております。インター
ネット（auひかり）のお申し込みも頂けます。"
"","axes femmeアリオ橋本","小売業","婦人服の販売","大山町1-22アリオ橋本2F","042-703-0801",""
"","CHELSEA New York","小売業","流行りのアイテムを取り揃えている雑貨屋です。","大山町1-22アリオ橋本1F","042-703-5138",""
"","UQスポットアリオ橋本","小売業","au/UQの携帯電話の販売や料金プラン相談、故障相
談などアフターフォローまで行っております。インター
ネット（auひかり）のお申し込みも頂けます。","大山町1－22アリオ橋本2階","042-775-6531","UQだけでなくauの携帯電話の販売や料金プラン相
談、故障相談などどもおこなっております。料金をお安
くされたい方は一度店頭までご相談ください。"
"","真田石油販売（株）","小売業","ガソリンスタンド","大山町11-4","042-772-6424",""
"","サンクゼール・久世福商店アリオ橋本店","小売業","日本全国の美味しいものを集めたセレクトショップで
す。","大山町1-22","042-773-0765","人気のしゃけしゃけめんたいを是非一度お試し下さ
い。"
"","セブンイレブンアリオ橋本店","小売業","コンビニエンスストア","大山町1-22","042-770-7811",""
"","ダイワサイクルSTYLE　アリオ橋本店","小売業","自転車の販売・修理","大山町1-22","042-700-1238",""
"","ノジマ アリオ橋本店","小売業","家電量販店","大山町1-22アリオ橋本2F","042-775-8531","家電やスマホ選びなどから修理まで、メーカー販売員
のいない唯一の家電専門店です。お客様のライフスタ
イルやお困りごとから最適な製品やサービスをおすす
めします。"
"","ミスタードーナツアリオ橋本ショップ","飲食業","","大山町1-22","042-770-2070",""
"小倉","Hillock","その他","カルチャー教室、木材、材料、小物などの販売をして
います。","小倉358-12","090-4717-6471 期間中割引券配布中",""
"","セブンイレブン相模原城山小倉前店","小売業","コンビニエンスストア","小倉409-4","042-782-2044",""
