"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"西橋本","相陽建設（株）","その他","建設会社として住宅のリフォーム・リノベーションを請
け負っております。","西橋本5-3-11","042-772-0021","浴室リフォーム工事のお客様にはミラブルのシャワー
ヘッドを無料サービス！！"
"","ダイヤ・ドライセンタービッグ西橋本店","サービス業","クリーニング店です。衣類のお直しも承っております。 西橋本1-14-25","","042-774-5951",""
"","ぱそ子とぱそ太のパソコン教室","サービス業","パソコン教室","西橋本3-13-17","090-4947-4403 入会月の受講料を無料にします。",""
"","鈑金のモドーリー 相模原橋本店","サービス業","自動車の鈑金、修理、コーティングを中心に行ってい
ます。","西橋本1-10-18","042-771-1100","キズ・ヘコミを徹底的に磨いて綺麗にします！！
KeePerコーティングを鈑金の職人が行っていま
す！！
皆様のお車をピカピカにお仕上げいたします！！"
"","美容室アネックス","サービス業","美容室の経営","西橋本５-１-１　ラ・フロール3F","042-775-3938","髪に対するお悩みは十人十色で、実に様々なお悩み
をお持ちの方がいらっしゃるかと思います。アネックス
では、そのような数多く存在する髪のお悩みを改善す
るための技術や商品をご提供させていただいておりま
す。"
"","美容室ぴんかーべる","サービス業","髪を痛めない髪をキレイにするクリニックのパーマ
髪と地肌に優しい15種類からなるハーブで作ったハー
ブマジックカラー
髪をキレイにする美容室です","西橋本2-19-3","042-773-7004",""
"","美容室ユニティ橋本店","サービス業","パーマ・カラーリング・カット・トリートメントなどをする美
容室です。","西橋本5-1-1","042-770-1345",""
"","ファミリーマート西橋本二丁目店","小売業","コンビニエンスストア","西橋本2-27-1","042-700-6231",""
"","ふぐ料理 はませい","飲食業","ふぐ料理や季節の料理を提供しています。","西橋本1-8-27","042-774-8862","ふぐコ−ス料理を２日前までにご予約で、ヒレ酒をサ−
ビス"
"","メモリアルハウス西橋本","サービス業","創業109年！老舗の専門葬儀社です。","西橋本5-4-1-3","012-017-7166","相模原市を中心に会員数9万人！ 
あんしん倶楽部新規入会受付中！ 
ご相談だけでもお気軽にお声掛けください！"
"","よもぎ蒸しとエステのお店Murir（ミュリール）","サービス業","熟成漢方よもぎ蒸し.ハーブピーリング.アロマヘッドス
パ.肩甲骨はがし.股関節整体.ブライダルエステなど豊
富なメニューを組み合わせ、無理なく美容と健康レベ
ルを上げていくご提案をしております。","西橋本1-5-25-2","050-6874-1352","エステ専売品の選べる効能別ハーブティー（2包入り）
プレゼント致します＾＾"
"","らぁ麺食堂 吉凛","飲食業","ラーメン店","西橋本1-19-48","042-703-7227",""
"","理瀬（橋本店）","小売業","婦人服小売店です","西橋本5-1-1ラ.フロール3F","042-774-1726","本キャンペーンでお買い物をしたお客様には非常にお
得な「お得意様優待券」を差し上げます。
役に立つ粗品も漏れなくプレゼントします？"
"日連","いけはらクリーニング藤野店","サービス業","ホームクリーニング","日連620-8","042-687-3271","店前に駐車スペース有り。JA藤野園芸センタ―前"
"","カフェレストランShu","飲食業","グランドピアノがある 落ち着いた店内、また雑木に囲
まれたテラスではペットも同伴出来ます。　目の前に広
がる畑とコラボするアート作品達、そして優しいお料理
が自慢です。","日連981","042-687-2333",""
"","かぶくん動物病院","サービス業","動物病院","日連823-2","042-649-0843",""
"","スーパーまつば","小売業","食品、雑貨、燃料の販売","日連738-3","042-687-2007",""
"","大衆割烹「山咲」","飲食業","居酒屋料理一般、仕出し弁当","日連662","042-687-3388",""
"","藤野園芸センター","小売業","地元農家の朝採れ新鮮野菜はもちろん、農業用資材
もしています。","日連620","042-686-7431",""
"","ブティックマナ","小売業","婦人服や小物を販売しています","日連738-3","042-687-5315",""
"","ママーズガーデン","小売業","生花販売","日連574-2","042-687-2088",""
"","森久保商事","小売業","ガソリンスタンド","日連36","042-687-2032",""
"","ローソン・スリーエフ藤野店","小売業","コンビニエンスストアー","日連562-1","042-687-5657","朝６時から夜１1時まで営業
酒、タバコ、取り扱い有り
休み無し"
"","若葉そば","飲食業","そば、うどん、丼物、定食類、ラーメン、他色々やって
おります","日連513","042-687-3584",""
"二本松","CPサロン ラ・ヴィエルジュ","小売業","化粧品販売、フェイシャルエステティックのサロンです","二本松3-1-13さがみビル1F","042-703-1837","新規お試し2000円　粗品プレゼント"
"","M.R エムアール","サービス業","まつ毛エクステ、まつ毛パーマ 
エステハイフ","二本松3ー16ー3ー8","042-852-3210","初回1000円オフ"
