"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"南台","セブンイレブン相模原南台四丁目店","小売業","コンビニ","南台4-11-2","042-766-8281",""
"","たい焼き 寿堂","小売業","たい焼きの製造販売","南台6-18-17","042-766-4142","相模原産玉子と国産小麦100%を使用した当店オリジ
ナルのふんわりタイプの生地です。"
"","（有）チグサ生花店","小売業","生花　園芸販売","南台6-19-8","042-744-1255",""
"","ドトールコーヒーショップ小田急相模原店","飲食業","","南台3-20-1　ラクアル・オダサガ2F","042-701-5100",""
"","肉とワイン居酒屋 Acorn","飲食業","グリル肉とワインに合うおつまみが豊富な洋風居酒屋
です。","南台5-14-21よろづや2号館101","042-702-9415",""
"","ハコブカフウ","サービス業","「小田急相模原駅」徒歩2分の“完全予約制”リンパト
リートメントサロンです。あたたかみのあるプライベート
空間でおひとりずつ心を込めて施術いたします。ご予
約はホームページからお願いいたします。","南台3-18-28小田急相模原ビル602","090-5316-8972","10分延長無料"
"","ハローツヨシ治療院","サービス業","マッサージ、手技療法で身体を根本から改善します。","南台6-19-7ラーク南台201","042-715-8896",""
"","美容室Room Garden","サービス業","美容室","南台5-10-17 鈴木ビル1F","042-766-7601","次回から使用出来る2,000円分のスタンプカード贈呈
（１回のご来店で５００円割引）（ご新規様のみ）（他の
クーポンとの併用不可）"
"","美容室ウェーブ","サービス業","美容業　Cut,パーマ,カラー","南台5-21-14","042-745-7338","・髪や頭皮を傷めず気になる白毛を優しくコーティング
する「酸性カラー」
・50代～の女性の為の美容室
・髪のうねり、クセ毛、すぐにヘアスタイルが崩れてしま
う方の毛量矯正技術の「フレンチ・カット・グラン」
・トップにボリューム不足には「お手入れ楽々パーマ」"
"","美容室フィットンチッド","サービス業","美容業","南台3-1-27","042-741-1033",""
"","ファミリーマートよろづやペアナード店","小売業","コンビニエンスストア","南台5-11-19-101","042-767-3830",""
"","双葉交通（株）","サービス業","タクシー","南台2-5-17","042-742-2421",""
"","ヘアーカットクレイズ","サービス業","カット、シャンプー、顔剃り","南台5-21-14","042-742-3800",""
"","ボストン","小売業","パン製造・販売","南台5-14-15","046-251-0253",""
"","まくら屋","小売業","ふとんの専門店まくら屋です。","南台6-17-18","042-765-4122",""
"","（株）みゆき寝具店","小売業","寝具販売、打ち直し、 
羽毛布団仕立て直し 
パジャマ、エプロン、ソックス 
バッグ、袋物","南台5-14-18","042-744-1808","○10000円以上お買い上げの方にタオルプレゼント 
○パジャマの裾上げ無料"
"","みゆ鍼灸院・接骨院","その他","当院は女性に快適に過ごしていただける空間を提供
し、美容と健康の両面からサポートする鍼灸院です。","南台5-14-16","090-4025-3021","キャンペーン期間中、岩盤エクササイズのチケット12
回券以上を初めてご購入の方限定で、1回のご利用
が50%OFFになるクーポンをプレゼント！"
"","メモリアルハウス小田急相模原","サービス業","創業109年！老舗の専門葬儀社です。","南台3-8-1","012-017-7166","相模原市を中心に会員数9万人！ 
あんしん倶楽部新規入会受付中！ 
ご相談だけでもお気軽にお声掛けください！"
"","矢島自転車商会","小売業","自転車販売・修理","南台5-14-16","042-744-1215",""
"","ワタナベ理容店","サービス業","理容店です。
寝たきりのお客様への出張散髪サービスや、ヘアド
ネーション、夜間営業なども行っています。","南台6-19-19","042-745-7117","かながわペイをはじめとした各種キャッシュレスサービ
スを利用できます。"
"豊町","セブンイレブン相模原豊町店","小売業","コンビニです。","豊町1-24","042-742-7704","コンビニです。"
"若松","AKランドリーなかや大沼店","サービス業","クリーニング","若松4-17-17","042-741-5067","30円券1枚プレゼント"
"","BLUE NOTE","サービス業","理容業","若松3-39-11","042-744-9938",""
"","IN・BEAUTY ぷる～む","小売業","化粧品小売販売業","若松3丁目27-3","042-744-0041",""
"","WEショップ若松店","小売業","地域の皆さまから寄付していただいた衣類や雑貨を
販売し、収益で海外支援・東日本大震災復興支援をし
ているチャリティショップです。","若松4-13-3","042-744-9799",""
"","アートクリーニング若松店","サービス業","衣類・寝具などのクリーニングをしています。（特殊品
含む）","若松3-39-8","042-743-0128","8日、18日、28日サービスデイ・特殊品除く全品20％
OFF"
"","アトム電器相模原若松店","小売業","家電販売　工事","若松5-3-19","042-745-2703","見積無料　南区、中央区一部、出張費無料"
