"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"中野","やさしい整体 ひだまり","サービス業","やさしい整体の手技で、皆さまの健康な毎日をサポー
トさせていただく、整体院です！","中野1362-4梶野ビル1F","042-784-8727","整体が初めての方も、ぜひお気軽にお問い合わせくだ
さい♪
ご予約はネットでも簡単にできます。
「津久井ひだまり」で検索してくださいね。"
"","（有）リカーショップあまり","小売業/飲食業","酒類販売/店内で飲食提供してます(立ち呑み晴)","中野226","042-784-0020","立ち呑み晴・・・料理おつまみ持ち込みOK!!60分呑み
放題¥1,400税別"
"","リトル・トリー","飲食業","手作りイタリアン","中野637-4","042-784-5122",""
"","ロザリー手芸店","小売業","手芸品販売","中野1327","042-784-1013",""
"名倉","グダン コーヒー豆店","小売業","自家焙煎のコーヒー豆の販売
オーダー焙煎も致します","名倉310","080-4406-0088",""
"","チャッピーハウス","サービス業","ペット美容室","名倉25","090-3875-2317","新規のお客様には初回限定無料で炭酸泉 
お付けいたします"
"西橋本","CP SALON SURF","サービス業","フェイシャルエステティックサロンでフェイシャルと化粧
品販売をしています","西橋本4-14-15","042-771-0508","フェイシャル無料体験"
"","Gulliver16号相模原橋本店","小売業/サービス
業","自動車の中古車販売を行っています。","西橋本1-2-10","0120-303-123","国産車・外車問わず多くの自動車を取り扱っておりま
すので、お客様のご希望に沿った一台をご提供するこ
とができます。
是非、お気軽にお越しください。"
"","Hair Studio 華","サービス業","美容業務一般","西橋本2-25-3-102","042-703-0163",""
"","Moana Hula Studio","サービス業","幼児(親子レッスン)からシニア世代までの幅広い年齢
層を対象とし、 
 リーズナブルな価格で楽しくフラを教えています。","西橋本1丁目7-7","080-3542-3984","体験レッスンを500円で受講できます。また、「サン
キューキャンペーンのHPを見た」と、お伝えいただい
た上で体験のお申込みをいただき、即入会していただ
いた方には体験料をキャッシュバックいたします！"
"","SICキッチンラボ","飲食業","相模原の美味しい食材を使用した健康的なランチの
販売や、夜はクラフトビールの飲み放題を30分500円
で提供し、コミュニケーションの場として活用いただい
ております。","西橋本5-4-21","090-7234-2562","SNSの会員登録でコーヒーを無料プレゼントいたしま
す。"
"","（株）アマギ トラックサポート事業部","サービス業","トラックの車検、整備、修理、鈑金、販売の全般を行っ
ています。","西橋本1-9-2","042-773-7078","トラック・大型車両のことならお任せください。
弊社は、全て一括してサポートすることができます。
乗用車も受付ておりますので、お気軽にお越しくださ
い。
皆様のご来店を心よりお待ちしております！！"
"","うなぎ 廣瀬","飲食業","鰻専門店","西橋本1-25-17","042-773-7896",""
"","おうちカフェFika","飲食業","健康にやさしい材料を使った 
アットホームなカフェです","西橋本3-14-4","042-715-1367","次回使用割引券(スタンプ)"
"","オギノパンカフェ橋本店","小売業/飲食業","パンの販売・お飲み物の提供","西橋本5-4-20","042-703-7099",""
"","酒のおおぶち","小売業","一般酒類販売業","西橋本2-22-6","042-771-4510",""
"","サンキ橋本店","小売業","衣料品を中心に寝具、インテリア、タオル、マスクなど
お買い得価格で提供させて頂いております。","西橋本5-1-1ラ・フロール2F","042-770-3291",""
"","車検のコバック 相模原橋本店","サービス業","自動車の車検、自動車整備、修理、販売","西橋本1-9-2","042-773-2948","相模原市最低価格保証！！
当店より安い、他店の見積もり書をお持ちくださ
い！！
車検の見積無料ですので、お気軽にお越しくださ
い！！"
"","住宅相談室心（株）","その他","リフォーム、設計、新築、リノベーション","西橋本4-14-25","042-700-7790","お見積り無料"
"","スクール洋品ナカムラ ラ・フロール橋本店","小売業","学生服・体操服等スクール洋品の専門店です。","西橋本5-1-1ラ・フロール橋本店3F","042-785-4211",""
"","セイコー自動車 （有）","サービス業","お車の整備・修理をする車屋さんです","西橋本1-14-39","042-771-4505","代車無料でご用意します。"
"","セブンイレブン相模原西橋本3丁目店","小売業","24時間営業のセブンイレブンです","西橋本3-9-2","042-772-5028","２４時間営業です"
"","セブンイレブン相模原西橋本店","小売業","コンビニエンスストア","西橋本3-12-6","042-772-7711",""
"","セブンイレブン相模原西橋本2丁目店","小売業","コンビニエンスストア
食品，雑貨等等を販売しております。","西橋本2-14-9","042-770-5109",""
