"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"田名","VIVACE","サービス業","プライベートな空間でマンツーマンで行うパーソナルト
レーニングジム。重たいバーベルなどは使用しない自
重トレーニングです。","田名4350-8","042-769-5466","9/22プレオ―プン 9/23グランドオープン
 オープン記念キャンペーンやってます。詳しくはHPで
確認してください。"
"","（株）伊坪自動車田名工場","サービス業","自動車整備業　車検・修理・鈑金","田名2920-6","042-762-4151",""
"","江戸前寿司まさき","飲食業","寿司屋","田名4099-7","042-814-2228",""
"","小川和男養鶏場 直売所","小売業","卵、ロールケーキ、プリン、相模原産野菜、シフォン
ケーキ等販売","田名7460","042-762-2915",""
"","（有）おしゃれサロンひよしや","小売業","婦人服、化粧品","田名4324-1","042-761-4500","ステッカー"
"","お食事の店 新月","飲食業","一般食堂（かつ丼 焼肉定食 豆乳ラーメンなど）","田名4457-5","042-787-2215",""
"","片野接骨院","その他","接骨院、エステ、脱毛","田名4321-1","042-701-5033",""
"","割烹 三代","飲食業","季節の料理、割烹の店","田名5026-1","042-761-5271","相模原市で季節料理と割烹料理をご提供させていた
だいております。鮎料理、鰻料理(季節限定)や宴会法
事料理なども承ります。 
コロナ対策も十分に対応させていただきので、ご安心
してお運びください。"
"","木下動物病院","その他","動物病院","田名4794-3","042-763-1221",""
"","小料理 めぐみ","飲食業","一品料理、お食事、お飲み物等を提供しています。","田名5664","042-762-9888",""
"","サーティーフォー交通（株）","サービス業","タクシー会社","田名4777-1","042-762-5530",""
"","相模原市農業協同組合 田名支店","小売業","","田名4826-6","042-762-0057",""
"","酒処源ちゃん","飲食業","","田名3529-18","042-713-1688",""
"","（有）しみず電化","小売業","電化製品販売","田名４３８７ー１","042-761-2696",""
"","炭火焼ハンバーガー＆ステーキCHERRYS","飲食業","ステーキ、ハンバーガー等の販売","田名2294-13播州電気ビル1F","042-813-0770",""
"","セブンイレブン相模原田名葛輪店","小売業","コンビニ","田名3512-1","042-761-7774",""
"","セブンイレブン相模原田名豊原店","小売業","コンビニエンスストア","田名3992-1","042-760-8024",""
"","セブンイレブン相模原田名堀之内店","小売業","コンビニエンスストア","田名4737-2","042-761-7765",""
"","セブンイレブン相模原田名望地店","小売業","コンビニエンスストア","田名8549-5","042-778-5811",""
"","セブンイレブン相模原田名四ツ谷店","小売業","コンビニエンスストア","田名4430-1","042-760-0102",""
"","ダイヤ・ドライセンターヨークマート田名店","サービス業","クリーニング店です。衣類のお直しも承っております。 田名4693-1","","042-762-5998",""
"","タカハシ 田名店","小売業","婦人服、紳士服、子供服、および靴下、下着類 
ならびに生活雑貨品を販売しています。","田名4107-1","050-3665-8343","アプリ新規登録割引 
アプリ来店ポイント割引"
"","タナココ","小売業/その他","漢方、鍼灸接骨院、よもぎ蒸しサロン、カフェ","田名2126-1","042-813-3444",""
"","（株）田名スポーツ","小売業","スポーツ用品・学校体育用品販売
(学校指定体育着等取扱）","田名4324番地","042-762-5833","サンキューキャンペーンのご利用で、
新入学生の体育用品の準備はいかがですか？？
もちろん在校生の買い替えも、この機会に是非ご利用
ください♪"
"","田名薬局","小売業","一般用医薬品販売、雑貨販売、化粧品販売他。","田名5444-23","042-761-3865",""
"","トラットリアフォルツァ　田名店","小売業","パンの移動販売","田名7196-2 スターハイツ101","026-387-7680","長野で手作りしている、移動販売のぱんです。ぜひこ
の機会に食べてみてください。"
"","ナカジマフォート","サービス業","七五三・成人式・ウエディングなど記念写真を中心に
撮影しているフォトスタジオです。","田名2801-8","042-762-1965","七五三・成人式・ウエディングなどの衣装が揃っている
フォトスタジオです。
LINE登録で写真データ1カットプレゼントしています。"
"","株式会社にこにこでんき","その他","オール電化や太陽光を中心とした、電気・水道リ
フォーム会社です。 
 一般家庭でのLEDへの交換やタッチレス水栓への交
換も手掛けています。","田名3143-6","042-783-5775","初回出張費無料です。 
 電気や水道のことで、どこに聞いたらいいかわからな
いんだけど・・・という相談を承っております。"
"","（有）橋本自動車整備工場","サービス業","自動車販売、車検整備、一般整備、保険取扱","田名4818","042-762-1916",""
"","（有）はなくに","小売業","切り花や鉢花（胡蝶蘭と観葉植物）、ドライフラワー（ス
ワッグ・リース・BOX等）を販売しています。","田名4700-1","042-761-3605",""
"","林自動車販売・スズキ販売田名","小売業/サービス
業","自動車の販売、車検点検整備、修理、オイル交換な
ど。","田名4102-1","042-762-3148",""
