"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"若松","居酒屋 城（しろ）","飲食業","新鮮な魚や肉料理や創作料理が人気のお店です。","若松3-9-4","042-745-5040",""
"","伊勢元酒店","小売業","酒類販売業","若松3-27-1","042-744-0035",""
"","エステサロン美美","サービス業","エステによるリラクゼーションサービスと化粧品の販売 若松6-1-30","","090-2913-0037 全てのコース、初回30％引き",""
"","おはなやさん","小売業","生花・鉢花販売","若松3-8-12","042-747-0238",""
"","火山岩焼肉はうす栖","飲食業","","若松3-32-4","042-740-8829","１７時～１９時（生ビール、ウーロンハイ、緑茶ハイ、ソ
フトドリンク）半額です。"
"","カトレア美容室","サービス業","美容室","若松3-20-4","042-745-8471",""
"","（有）サイクルセンターさがみ","小売業","販売、修理","若松3-14-3","042-745-8052",""
"","新鮮市場なかや 相模原大沼店","小売業","食品スーパーマーケット","若松4-17-17","042-767-5660",""
"","セブンイレブン相模原若松三丁目店","小売業","コンビニエンスストアです","若松3-47-22","042-766-0250",""
"","小さな家族葬ハウスⓇ若松","サービス業","創業109年！老舗の専門葬儀社です。","若松4丁目17-14","012-017-7166","相模原市を中心に会員数9万人！ 
あんしん倶楽部新規入会受付中！ 
ご相談だけでもお気軽にお声掛けください！"
"","トーザイ薬局","小売業","医薬品販売、処方箋調剤","若松3-33-13","042-743-8489",""
"","中根製麺","小売業","麺類製造業","若松3-4-6","042-743-6840",""
"","ニューオリオン洋菓子店","小売業","洋菓子製造販売","若松3-26-9","042-743-1347",""
"","バランス整体院","その他","整体（健康管理師）","若松3‐9‐3","042-743-1572","腰痛、ギックリ腰の治療が特技"
"","はるかぜ鍼灸治療院","サービス業","鍼灸治療院","若松3-9-6","042-748-8338",""
"","ビューティーオダ","サービス業","カットパーマ","若松3‐9‐3","042-715-1539",""
"","読売センター相模大野","小売業","新聞販売店","若松3-33-11","042-748-0234",""
