"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"淵野辺","ヘアーサロン チカ","サービス業","理容業","淵野辺1-14-10","042-754-9949",""
"","（株）宝月堂文具店","小売業","文具・事務用品販売","淵野辺3-19-9","042-752-2083","年賀状印刷代にもお使いいただけます但し年賀はが
き代金は現金となります"
"","宝来堂伊藤製菓舗","小売業","","淵野辺3−7−4","042-752-2179",""
"","ポーラザビューティ淵野辺店","サービス業","エステ店として地域の女性にかがやいていただく店で
す","淵野辺3-8-5-1F","042-752-5001","新規のお客様にステキなプレゼントございます"
"","ホルモンビストロ瞬","飲食業","清潔感のある大人の焼肉店です","淵野辺3-3-10","042-755-0023","ポイントカード発行中です"
"","丸塚精肉店","小売業","精肉店","淵野辺　３－８－１２","042-752-8967",""
"","丸菱弁当 矢部店","小売業/飲食業","弁当の製造・販売","淵野辺1丁目3-17","042-759-4044",""
"","もん動物病院","サービス業","犬猫を診察する動物病院です。ペットフードやペット用
品を販売しています。犬猫のお手入れやお預かりを行
います。","淵野辺1-2-1","042-853-6363",""
"","（有）八百亀辰巳商店","小売業","青果販売","淵野辺3-18-20","042-752-0609",""
"","弥助寿し","飲食業","すし店　完全予約制、ご要望そった販売","淵野辺4-29-20","042-754-8355","ここ数年値上げせずに販売"
"","遊喜や","飲食業","寿司屋","淵野辺1-16-13サンフラット102","042-752-1973",""
"","夢明家","飲食業","ビアダイニング","淵野辺3-17-14","080-5515-3277",""
"","有隣堂淵野辺店","小売業","書籍・文具販売","淵野辺4-16-34","042-704-3760",""
"","洋品 たつや","小売業","洋服を販売しています","淵野辺3-8-5","042-752-9108",""
"","横田薬局","小売業","保健調剤
一般　医薬品　育児用品　化粧品　雑貨　販売","淵野辺3-9-17-101","042-758-8281",""
"","ヨシダヘアーデザイン","サービス業","カット、パーマ、カラー、シェービングエステ、ブライダ
ルシェービング、ヘナカラー、ノンジアミンカラー","淵野辺3-4-17","042-752-1171","女性にレディースシェービングエステがとても人気で
す。一人でも多くの方にお試し頂きたいと思っていま
す。よろしくお願い致します。"
"","拉麺一匠DEADorALIVE","飲食業","マツコの知らない世界やラヴィット等各種メディアで活
動する「唐辛子研究家一匠」が経営する旨辛、激辛の
ラーメンと100%煮干しのみを使用した優しい煮干し
ラーメンのお店です。","淵野辺3-16-2","042-711-7550","ネット通販では半年以上待ちの唐辛子研究家一匠の
各種一味など唐辛子やマツコの知らない世界でマツコ
さん大絶賛の朝天麻辣冥王醬もご購入頂けます！"
"","ラム専ひつじ亭","飲食業","健康に良い！羊肉を提供している！ジンギスカン専門
店です。","淵野辺4-17-16","042-755-0750","呈ホ
お席のご予約で※500円分ドリンクサービス券をプレ
ゼント
2名様ご予約→500円券1枚/4名様以上ご予約2枚進
ットペッパーグルメ又はお店電話どちらでも可。要予
約、ご飲食の方"
"","りーと音楽教室","サービス業","ピアノ教室です。","淵野辺4-1-20","070-6965-1887","メルマガ登録をされた方、2回(30分)レッスン無料で
す。"
"","利久園","小売業","お茶　海苔　食品","淵野辺3-7-6","042-756-4276","一部特売品を除き毎週(金)キララカードポイント5倍提
供"
"","リトルフジヤ","小売業","婦人洋品販売","淵野辺3-7-3","042-733-3560",""
"","レディースショップフジヤ","小売業","婦人服　小売","淵野辺3-7-20","042-752-2188",""
"淵野辺本町","La Mahina","サービス業","痩身専門サロン
完全予約制のアットホームなお家サロンです(*^^*)","淵野辺本町4丁目21-9","042-769-5503","最新マシン、ハイフやスリムスカルプトを使用していま
す。
結果重視！
まだまだ諦めないで(*^^*)
本気の方、是非ご相談を…
HotPepperをチェック(^_-)"
"","YSP 大島屋酒店","小売業","飲食料品店　酒類","淵野辺本町5-17-5","042-754-8164",""
"","セブンイレブン相模原淵野辺本町2丁目店","小売業","食品、酒類、たばこ、雑貨の販売","淵野辺本町2-21-20","042-754-4711",""
"","セブンイレブン相模原淵野辺本町4丁目店","小売業","コンビニエンスストア","淵野辺本町4-37-14","042-750-2104",""
"","中渕ゴルフクラブ","サービス業","ゴルフ練習場","淵野辺本町3-39-29","042-755-3892","平日３時間打ち放題、サービス料金でご案内致してお
ります"
