"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"新戸","相模原市農業協同組合 新磯支店","小売業","","新戸2430-2","046-251-0077",""
"","座間自衛隊売店 藤芳屋","小売業","座間陸上自衛隊内にある売店です
隊員さんがほっとひと息つけるように
ソフトクリームやパリスタ監修のCoffeeマシーン、自衛
隊グッズ、日用品、食料品、お菓子等を取り揃えてい
ます","新戸2958","080-3353-0376",""
"","合同会社スズテックス","その他","相模原でユニットバス・システムキッチン・洗面化粧台
・トイレなど、水回りのリフォームを行なっています。","新戸2068-2","046-240-7304","成約時、当社オリジナルタオルをプレゼントします。"
"","（株）スマイル","その他","相模原市で27年、地域密着の工務店です。住まいの
お困り事、お気軽にご相談ください。","新戸2389-2","046-256-4496","スマイルわくわく抽選券プレゼント"
"","中古車・車検のIRIS","小売業","中古車販売・車検代行業・カー用品取り付け","新戸2055-1-202","046-207-6072","10月のお得情報 
 前後ドライブレコーダー取り付け（駐車監視付き）通常
¥15,000→¥9,990"
"","豊国屋","小売業","こだわりの地酒、地ビール、旨安ワイン、レア焼酎の
ほか、
おいしくてカラダにやさしい食材や調味料がたくさん！
そして、相模原生まれの「津久井在来大豆」を使った
おりじなる
商品もいろいろ販売中です♪","新戸3024","046-251-0048","「さがみはらペイで！」とレジにてお伝えいただくと
当店のポイントカードが2倍になります★"
"","（株）長谷川電機","小売業","家電販売・アンテナ工事・電気工事・エアコン工事","新戸2440","046-251-0505",""
"","ヘアサロン ハシモト","サービス業","理容店：開業50年の昔ながらのとこやです。","新戸1722","046-254-6963","カット、シャンプー、シェービング ￥3000
カットのみ ￥2000
女性　￥3000～
（65才以上の方、カットのみ￥1300　女性の方も歓
迎）"
"","みかんの木","飲食業","皆様がほっとひと息つけて、
安心安全で心を込めた美味しいものを
楽しめるカフェです。","新戸1930-1","046-254-4622","さがみはらサンキューキャッシュバックキャンペーン期
間中ドリンク単品注文全品100円引きします。"
"","みゆき鮨","飲食業","フラダンスショーを見ながら本格寿司が食べられる
ディナーショー""Ohana Night""を随時開催！！完全予
約制の寿司店です。","新戸1741-31","046-253-0340",""
"相南","Hair Salon ROHYAL","サービス業","カット、カラーリング、パーマ、お顔のマッサージ等　人
の髪、お顔を綺麗にするお仕事です。","相南1–10-12","042-745-9461",""
"","岩沢畳店","小売業/サービス
業/その他","新畳　表替え　裏返し　ヘリ無し畳 
床暖房畳　和紙畳等　製造販売","相南2-24-12","042-742-1587","畳床補修　隙間補修等時間を掛けて 
丁寧に致します。 
畳表は全て吹き上げて艶出しして 
納品致します。"
"","（株）住宅リフォーム協会","その他","建築業・建設業　一級建築士事務所","相南1-9-3","042-749-6161","見積無料"
"","賞美堂","小売業","印章、ゴム印、印刷等","相南1-22-3","042-744-0801","実印、銀行印、2割引！！"
"","伸京屋酒店","小売業","酒類販売","相南1-20-19","042-743-0740",""
"","寿司処 六ちゃん","飲食業","飲食（寿司屋）","相南4-24-30","042-743-1265","ランチメニュー"
"","セブンイレブン相模原相南1丁目店","小売業","コンビニエンス　ストア","相南1-2-81","042-744-5088","TVCMにて告知"
"","だがし屋 かくはり商店","小売業","駄菓子、ジュース、アイス、切手、タバコ、宅急便を
扱っています。","相南1-12-15","042-742-8137","東林小学校前の小さな店ですが、懐かしい駄菓子を
取り揃えております。300円以上のお買物でくじも引け
ますよ。ご来店お待ちしてます。"
"","飛田輪業","小売業","自転車修理販売","相南2-2-19","042-742-9593",""
"","ファッションケアニック 小田急相模原店","サービス業","衣類のクリーニング、お直し 
布団、インテリアのクリーニング 
当店のクリーニングは抗菌・抗ウイルス加工で安心し
て生活できます。","相南４－３－３４","042-743-2933","初めてのお客様、5点までクリーニング半額で承りま
す。 
学生服、フォーマルなどこの機会にぜひご利用くださ
い。 
ダウン・布団・カーペット・着物は1点ごと200円引きさ
せていただきます。"
