"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"二本松","美容室 NEXT","サービス業","二本松商店街の美容室です!!
パーマ、カラー、カット、着付け、赤ちゃん筆も承ってお
ります。","二本松4-26-15","042-771-8693","ご新規のお客様500円OFF"
"","ペットサロンtrip","サービス業","わんちゃんの歯磨き＆トリミングのお店です。","二本松4-31-15","042-703-6956",""
"","ほさか動物病院","その他","動物病院","二本松4-17-1","042-771-1112",""
"","焼鳥本山二本松店","飲食業","焼鳥居酒屋","二本松4-1-10","042-703-5417",""
"","吉野家相模原二本松店","飲食業","ご存知、牛丼の吉野家
＊テイクアウトにも対応しています","二本松3-31-24","042-770-7081",""
"","リラクゼーションKai","サービス業","ボディーケア・美容整体","二本松1-10-25","042-703-4959","初回のお客様は10％off
リピート割引もあります"
"","ローソン・スリーエフ二本松一丁目店","小売業","コンビニエンスストア","二本松1-20-8","042-774-2231",""
"根小屋","久保田酒造（株）","小売業","地酒「相模灘」を製造、販売しております。","根小屋702","042-784-0045",""
"","（有）鮫川畳創","その他","畳製造販売","根小屋1559-1","042-784-5495",""
"","ローソン津久井根小屋店","小売業","コンビニエンスストア","根小屋2535-1","042-784-3598",""
"橋本","2nd Garden","サービス業","マタニティや七五三、家族写真を撮影するフォトスタジ
オです。その他に映像制作も行っています。","橋本6-5-13 旭ビル3F","042-703-3157","橋本にオシャレなフォトスタジオがオープンしました！
ニューボーン、マタニティ、七五三など是非ご利用くだ
さい。シニア撮影も人気です。セカンドガーデンのアプ
リダウンロードで初回お会計から10％OFF致します"
"","canvas eye ~キャンバス アイ~","サービス業","まつ毛エクステ、Wax脱毛","橋本3-19-17プリムローズハウス704","042-703-1887","今話題のまゆ毛パーマ【パリジェンヌブロウリフト】導
入店！
まつ毛エクステ、まつ毛パーマ、Wax脱毛等、男女問
わずお越し頂けます★"
"","Design Credo","サービス業","美容室","橋本2-8-15カーサセフィーロ1F","042-815-3328",""
"","ECCジュニア橋本3丁目教室","サービス業","幼児からシニアまで楽しく学べる教室です。","橋本3-9-9ウィステリアサイト1F","050-5272-2787","期間中、無料体験レッスンにご参加の方にECCジュニ
アオリジナルグッズをプレゼント、新規ご入学の方に
入学金1000円OFFクーポンをプレゼント致
します。"
"","ECCジュニア橋本6丁目教室","その他","フランチャイズによる、2歳児以上から成人までの英語
会話教室です。","橋本6-43-21","042-712-1345","無料体験修了後にプレゼントがあります。"
"","ESPRESSO D’WORKS 橋本店","飲食業","都内で人気のカフェ＆ベーカリー　夜は和のテイスト
のイタリアンバルに変身","橋本3-27-6 S&Yビル1階B","042-703-8503",""
"","eyebeautylife RAMA","サービス業","マツエク、まつ毛パーマ、眉毛、フェイスWAX脱毛、化
粧品販売","橋本6-37-14","042-866-7821","初回他店オフ無料"
"","Eyelash MAHALO","サービス業","まつげエクステ＆まつげ育毛","橋本6-19-2ヤジマビル2F","042-703-7756",""
"","Face&Bodycare LuLu","サービス業","リラクゼーション＆エステサロン","橋本6-19-2ヤジマビル2F","042-703-5008",""
"","GOHAN","飲食業","カフェ　定食　バルとどれも楽しめるアットホームな店
舗です。","橋本2-9-11","042-775-7580",""
"","Hair make be","サービス業","美容技術の提供。","橋本6ー27ー2第一間瀬ビル","042-772-0803",""
"","HAIR MAKE Avalon","サービス業","美容室","橋本3-11-7-1F","042-813-8379",""
"","hair salon feel","サービス業","美容室","橋本3-11-10コンフォート橋本101","042-853-5542",""
"","Hair Salon SKY","サービス業","メンズサロンです","橋本6-2-1イオン橋本2F","042-774-7591",""
"","HairStudio yuse ヘアースタジオユーズ","サービス業","理美容業","橋本3-9-7-1F","042-773-5615",""
"","HASHIMOTO CARiNO ミウィ橋本店","小売業","レディースシューズとバッグ、その他革小物や靴ケア
用品等を販売しています","橋本3-28-1ミウィ橋本2F201-1","042-703-7254","カジュアルからフォーマルまで、とても履き易く足にや
さしい靴を多数取り揃えております。お洒落は足元か
ら！健康とお洒落を兼ね備えた素敵なファッションをご
提案します。"
"","HK LOUNGE","飲食業","飲食店、レストラン、宴会場","橋本3-14-13HK第4ビル6F/7F","042-770-7073","公式LINEでお友達登録いただくと15%サービスクー
ポンが使えます！"
"","J-DASH橋本店","サービス業","美容室","橋本6-4-7パレフォンティーノ１階","042-771-7802",""
"","Lucir by Avalon","サービス業","まつ毛サロン","橋本3-12-7-3F","042-703-6787",""
