"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"双葉","藤田畳店","小売業","畳の製造・販売","双葉2-16-12","042-743-0478","通常価格より1枚あたり4円値引きします。"
"文京","ECCジュニア文京教室","サービス業","英語英会話教室","文京1-4-5ピアレジ文京202","042-854-8805","お友達とご入会いただいた方、またはご紹介いただい
た方は、
入学金を半額免除"
"","（一社）子育てサポートハウスｍａｒｉｍｏ助産
院","その他","入院分娩・産後ケア・母乳育児相談など気軽にご相談
ください。ベビーマッサージ・健康出産教室・生と性の
話など各種講座開催。あなたの妊娠出産子育てを応
援します。","文京2-7-2","042-766-4381",""
"","梅田畳店","その他","新畳、畳表替、畳裏返し
畳の事ならお任せください。","文京1-7-16","042-744-0543","ボールペンをプレゼント致します。"
"","きぬたやクリーニング","サービス業","国家資格、クリーニング師おります","文京2-7-1","042-744-0112","ワイシャツ２点無料 
 ドライクリーニング３点以上で１点無料 
 ※当店、初めての方"
"","佐藤電気商会","小売業","家電品販売業","文京2-19-9","042-742-1374",""
"","（株）日電社本店 タドコロデンキ","小売業","","文京1-15-37","042-743-5065",""
"","パンの家 じょんのび","小売業","パンの製造・小売り","文京1-15-41-1F","042-765-3557",""
"","美容室エッツ","サービス業","美容室","文京2-23-10","042-766-6639",""
"","ヘアーサロン サイタ","サービス業","理容業","文京1-15-39","042-742-3892",""
"","丸十ムラタパン","小売業","製パン卸、小売業 
創業５２年の昔ながらのパンを取り揃えてお待ちして
おります。","文京2-19-4","042-744-0977",""
"","緑川珈琲 Midoriko","小売業/飲食業","自家焙煎豆の販売 
カフェ営業","文京1-15-42","042-766-2564","カフェでは、ハンドドリップの美味しいコーヒーを提供し
ています。 
自家焙煎の豆はどれも100g、600円です。キャニス
ターをご持参で20％増量サービスをしています。"
"","やぶ久","飲食業","うどん屋","文京2-19-7","042-745-8433",""
"松が枝町","ASA相模原みなみ","小売業","新聞販売","松が枝町7-4","042-743-0398","キャンペーン中はお買い得上商品をご提供させていた
だきます。"
"","ASA東林間","小売業","新聞販売","松が枝町7-4","042-743-0398","キャンペーン中はお買得商品をご提供させて頂きます"
"","Boulangerie HIRO","小売業","パン製造販売　食パン・ハード系・ベーグルなど様々な
種類を販売しています。","松が枝町16-10-103","042-766-1375",""
"","Dining Bar GIFT with Magic","飲食業","プロマジシャンが在籍しているお店です。ランチでは
550円からさまざまなメニューを選べ、ディナーはオ
シャレばバーに。
ランチではテイクアウトでのご注文も可能です。お気軽
にお立寄りください。","松が枝町16-20","042-745-0188","・相模原No.マジックを体験できる店！
・バースデーサプライズ有！
・ランチはホットペッパークーポン提示でソフトドリンク
お一人につき一杯無料！"
"","Fuu Hair Living","サービス業","美容室","松が枝町23-5 2F","042-705-5527",""
"","いくどん 小田急相模原店","飲食業","焼肉、ホルモン焼","松が枝町24-5第二関口ビル1F","042-766-5455",""
"","一本堂 小田急相模原店","小売業","焼きたて食パン専門店","松が枝町24-16岩田ビル1F","042-705-6809","当店LINEに新規お友達登録いただいた方に、30円引
きクーポンを進呈しております。
https://lin.ee/pb7j950"
"","イワサキミルクセンター","小売業","乳製品の宅配、食品・食料品販売、介護用品販売","松が枝町7-4","042-743-0398","キャンペーン中はお買得商品をご提供させて頂きます"
"","吉列屋","飲食業","料理（とんかつなど）や飲み物を販売しています","松が枝町24-2","042-744-6897",""
"","神奈川柔整鍼灸専門学校 附属鍼灸施術所","サービス業","はり、きゅうの施術を行います。","松が枝町7-5","042-740-7222",""
"","ケーポッシュ松が枝店","小売業/飲食業","洋菓子販売、カフェ","松が枝町3-14グランバリュー小田急相模原1F","042-747-2666",""
"","嵯峨美園","小売業","緑茶販売","松が枝町16-10","042-748-5568","月末の金土日の3日間でお茶の半額セールを毎月実
施中、ぜひご来店ください"
"","さがみの整骨院","サービス業","柔道整復師、整体師としてケガや痛み、身体のバラン
ス調整などを患者さんに施術しています。","松が枝町7-10","042-705-3990","ご新規様、整体コース5%off"
"","シルバームーン彫金工房","小売業","シルバーアクセサリーの製造、販売","松が枝町16-4 小山ビル1A","042-705-7794","小田急相模原駅近くの工房でシルバーアクセサリーを
制造、販売しています。"
