"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"橋本","焼き鳥こばやし","飲食業","すべて手作りで、丁寧に仕込みをしている焼き鳥屋で
す。","橋本2-24-14","042-772-2613",""
"","薬局アクアファーマシー","小売業","お薬、化粧品を販売しています。
処方せん調剤も行っております","橋本3-28-1ミウィ橋本1F","042-700-7560","お肌診断無料実施中です"
"","山三商店","小売業","味噌、醤油、乾物その他菓子類を販売しています","橋本6-35-10","042-772-2269",""
"","有隣堂ミウィ橋本店","小売業","書籍・文具販売","橋本3-28-1ミウィ橋本4階","042-700-7680",""
"","ユニオンスポーツ","小売業","スポーツ用品小売り","橋本6-35-8","042-772-2936",""
"","理容小俣","サービス業","理容師法に準ずる業務","橋本6-37-15","042-738-5711","昭和２７年創業の理容室です
先代からのサービス精神、技術の向上・清潔な店を受
け継ぎ
お客様をお迎えしております。
サンキューキャンペーンで　ご奉仕出来れば幸いで
す。"
"","リラク橋本","サービス業","リラクゼーションサロン","橋本3-13パークスクエア1F","042-772-1312","休日に疲れが抜けないと感じてる方はぜひ、当店の
疲労撃退コースがおすすめです。
老若男女問わず幅広い層のお客様にご来店いただい
てます。"
"","和菓子処 やまもと","小売業","和菓子製造業","橋本6-41-12","042-772-2246",""
"","和食処しまざき","飲食業","和食店","橋本8-1-10","042-771-7471",""
"橋本台","（株）植義","その他","お庭作りやお庭の手入れなど、外回りに関することは
なんでもご相談ください。","橋本台2-3-20","042-771-3544",""
"","かまな庵","飲食業","創業58年
和食、蕎麦、うどんを提供しています
550円定食から懐石料理まで、お客様の用途に応じ対
応致しております","橋本台2-9-2","042-772-2240","550円定食から懐石料理まで
お客様のご要望にお応えします
記念日など一品サービス
テイクアウト料理もあります。"
"","相模原協同病院直売所","小売業","旬の地元農産物が集まる直売所です","橋本台4-3-1","042-851-3583",""
"","（株）三凌商事 相模原支社","サービス業","臨時家庭ごみの収集運搬　　　　　空気清浄機など機
器販売 
エアコンの分解洗浄作業 
宅内排水管清掃 
光触媒コーティング作業 
浄化槽維持管理　などサービス","橋本台1-14-13","042-774-3231",""
"","セブンイレブン相模原石宮店","小売業","おにぎり・お弁当・日用品・たばこ・お酒等","橋本台2-10-7","042-773-0037",""
"原宿","AKランドリーコピオ城山店","サービス業","クリーニング","原宿3-10-1","042-782-9242","30円券1枚プレゼント"
"","JA神奈川つくい 原宿支店","小売業","","原宿3-2-5","042-782-8501",""
"","クリーンメガネ原宿店","小売業","メガネの販売","原宿5-5-23","042-783-4788","期間中お買い上げの方　１０％　off"
"","城山SS","小売業","ガソリンスタンド","原宿5-9-46","042-782-2716",""
"","セブンイレブン城山原宿二丁目店","小売業","コンビニエンスストア","原宿2-8-3","042-783-1366","近くて便利"
"","タイヤ館城山","小売業","自動車用タイヤ・ホイール販売の他、エンジオイルや
バッテリーなどメンテナンス用品の販売をしています。","原宿5-26-55","042-782-2706","タイヤ4本ご購入のお客様には、
窒素充填（2200円相当）を無料でサービス充填いたし
ます。"
"","タカハシ 城山店","小売業","婦人服、紳士服、子供服、および靴下、下着類 
ならびに生活雑貨品を販売しています。","原宿1-2-25","050-3665-8351","アプリ新規登録割引 
アプリ来店ポイント割引"
"","はまだ動物病院","その他","動物病院 
 トリミング 
 ペットホテル","原宿4-2-10","042-783-0266",""
"","美容室TOu.TOu","サービス業","美容業","原宿5-23-4","042-783-3571",""
