"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"当麻","飄禄玉","飲食業","昭和34年創業の川魚料理店です。 
名物「ますの唐揚げ」をぜひお召し上がりください。","当麻1594","042-778-1572","お食事のお客様には、ますの唐揚げやデザートと引き
換えができるポイントカードをお配りしております。"
"","ファミリーマート相模原麻溝小前店","小売業","","当麻1364-1","042-777-8021",""
"","ファミリーマート相模原当麻店","小売業","コンビニエンスストア","当麻877-1","042-777-8035",""
"","フォーバイフォーグラヴェル","小売業","車の総合販売・車検・修理・カスタム・パーツ販売","当麻898-7","042-777-3666","ワコーズオイル交換工賃無料"
"","湯田畳店","小売業","畳工事、障子、あみ戸　張り替え","当麻875-1","042-777-8220、
090-3590-7001",""
"","ローソン・スリーエフ原当麻駅入口店","小売業","コンビニエンスストア","当麻1255","042-778-3717",""
"西大沼","（株）小池設備","サービス業/その
他","水漏れ、詰まり等の水まわりトラブルの修理
水栓、便器、洗面台等の交換、リフォーム
排水管清掃などのメンテナンス
その他、水道工事全般","西大沼1-18-2","042-754-8181","期間中の排水管清掃の御見積は無料で作成いたしま
す！
修理・工事・清掃を御用命いただき、本社にて代金を
お支払いいただいた方には、弊社オリジナルノベル
ティをプレゼント！"
"","小林モータース","小売業","自動車販売、車検、修理。","西大沼1-6-8","042-757-3923","車検、点検で、オイル交換４リットルまで無料。
ホームページで無料券を印刷してお持ちください。"
"","セブンイレブン相模原西大沼5丁目店","小売業","飲料、食料、雑貨、公共料金支払い、インターネット決
済等サービスをご提供致しております、コンビニエンス
ストアです。","西大沼5-2-2","042-742-2721",""
"","ホビーショップタムタム相模原店","小売業","ホビーショップ　タムタム相模原店ではラジコンをはじ
めプラモデルや鉄道模型、ミリタリー用品など様々な
商品を豊富に取り扱っております。入手しにくいフィ
ギュアや鉄道模型などは予約販売なども行っておりま
す。","西大沼1-5-5","042-752-2727",""
"","リユースホビー アンド ブック クルクル相模原
店","小売業","Cle-Cle（クルクル）相模原店では鉄道模型やラジコ
ン、ミリタリーなどのホビーグッズの中古買取、中古販
売を行っています。 
ホビーショップタムタム相模原店１Fです。","西大沼1-5-5","042-786-6678",""
"東大沼","ECCジュニア東大沼4丁目教室","サービス業","英語、英会話教室","東大沼4-5-3","042-745-4316","無料体験レッスン"
"","印度食堂なんかれ","飲食業","創業23年目、本格インドカレーとナンを提供していま
す。テイクアウト、デリバリーもやってます。","東大沼3-32-14-1F","042-741-2585",""
"","エステwhitelily","サービス業","エステサロン、化粧品販売","東大沼2-21-3","042-746-3738","肌プランニング無料、サンプルプレゼント有り"
"","清原ランドリー","サービス業","全て手仕上げのクリーニング店です。","東大沼3-1-2","042-743-9248","シーズンまでお預かりします。"
"東林間","Beautiful Boy","小売業","生花販売","東林間5-3-5","042-749-4888",""
"","Dining Bar きらり","飲食業","ダイニングバー","東林間4-11-7-M201","042-745-2520",""
"","ECC主宰 ECCジュニア鶴の台教室","サービス業","幼児、小中学生対象　英語、英会話教室","東林間2-17-15","042-712-0379","在籍生の紹介があれば入学金半額、またプレゼント
があります。"
"","ECCジュニア東林間4丁目教室","サービス業","幼児から高校生までのお子様に、いま求められている
英語力が身につくよに考え抜かれたテキストを使用し
英語、英会話を指導しています。","東林間4-44-15","080-5050-4220",""
"","Resmile(アールイースマイル)","飲食業","日曜日ランチのみテイクアウトのお弁当を販売してお
ります。","東林間5-16-20","042-740-8180","毎週日曜日朝10:00～数量限定でテイクアウトのお寿
司を販売しております。玄米を使ったお寿司やお野菜
のお寿司などヘルシーで美味しいお寿司を本物の寿
司職人が作っております。"
"","SEIJINホクソウサービス","サービス業","福祉用具レンタル、介護、一般改修工事、介護用品販
売他","東林間2-22-12-1-A","042-767-5901","福祉用具のレンタルを主としています。"
"","あさのや","その他","お弁当　お惣菜の店頭販売、デリバリーのお店です。","東林間4-38-9","042-701-7969",""
"","足と靴の相談できる靴屋ワカヤマ","小売業","靴販売・修理","東林間5-4-12","042-742-8467","大人から子どもまで足と靴の無料相談やってます！"
"","有限会社 一藤","サービス業","冠婚葬祭・御中元・御歳暮等のギフト・贈答品の販売。 東林間4-14-3","","042-772-2554",""
"","いろは堂薬局","小売業","保険調剤、一般用医薬品販売、化粧品販売などをし
ています。","東林間5ｰ1ｰ1","042-742-3663","毎週土曜日リンリンポイント3倍。"
"","大石畳店","その他","畳工事","東林間5-3-5","042-742-1482","地域ポイント（りんりんカード）"
"","オールドヒッコリー東林間店","飲食業","レストラン","東林間4-7-3","042-749-0172",""
