"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"淵野辺","松陰塾淵野辺校","サービス業","小中学生向けの個別指導塾です。補習、定期テスト対
策、入試対策、英検対策など、トコトンお勉強につきあ
います。","淵野辺4-20-16SK-Ⅲ103","042-851-3339","塾生全員に、iPadを月額無料でレンタル中！"
"","スクール洋品ナカムラ 淵野辺本店","小売業","学生服・体操服等スクール洋品の専門店です。","淵野辺3-20-8","042-756-3344",""
"","鮨処 すし亭","飲食業","超お得な日替りコースがオススメの寿司店です
地酒も豊富に取り揃えています","淵野辺3-6-6-1F","042-750-1552","日替りコースご注文で、生ビール、サワーサービス
(コース1つに付1ドリンク)"
"","スズキ(鈴木硝子店）","小売業","おしゃれ小物・雑貨","淵野辺3-17-15","042-752-2138",""
"","スマイル整体院","サービス業","お客様の身体の状態や悩みに応じて丁寧かつ的確に
オンリーワンの施術を提供する整体院です。","淵野辺3-20-15淵野辺コート201","042-756-2717","初回お試しコースをご用意してます！"
"","スワンカフェ＆ベーカリーさがまち店","飲食業/その他","焼き立てパンの製造・販売とカフェ営業をおこなってい
ます。障害のある人たちが社会参加と自立をめざして
働くお店です。","淵野辺4-37-17","042-794-9301","お得なパンのセット販売を始めました。どれでもお好き
なパンを選んでいただき3個600円、6個1000円、10個
1500円。"
"","セブンイレブン相模原淵野辺駅北口店","小売業","コンビニエンスストア","淵野辺4-1-14","042-751-7113",""
"","セブンイレブン相模原淵野辺3丁目店","小売業","コンビニエンスストア","淵野辺3-6-18淵野辺百貨店ビル1F","042-769-0771",""
"","セブンイレブン相模原矢部駅北口店","小売業","コンビニエンスストア","淵野辺1-2-31","042-750-0585",""
"","総合衣料品 はっとり","小売業","衣料品 小売販売","淵野辺3-6-13","042-752-2105","次回使用できるキララカードサンクスクーポン配布(キ
ララカード3倍!)"
"","宅配のめがねやさん","小売業","めがね、サングラスを販売","淵野辺4-28-14","042-751-6610","遠近両用に自信あり！"
"","つるや呉服店","小売業","手ぬぐい、ミニタオル、足袋靴下などのかわいい小物
から呉服反物まで幅広い商品を取り揃えている街の
呉服屋です。店内には手作りのつるし雛、ちりめん細
工が展示されています。","淵野辺3-19-13","042-752-2011","期間中こちらのサイトを見たとお伝えいただいたお客
様限定、店内商品税込5500円以上お買い上げで５％
割引（別誂え品、加工料金は除く）"
"","手打そば 蒼月","飲食業","手打ちの蕎麦を提供しています。","淵野辺3-9-17ライオンズプラザ淵野辺109","042-752-0027",""
"","酉処九十","飲食業","炭火焼き鳥と本格焼酎の居酒屋です。","淵野辺3-4-16","042-730-6887",""
"","とんかつ豊島屋","飲食業","とんかつ専門店","淵野辺3-4-15","042-758-2985",""
"","ながいカイロプラクティック施術院","サービス業","カイロプラクティックの施術（骨盤・背骨の調整）","淵野辺1-6-1-113","090-1438-0007","・往診可
・来店時ワンドリンク＆茶菓子等サービス"
"","肉のハッピー","小売業","精肉及びお惣菜の販売","淵野辺3-19-14","042-758-4129",""
"","花忠","小売業","生花鉢植え販売","淵野辺3-5-4","042-752-2775",""
"","バロンドールヘアー","サービス業","理容業","淵野辺3-12-3-4","042-707-1791",""
"","パン・ド・ルナーラ","小売業","パンの製造と販売","淵野辺4-1-19サミットビル1F","042-769-2343",""
"","光屋金物店","小売業","キッチン用品、合鍵、色々品揃え豊富です。","淵野辺3-7-15","042-753-2282",""
"","光屋商会淵野辺店","小売業","自転車販売及び修理","淵野辺4-7-17","042-754-6422","修理の好きな店"
"","ビギン ザ ビキン","飲食業","10月1日より、低脂肪高たんぱくのヘルシー食のお店
をオープン致します。低糖質メニューか低脂肪高たん
ぱくメニューをチョイス。ダイエット中の方も、筋肉増量
中のトレーニーも安心してご利用頂けます。","淵野辺4-3-15","042-768-7922","アプリでのアンケートにご協力の方、一年間お得にご
利用いただける年間パスポートの無料引換券進呈。
（当日から、会員価格にてご利用いただけます）　年間
パスポートの期限：2023年末日まで"
"","ビューティさとう","小売業","化粧品販売","淵野辺3-4-14","042-754-7244","資生堂ベネフィークサンプルセット
超音波フェイシャルエステフルコース体験１.１００円
（税込）"
"","美容室 CAROL・21","サービス業","くつろげる空間を提供していますリラックス、リフレッ
シュされたい方に","淵野辺3-9-17-ライオンズプラザ201","042-751-1932",""
"","美容室さわ","その他","営業時間外の対応も致しますので、ご連絡下さい。","淵野辺3-12-6","042-753-7268","当店のスタンプを貯めていただくとプレゼント差し上げ
ます。"
"","ヒロカイロプラクティックオフィス","その他","整体・マッサージ","淵野辺3-12-18-401","042-756-5592","初見料1000円無料！"
"","ファミリーマート相模原淵野辺四丁目店","小売業","コンビニエンスストア","淵野辺4-17-14","042-786-2071",""
"","ファミリーマート淵野辺駅南口店","小売業","コンビニエンスストア","淵野辺4-16-30","042-704-6766",""
"","福よし 淵野辺店","飲食業","ハンバーグ店です。","淵野辺3-12-18山田ビル1F","042-768-7950",""
"","フルール","飲食業","料理、飲み物などの提供","淵野辺3-17-11カトレアビル1F","090-3083-8523",""
