"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"南橋本","介護タクシー雅","サービス業","車椅子に乗ったまま、お出かけができます。 
料金はタクシーメーター+1000円～でご利用可です。 
お気軽にお問合せください。","南橋本3-5-17-704","080-3485-5077",""
"","州凰堂治療院","小売業/サービス
業","針灸マッサージの治療院と医薬品販売業をしています 南橋本2丁目８－２","","042-772-6571",""
"","勝来軒","飲食業","餃子と麻婆豆腐が美味しいとウワサの町中華のお店
です。","南橋本2-3-12","042-773-6393",""
"","炭火焼肉 田園","飲食業","上質なお肉が堪能できるお店です。","南橋本2-6-13","042-703-4329","独自の販売：黒毛和牛上ロースサービス（４人１組
テーブルに一人前分サービス。）"
"","セブンイレブン相模原南橋本2丁目店","小売業","","南橋本2-2-11","042-779-7302",""
"","立ち呑み リー","飲食業","酒、焼き鳥、つまみの提供","南橋本2-5-21","042-771-4968",""
"","二本杉","飲食業","居酒屋","南橋本2-3-11","042-771-1053",""
"","八剣伝 南橋本店","飲食業","炭火焼と創作料理","南橋本1-3-13 小山ビル1階","042-703-5452",""
"","ひばりスポーツ鍼灸整骨院","その他","整骨院・鍼灸院 
整体（自費施術）・トレーニングなど、 
お身体の痛みやお悩みに合わせてメニューをご提案
します。","南橋本1-7-1こーぽひろみつ101","042-703-8630","お得な回数券などご用意しております！"
"","フレンドハート","飲食業","本格的BAR 
 バーテンダー歴４０年のマスターがお待ちしておりま
す。","南橋本2-6-15-201","042-703-4755",""
"","ホルモンハウス","飲食業","韓国家庭料理と焼き肉","南橋本3-4-26","042-774-7754",""
"","みなはしばるエルソル","飲食業","オリジナルのお料理、手作りピザやパスタとお酒を楽
しんで頂くお店です
ビール、焼酎、日本酒、ウイスキー、ソフトドリンク、特
にワイン(グラス提供多数)各種揃えてます
相模原産のワインも取り扱ってます","南橋本2-5-10NKハイデンス1F","042-772-8898",""
"","南橋本パソコン教室","サービス業","初心者・高齢者向けのマンツーマン　パソコン教室で
す。","南橋本1-8-13","042-712-4000",""
"","ローソン・スリーエフ南橋本駅前店","小売業","コンビニエンスストア","南橋本2-3-6","042-771-2331",""
"宮下","Maro Golf School","その他","ゴルフスクール事業","宮下1-1-25 ボールパーク内","042-770-7788","トーナメントプロ経験者がシンプルゴルフの理論を追
求する。 
iPad画像解析ソフトを使用して個々の問題点を明確に
修正確実にレベルアップ、スコアアップに繋げていく。 
初回無料体験レッスン行っています。"
"","（株）伊坪自動車宮下工場","サービス業","自動車修理、鈑金、車検をしています","宮下3-5-6","042-773-1517",""
"","セブンイレブン相模原宮下3丁目店","小売業","コンビニエンスストア","宮下3-13-1","042-779-7115",""
"","セブンイレブン相模原宮下北店","小売業/飲食業","コンビニエンスストア","宮下3-8番20号","042-773-7077",""
"","（株）ハイウェル ゴールデンクラブ","サービス業","会員制健康管理管理サービス。健診管理と他業種交
流を図るコミニティーを運営しています。","宮下2-11-9","042-772-4618","「サンキューキャンペーンを見た」とご申告頂きますと、
入会時1ヶ月分の月会費を無料とさせて頂きます。"
"宮下本町","A-sh Hair","サービス業","理容　美容","宮下本町2-10-11","0120-747-611","トータルビューティーサロン 
ファミリーサロンでもあります"
"","fiore","サービス業","美容院","宮下本町2-9-13 ロッキー宮下103","042-707-8484","お客様がゆっくりしと自分の時間を過ごしていただける
ような、インテリアのかわいい小さな美容院です。"
"","POLAエステ・イン宮下店","その他","化粧品販売、エステサロン","宮下本町1-4-5","042-707-9557","・新規ご来店時にサンプルプレゼント。 
・無料肌分析。 
・２万円以上お買い上げの方にプレゼントをご用意。"
"","セブンイレブン相模原宮下店","小売業","コンビニエンスストア","宮下本町2-10-1","042-774-3650",""
"","大昇産業（株）","サービス業","ビルメンテナンス業","宮下本町2-27-28","042-756-7092","排水管洗浄大好評に付き3ヶ所セット（台所、洗面所、
洗濯排水管）但し、一戸建てに限ります"
"","登臨ゼミナール 宮下校","サービス業","最長6か月無料体験","宮下本町2-2-2","042-704-8188","最長6か月無料体験"
"","ファミリーマート相模原宮下本町一丁目店","小売業","コンビニエンスストア","宮下本町1-11-8","042-704-6429",""
"","メロディア音楽教室","サービス業","0歳から学べるピアノ教室です","宮下本町1-4-23","042-753-7820","宮下本町教室、上溝教室　無料体験実施中"
