"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"松が丘","ファミリーマート松が丘二丁目店","小売業","","松が丘2-26-9","042-786-6610","ファミマのアプリ、ファミペイの新規会員様募集中で
す。 
ファミペイ支払いすると切手やPOSAカード、料金収
納、煙草などでもボーナスポイントがもらえるお得なア
プリとなってます。 
この機会にぜひ❗"
"緑が丘","こやま電機","小売業","安心を売る　 
あなたの街のでんきやさんです。","緑が丘1-25-24","042-752-2532",""
"","セブンイレブン相模原緑が丘1丁目店","小売業","コンビニエンスストア","緑が丘1-26-30","042-756-1147",""
"","はり治療院　美楽","サービス業","元気に楽しく生活を送っていただくためのお手伝いを、
コンディショニングを中心にお身体の調整を施術して
います。","緑が丘1-14-4","042-707-9916",""
"","ぱんぶっち","小売業","パン製造販売","緑が丘1-14-6","070-3668-8364",""
"","美容室モード","サービス業","美容室 美容院 育毛 エステ","緑が丘1-19-7","042-759-0670","新規のお客様10%off
次回使用できる割引券の配布
頭皮診断無料
トリートメント施術サービス
LINE友だち登録で3% off"
"","ファミリーマート相模原緑が丘店","小売業","コンビニエンスストア","緑が丘2-44-25","042-730-3230",""
"","リカーランドトップ緑が丘店","小売業","酒類・飲料・食料品の小売販売","緑が丘1-43-1","042-730-3720","会員アプリ新登場！
新規アプリ会員様大募集！
相模原市唯一のワイナリーの商品を取り扱いしており
ます。"
"南橋本","Body&Bauty Salon PADMA（パドマ）","サービス業","揉みほぐし、オイルマッサージ、足ツボやフェイシャル
などのリラクゼーションサロンです。","南橋本2丁目5-19コードダジュール702号","080-4295-0565","お得な初回割引あり。"
"","D-LINK 南橋本店","その他","美容業","南橋本2-6-13エスペランサ南橋本1F","042-774-6366",""
"","ECC ジュニア南橋本教室","サービス業","英語　英会話","南橋本2-12-22","080-5023-1679 無料体験",""
"","eyelash.nailsalon Az","サービス業","持続性の高い【バインドロック】
爪に優しい【フィルイン】
常にお客様の為により良い技術を取り入れておりま
す。","南橋本2-3-6-203","042-814-9111",""
"","GreenCore","サービス業","整体、パーソナルトレーニング","南橋本2-2-11 495ビル","042-703-8499",""
"","HANAHANA","飲食業","お酒の提供","南橋本2-5-21","080-4124-9393",""
"","Kaimanaフォトスタジオ","サービス業","写真撮影","南橋本2-6-15大地ビルパート5101","070-5543-8309","1日1組限定の貸切フォトスタジオ。完全予約制。"
"","SUZUKI no DAIDOKORO","飲食業","古民家ダイニング
和洋折衷な料理を提供しています。
ピザ、ぱすた、キーマカレー、スパイスカレーなど幅広
くお料理を提供しています。","南橋本2-5-20","","080-5377-4457 平日ランチパーキングご利用で10%割引(最大500円)"
"","あじわい八　南橋本店","飲食業","一本一本手打ち・炭火焼きのやきとり屋。ふらっとお一
人で、友人やご家族と、こだわりの八のやきとりをお楽
しみください。","南橋本2-15-5","070-8340-3986",""
"","居酒屋 ルー","飲食業","酒、食事の提供","南橋本2-5-21","042-771-4968",""
"","うまか寿司","飲食業","寿司全般","南橋本2丁目5番10号","042-774-8864",""
"","エステティックサロン PUTRI-VARRY","サービス業","エステティックサロン。エステティック講師、美容専門家
によるお身体のメンテナンスやお肌の再生美容エステ
を行います。
幹細胞化粧品リアボーテ正規取扱店です","南橋本1-1-1-505","090-4547-4198 高濃度炭酸ヘッドスパ10分サービス",""
"","オアシス","飲食業","インド料理店","南橋本2-5-21グランフェリシア101","042-703-0533","特になし"
