"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"松が枝町","ステーキ屋ひろ","飲食業","ステーキ・ハンバーグ等を提供","松が枝町23-7","042-742-3216",""
"","東洋医学気功整体院","サービス業","","松が枝町23-7-2022","042-747-5600",""
"","美容室GOKANN","サービス業","美髪に導く隠れ家プライベートサロンです。","松が枝町17-15 301","042-705-2496","ホットペッパー にてお得なクーポン・組み合わせメ
ニュー多数御座います。 
熟練の技術とゆったりとした癒しの時間をお過ごし下
さい。"
"","文具のスリーアップ","小売業","文具やファンシー 雑貨を販売しています","松が枝町18-1","042-746-8405","サンキューキャッシュバックキャンペーン特別福袋をご
用意"
"","ぽぷらえん","小売業","生花販売","松が枝町15-11-103","042-743-0321",""
"","リサイクルショップ ザ★コネクタァス","小売業","お客様からいただいた寄付品をもとに、リサイクル
ショップを運営しております。衣類から家具まで数多く
の品揃え。驚きの安さにビックリされます！！ぜひ一
度お越しください。","松が枝町15-11CLLエクセレンス松ヶ枝Ⅰ-105","042-702-9980","寄付品の回収も承ります。
月に1度、衣類全品100円セールやポイント3倍キャン
ペーンなど実施中！"
"御園","相模大野在宅はりきゅうマッサージ","サービス業","訪問（出張）ではりきゅうマッサージを行っています。症
状のあるところだけ目を向けず全身をみていきます。 
腰から下肢の調整が得意。歩行の指導なども行いま
す。","御園4-11-5","042-719-3878","訪問距離は直線6キロまで。無料にします。"
"","炭火焼ホルモン秀","飲食業","焼肉ホルモンを提供しています。","御園5-5-25","042-740-7286",""
"","盛光堂","小売業","和菓子 製造","御園3-37-19","042-745-9214",""
"","卓球用品店ナカハシ","小売業","卓球用品を販売しています。","御園5-7-13","042-753-7126","情熱、親切、丁寧がモットーです。 
 出張販売も行っております。"
"","ニューヤマザキデイリーストア相模大野久保
店","小売業","食品・日用品販売・公共料金取り扱い","御園5-10-7","042-743-0939",""
"","御園 旭鮨","飲食業","鮨屋","御園2-1-13","042-766-0707",""
"","みそのベーカリー","小売業","パン製造販売","御園2-1-10-101号","050-5372-0604",""
"南台","K.レガーロ","小売業","婦人靴
バック
小物","南台5-11-19ペアナード・オダサカ206","042-745-4192","婦人靴50offコーナー有ります！"
"","L3 Oyatsu&Café","飲食業","カフェレストラン","南台5-11-19ペアナードオダサガ204","050-8881-0310",""
"","WEショップ南台店","小売業","地域の皆さまから寄付していただいた衣類や雑貨を
販売し、収益で海外支援・東日本大震災復興支援をし
ているチャリティショップです。","南台6-15-17","042-746-5571",""
"","家のキッチン.","飲食業","レストラン","南台5-12-11Blume1F","042-749-8333","季節により、提供する内容が変化する
レストラン"
"","居酒屋ハッピー","飲食業","居酒屋","南台6-9-13","042-744-1865",""
"","泉屋化粧品","小売業","化粧品販売","南台5-21-14","042-742-1770",""
"","上島珈琲店ペアナードオダサガ店","飲食業","喫茶、サンドイッチ・パスタの販売","南台5-11-19ペアナードオダサガ208","042-851-5041",""
"","おさつ本舗","小売業","甕(かめ)、溶岩石で焼く、焼きいも専門店です。","南台","042-749-4005",""
"","カットスタジオカズ","サービス業","理容業","南台4-8-11","042-742-5505",""
"","ケーポッシュ 南台店","飲食業","ケーキや、焼き菓子を製造、販売している洋菓子店で
す。","南台5-10-17鈴木ビル1F","042-746-2102",""
"","幸花園","小売業","切り花、鉢物、花器（かびん）を販売しています。
お好みの花束もお作りしています。（ラッピング用品は
サービス）","南台6-15-16","042-743-7742","お好みの花束もお作りしています。（ラッピング用品は
サービス）"
"","（有）サンケーネット","その他","お部屋探しはサンケーネット","南台6-17-20","042-705-3320","弊社指定物件ご契約の場合は仲介手数料半額！！"
"","三光ホーム（株）","その他","不動産業　建設業","南台6-15-15","042-766-3535",""
"","旬鮮酒場NOBU","飲食業","海鮮居酒屋","南台5-15-11相模屋ビル1F","042-705-7143","こだわりの海鮮と珍しい日本酒やプレミア日本酒など
あります！！　来店時に合言葉　サンキューキャン
ペーン　で　日本酒グラス半合サービス"
"","炭火焼鳥さくら","飲食業","ヤキトリ屋","南台5-14-18","042-766-2139",""
"","セブンイレブン相模原鶴ヶ丘店","小売業","コンビニエンスストア","南台4-12-16","042-748-8744",""
"","セブンイレブン相模原南台2丁目店","小売業","コンビニエンスストア","南台2-1-28","042-766-2189",""
