"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"相模台","気分や","飲食業","軽食","相模台1-17-21","","５００円以上のお食事をご注文の方にソフトドリンクを1
杯サービス"
"","きもの しみづ","小売業","きもの及び関連商品（和装小物等）販売
着物の生き洗い、しみ抜きなどのお手入れ","相模台3-5-19","042-744-0078",""
"","相模断熱ショールーム","その他","セルロースファイバーで断熱・防音施工","相模台4-5-9","080-4722-1522","DIYでのセルロースファイバー断熱材の施工促進のた
め小売販売も行っています。"
"","酒のこむろ","小売業","酒屋","相模台1-12-6","042-744-1834",""
"","サトウ園芸","小売業","鉢花、観葉植物、花苗、やさい苗、園芸資材、多肉植
物等","相模台5-9-1","042-742-7340",""
"","三共メガネ","小売業","メガネ、コンタクト、補聴器の相談・検査・調整・販売・
修理をしております。","相模台1-9-1","042-746-9256","近隣の地元住民最寄り店として視力・聴力等の改善
し、よく見えて
よく聞こえる生活ができるようにメガネ・補聴器・コンタ
クトをお作りする努力を心がけています。
キャンペーン特典として、消費税サービス致します"
"","（有）芝崎葬祭社","小売業/サービス
業/その他","仏壇・仏具を販売しています
その他ご相談ください","相模台1-8-12","042-744-1837",""
"","十字園","飲食業","飲食店","相模台1-12-2","042-742-5434",""
"","ジュノン美容室","サービス業","美容院です","相模台2-2-4","042-747-5990",""
"","（有）スキンケアハウス横ちゃん","小売業","アルビオン化粧品専門店です。 女性は、いくつになっ
ても美と健康は宝物です。しなやかで透明感のある素
肌は憧れです。
感染対策を徹底しながら、美容やメイクなどのアドバイ
スしております。","相模台1-2-1","042-744-1321","特典１：肌タイプやお肌診断で、お肌にピッタリの新製
品フラルネシリーズのサンプルプレゼント。
特典2：眉スタイリングアドバイス。"
"","スクール洋品ナカムラ 相模台店","小売業","学生服・体操服等スクール洋品の専門店です。","相模台1-2-4","042-742-3099",""
"","セブンイレブン相模原相模台6丁目店","小売業","コンビニエンスストア","相模台6-27-18","042-742-7087",""
"","宋将","飲食業","中華料理店です。","相模台1-9-5","042-748-3326",""
"","竹寿司","飲食業","まぐろの美味しいお店です。","相模台3-14-20","042-742-5111",""
"","つる家","飲食業","手打ちそば","相模台1-12-5","042-744-1905",""
"","（有）てる電気商会","小売業","地域密着！
家電販売のお店です","相模台7-33-21","042-747-3688","迅速対応を心掛けています"
"","天然酵母 パンcafe tantanと","飲食業","パン・焼き菓子等の製造販売","相模台1-2-2","080-6647-2495",""
"","はとや糸店","小売業","手芸用品販売","相模台2-1-3","042-744-1015",""
"","パルミエ洋菓子店","小売業","洋菓子製造・販売","相模台2-2-3","042-744-1358",""
"","美容室 DINO","サービス業","美容業　関連商品の販売","相模台2-2-5","042-744-3240","育毛活性パックを無料サービスいたします。"
"","ファミリーマートよろづや相模台店","小売業","コンビニエンスストア","相模台2-2-6","042-740-4363",""
"","フジガレージ","サービス業","自動車整備工場","相模台5-1-12","042-744-1894",""
"","フラワーショップくさぶえ","小売業","生花販売","相模台5-12-26","042-743-9888",""
"","フラワーショップ花の里相模台店","小売業","生花園芸品等販売","相模台1-13-4","","生花御購入の応募者様に切花栄養剤プレゼント"
"","ペットサロン樹里","小売業/サービス
業","犬の美容室です","相模台7-29-10","042-749-1267",""
"","ほねつぎ屋・はりきゅう院　おひさまの里","その他","骨格調整、鍼灸、クラシックバレエを取り入れたピラ
ティス、オイルを使った全身ケアなど自費診療に特化
した接骨院です。","相模台1-9-15","042-705-6120","当院を始めてご利用の方を対象に各自費診療を簡易
的にですが無料でお試し体験させてもらいます。 
受付にてお申し付けください。"
"","麺処宥乃（ゆうの）","飲食業","鶏と水のみでとったスープのラーメンをご提供していま
す","相模台1-12-1 光相マンション101","090-5567-2763","お好きな１００円トッピング１つサービス"
"","モード 山岸","小売業","婦人服販売","相模台2-2-4","042-744-1843",""
"","リラクゼーションサロンCREEK","サービス業","リラクゼーションマッサージの提供","相模台2-4-5 大塚ビル201","090-3804-0118","お試しコースが特別価格で受けられます。"
"","若草美容室","サービス業","美容室","相模台5-1-7","042-746-5938",""
"下溝","AKランドリー三和麻溝店","サービス業","クリーニング","下溝598-1","042-777-3003","30円券1枚プレゼント"
