"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"古淵","大沼飯店","飲食業","約50年前から続く中華料理店です","古淵3-20-1","042-744-2032","当店名物サンマーメンやチャーハンだけでなく 
オムライス、カツカレーなどもおすすめな 
昔ながらの街中華です"
"","（有）小川ミート","小売業/飲食業/
その他","精肉小売卸売、飲食","古淵3-27-2","042-744-0332","土曜日限定炭火串焼・焼鳥と国産ロースとんかつ特
売 1枚￥150（税）"
"","がじゃいも家族","飲食業","居酒屋","古淵3-6-21ビクトリーⅡ","042-776-5620",""
"","カレーハウスCoCo壱番屋相模原古淵駅前
店","飲食業","カレーを提供する飲食店です","古淵2-18-3山政第1ビル1F","042-776-3976",""
"","クリーニングペルル イオン相模原店","サービス業","クリーニング店","古淵2-10-1","042-769-7638",""
"","コブサン鍼灸院・接骨院","その他","鍼灸院・接骨院、慢性的な痛みや急性の痛みの治療
をしています","古淵1-6-10 プレミール古淵3F3C","042-707-0841","初回骨盤矯正　1980円です"
"","コメダ珈琲店 古淵駅前店","飲食業","喫茶店","古淵1-7-3","042-707-8994",""
"","相模原市農業協同組合 大野支店","小売業","","古淵3-7-7","042-752-1270",""
"","スマホスピタル イオン相模原店","サービス業","スマートフォン、タブレット、ゲーム機などの修理を承っ
ています。
各機種の保護フィルムや、ガラスコーティング。ケース
などの販売もしています。","古淵2-10-1イオン相模原ショッピングセンター1F","050-5445-9233","ご利用頂いた方には次回からご利用いただける1,000
円引きのクーポンをお配りしております。"
"","セブンイレブン相模原古淵北店","小売業","コンビニエンスストア","古淵1-6-10","042-751-1298",""
"","セブンイレブン相模原古淵3丁目店","小売業","コンビニ","古淵3-33-6","042-766-5651",""
"","セブンイレブン相模原古淵南店","小売業","コンビニエンスストア","古淵3-10-14","042-769-4621","なし"
"","チェリ－ココン","サービス業","美容室","古淵1-6-10プルミエール古淵2F　C号室","042-704-8761",""
"","（有）トータルライフホソヤ","小売業","ガス、水まわり器具販売、修理","古淵4-7-21","042-755-9789","ビルトインガスコンロ特価+炊飯ナベサービス"
"","日本蕎麦屋 そば膳古淵松貴","飲食業","日本蕎麦屋","古淵3-7-20","042-755-2098","平日はお得な日替わりランチメニューがあります！"
"","美容室 J.E","サービス業","美容一般","古淵3-23-1","042-745-5398",""
"","ヒロセ洋菓子店","小売業","洋菓子製造販売","古淵5-6-9","042-747-0267","バタークリームケーキ！
生クリームフルーツデコレーションケーキ！パーティの
リクエストケーキ！
ご予約でいつでも作ります！"
"","ファミリーマート相模原古淵店","小売業","コンビニエンスストア","古淵2-3-2","042-730-4861",""
"","ファミリーマート細谷古淵店","小売業","コンビニエンスストア","古淵1-34-13","042-752-3306","ファミリーマートのアプリ、ファミペイが断然お得！"
"","福よし 古淵店","飲食業","とろけるハンバーグ専門店","古淵2-16-9リバーストーン古淵1F","042-711-7906",""
"","ブックオフプラス古淵駅前店（アパレル・家電
館）","小売業","家電・PC・スマホタブレット楽器・鉄道模型・服・バック・
雑貨・着物・ハイブランドなどのリユースショップ","古淵2-17-15　2F・3F","042-754-5333","ブックオフアプリをダウンロードして登録すると値引き
クーポンやお得情報が届きます。 
毎月1日と15日に「100円引きクーポン」・29日には
「500円買うと300円引き」のクーポンが届きます！"
"","ブックオフプラス古淵駅前店（本・ソフト館）","小売業/飲食業","本・ゲーム・トレカ・ホビー・CD・DVDなどのリユース
ショップ","古淵2-19-14","042-750-5011","ブックオフアプリをダウンロードして登録すると値引き
クーポンやお得情報が届きます。 
毎月1日と15日に「100円引きクーポン」・29日には
「500円買うと300円引き」のクーポンが届きます！"
"","ヘアショップ 三浦","サービス業","理容全般","古淵3-32-6","042-744-3933",""
"","ヘアーメイクwith","サービス業","カット、パーマ、カラーであなたの髪を素敵、綺麗にし
ます。","古淵1-1-16","042-751-2180",""
"","焼肉ホルモンたけ田 古淵店","飲食業","レモンサワー60分500円で飲み放題！
最高のお肉をご提供させていただきます！","古淵1-8-12T&T第一ビル2F","042-753-0606",""
"","ル・ジャルダン古淵店","サービス業","美容室","古淵2-17-3渋谷ビル1F","042-730-5740",""
"","渡邉八百屋惣菜店","小売業","青果、総菜販売店","古淵3-23-1","042-742-8995",""
"栄町","プラスマークス","小売業","看板屋やのぼり旗といった店舗用品をはじめ、販促資
材を販売しております。他、交通安全用品も取り扱っ
ております。看板等の在庫品の店舗販売やオリジナ
ルの幕など印刷物等の制作もお気軽にご相談くださ
い。","栄町2-13-1F","042-711-6450","WEBサイトより会員登録(初回のみ)いただきますと
WEBサイトで1ポイント1円としてお値引きご利用いた
だける300ポイントを付与いたします(有効期限12か
月)。"
