"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"千木良","（有）中里鈑金工業","その他","屋根／外壁／雨樋／室内ステレス加工 
の、リフォーム／修理／お掃除","千木良825-4","042-684-3323","安心の地元の職人です！ 
見積もり無料、お気軽にお問い合わせください。"
"","なかみせ","小売業","食料品・酒・たばこ・雑貨・焼き鳥などを販売する小売
店です。","千木良798","042-684-2151","毎週金曜日～月曜日はチラシ特売日！土日は店頭で
「炭火焼き鳥」を販売しております。個人宅への配達も
承ります。"
"","ヘアーワークスイノウエ","サービス業","理容業","千木良1229-1","042-684-3230",""
"鳥屋","（株）創日","その他","給排水衛生設備工事","鳥屋869-4　2F","042-854-1032","水回りならなんでも"
"","鳥居原ふれあいの館","小売業/飲食業","地場産野菜の直売所
食堂9：00～","鳥屋1674","042-785-7300","地場産野菜の直売所
手作りこんにゃく、お惣菜の販売
手作りチャーシューのラーメン、
かき揚げそばなど食堂も9：00～営業しています。"
"","（有）鳥屋自動車整備工場","サービス業","自動車販売、整備","鳥屋32-3","042-785-7177",""
"","美容室choki","サービス業","ひとり美容室なのでシャンプーから仕上げまでマン
ツーマンです
細かいご要望にもお応えしています","鳥屋754-2","042-785-1331",""
"","ベイスターズマートかわせ","小売業","食料品販売","鳥屋789","042-785-0153",""
"","リヴァスポット早戸・早戸川国際マス釣場","飲食業/サービス
業","丹沢山塊を水源とする早戸川にある管理釣り場です。
ニジマスを毎日放流しております。","鳥屋3627","042-785-0704",""
"中沢","灯-akari-","飲食業","イタリア料理とお菓子のお店です。","中沢706-4","090-6014-2399",""
"長竹","JA神奈川つくい 串川支店","小売業","","長竹795-1","042-784-3131",""
"","JILL","サービス業","プライベートサロン 
美容室/アイラッシュサロン","長竹379-17","042-850-4150",""
"","nonopo","小売業","小さな田舎のお花屋さん。生花とドライフラワーを中心
に季節に合わせて観葉植物やPOT苗も取り扱ってい
ます。","長竹1443","080-592-89834","さがみはらサンキューキャンペーンをご利用のお客
様、生花1000円以上のお買い上げで季節のお花1本
プレゼントいたします。"
"","エネオス串川SS","小売業","ガソリンスタンド","長竹1860-3","042-784-0453",""
"","オキツ 時計店","小売業","時計 宝飾 販売 修理","長竹1536-8","042-784-8000","貴方様の大切な腕時計 電池交換は当店で"
"","オギノパン本社工場直売店","小売業","焼きたてパン販売","長竹2841","042-780-8121","焼きたて、揚げたて、作りたてのパンをお求め頂けま
す。"
"","おしゃれの店 ジュン","小売業","手芸用品、たばこ、化粧品を販売しています。","長竹1226-2","042-784-1562","手芸、干支飾りがたくさん置いてあります。かわいいあ
みぐるみもあります。"
"","クリーニングうえはら","サービス業","自家工場完備のクリーニング店です。","長竹1136","042-784-1706",""
"","（有）志村商店 出光興産津久井給油所","小売業","ガソリンスタンド
酒類販売","長竹1189-1","042-784-0446",""
"","しんばし理容室","サービス業","理容室","長竹1134-1","042-784-2238",""
"","津久井の地酒こむろ","小売業","主に地酒販売","長竹662","042-784-1023",""
"","内藤自動車","サービス業","自動車販売　車検整備　板金塗装","長竹2779-1","042-784-4472",""
"","（資）奈良呉服店","小売業","呉服、洋品、寝装品の販売","長竹1185","042-784-0464","景品サービスセール実施中です。"
"","野楽","飲食業","","長竹379-1","042-780-8589",""
"","（有）みのわモータース","サービス業","自動車整備、新車・中古車販売、板金・塗装、保険","長竹1128","042-784-0440",""
"中野","JA-SS中野給油所","小売業／サービ
ス業","ガソリンスタンド","中野981","042-784-2637",""
"","JA神奈川つくい 中野支店","小売業","","中野５５０","042-784-1326",""
"","JA神奈川つくい 本店","小売業","","中野５５０","042-784-1321",""
"","maRu HAIR","サービス業","美容室　カラーカットパーマ・ヘアーケア商品販売等し
ております","中野1810-13","042-814-8019","カラー、パーマ等のお客様はトラベルセット(シャンプー
・リンス、オイル)をプレゼント　他はバースデイ割引も
あります"
"","（有）MBオート 相模原店","小売業","新車・中古車販売","中野983-3","042-703-8788",""
